workload,strategy,R_ws,n_ws,ws_agg,R_ow,n_ow_pairs,n_ow_seeds,ow_pos,cat_ws,cat_ow,sign_agree,abs_diff,low_conf
YC,2d,0.4036,10,seed,0.2170,100,10,49/51,effective,effective,True,0.1866,False
YC,2e_K10,0.4377,10,seed,0.3413,100,10,49/51,effective,effective,True,0.0965,False
YC,2e_K500,0.4360,10,seed,0.4761,100,10,44/56,effective,effective,True,0.0401,False
YC,2f_slru,0.8997,10,seed,0.9523,100,10,48/52,effective,effective,True,0.0527,False
YC,2f_top14,0.2104,10,seed,0.2006,9,3,3/6,effective,effective,True,0.0098,False
YC,2f_top28,0.2112,10,seed,0.2956,9,3,5/4,effective,effective,True,0.0844,False
YC,layers_5,0.0336,10,seed,0.1469,100,10,51/49,neutral,effective,False,0.1133,False
YC,layers_92,0.4183,10,seed,0.7125,3,1,2/1,effective,effective,True,0.2941,True
YC,learned_markov_14,0.2127,10,seed,0.4475,9,3,7/2,effective,effective,True,0.2348,False
YC,learned_markov_28,0.3553,10,seed,0.4693,9,3,5/4,effective,effective,True,0.1140,False
YCu,2d,0.4163,10,seed,0.7244,3,1,3/0,effective,effective,True,0.3081,True
YCu,2e_K10,0.4131,10,seed,0.7092,9,3,5/4,effective,effective,True,0.2961,False
YCu,2e_K500,0.3797,10,seed,0.6782,9,3,5/4,effective,effective,True,0.2985,False
YCu,2f_slru,0.8882,10,seed,0.9505,9,3,1/8,effective,effective,True,0.0623,False
YCu,2f_top14,0.0392,10,seed,0.0045,9,3,6/3,neutral,neutral,True,0.0347,False
YCu,2f_top28,0.3261,10,seed,0.4769,9,3,4/5,effective,effective,True,0.1508,False
YCu,layers_5,0.0310,10,seed,0.3760,3,1,1/2,neutral,effective,False,0.3450,True
YCu,layers_92,0.4151,10,seed,0.4925,3,1,1/2,effective,effective,True,0.0774,True
YCu,learned_markov_14,0.0355,10,seed,0.4392,9,3,4/5,neutral,effective,False,0.4037,False
YCu,learned_markov_28,0.2161,10,seed,0.0836,9,3,5/4,effective,neutral,False,0.1325,False
YCh01,2d,0.4291,10,seed,0.4049,3,1,2/1,effective,effective,True,0.0242,True
YCh01,2e_K10,0.4214,10,seed,0.5447,9,3,5/4,effective,effective,True,0.1233,False
YCh01,2e_K500,0.4524,10,seed,0.4330,9,3,4/5,effective,effective,True,0.0194,False
YCh01,2f_slru,0.8847,10,seed,0.9528,9,3,5/4,effective,effective,True,0.0681,False
YCh01,2f_top14,0.2139,10,seed,-0.0190,9,3,5/4,effective,neutral,False,0.2329,False
YCh01,2f_top28,0.3715,10,seed,0.3451,9,3,5/4,effective,effective,True,0.0264,False
YCh01,layers_5,0.0252,10,seed,0.3766,3,1,1/2,neutral,effective,False,0.3514,True
YCh01,layers_92,0.4021,10,seed,0.3643,3,1,1/2,effective,effective,True,0.0378,True
YCh01,learned_markov_14,0.2062,10,seed,0.0714,9,3,4/5,effective,neutral,False,0.1348,False
YCh01,learned_markov_28,0.3622,10,seed,0.4499,9,3,7/2,effective,effective,True,0.0877,False
C,2d,0.4330,10,seed,-0.6360,3,1,0/3,effective,harmful,False,1.0690,True
C,2e_K10,0.7843,10,seed,0.8431,9,3,5/4,effective,effective,True,0.0587,False
C,2e_K40,0.8280,1,single_batch(db=orig),0.8846,3,1,1/2,effective,effective,True,0.0566,True
C,2e_K500,0.8272,1,single_batch(db=orig),0.9037,9,3,3/6,effective,effective,True,0.0765,False
C,2e_K92,0.8280,1,single_batch(db=orig),0.8874,3,1,1/2,effective,effective,True,0.0595,True
C,2f_slru,0.8931,10,seed,0.8954,9,3,3/6,effective,effective,True,0.0023,False
C,2f_top14,0.7849,10,seed,0.8989,9,3,6/3,effective,effective,True,0.1140,False
C,2f_top28,0.7899,10,seed,0.9046,9,3,4/5,effective,effective,True,0.1147,False
C,layers_5,0.0275,10,seed(db=orig),-0.7129,3,1,0/3,neutral,harmful,False,0.7404,True
C,layers_92,0.4230,10,seed(db=orig),-0.7363,3,1,1/2,effective,harmful,False,1.1594,True
C,leaf_freq_K10,0.2127,10,seed,0.0806,9,3,5/4,effective,neutral,False,0.1321,False
C,leaf_rand_K10,0.0166,10,seed,0.2521,9,3,5/4,neutral,effective,False,0.2354,False
C,learned_markov_14,0.7866,10,LOSO_fold,0.8988,9,3,6/3,effective,effective,True,0.1122,False
C,learned_markov_28,0.7915,10,LOSO_fold,0.8997,9,3,3/6,effective,effective,True,0.1082,False
C_hit,2d,0.3931,10,seed,0.7421,3,1,2/1,effective,effective,True,0.3489,True
C_hit,2e_K10,0.4163,10,seed,0.4384,9,3,5/4,effective,effective,True,0.0221,False
C_hit,2e_K40,0.4612,10,seed,-0.4844,9,3,2/7,effective,harmful,False,0.9456,False
C_hit,2e_K500,0.6960,10,seed,0.9453,9,3,6/3,effective,effective,True,0.2493,False
C_hit,2e_K92,0.4435,10,seed,0.5575,9,3,6/3,effective,effective,True,0.1139,False
C_hit,2f_slru,0.9075,10,seed,0.9142,9,3,4/5,effective,effective,True,0.0067,False
C_hit,2f_top14,0.4246,10,seed,0.2040,9,3,5/4,effective,effective,True,0.2206,False
C_hit,2f_top28,0.4125,10,seed,0.4760,9,3,6/3,effective,effective,True,0.0635,False
C_hit,layers_92,0.3843,10,seed,0.5061,3,1,1/2,effective,effective,True,0.1218,True
C_hit,learned_markov_14,0.4336,10,seed,0.1831,9,3,3/6,effective,effective,True,0.2505,False
C_hit,learned_markov_28,0.4161,10,seed,0.6658,9,3,5/4,effective,effective,True,0.2496,False
