workload,strategy,workstation_source,workstation_source_scope,baseline_source,same_batch,aggregation_unit,reason_source_rule
YC,2d,results/native_headtohead/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YC
YC,2e_K10,results/native_headtohead/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YC
YC,2e_K500,results/native_headtohead/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YC
YC,2f_slru,results/native_headtohead/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YC
YC,2f_top14,results/native_headtohead/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YC
YC,2f_top28,results/native_headtohead/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YC
YC,layers_5,results/native_headtohead/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YC
YC,layers_92,results/native_headtohead/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YC
YC,learned_markov_14,results/native_headtohead/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YC
YC,learned_markov_28,results/native_headtohead/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YC
YCu,2d,results/native_headtohead_YCu/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCu/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCu
YCu,2e_K10,results/native_headtohead_YCu/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCu/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCu
YCu,2e_K500,results/native_headtohead_YCu/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCu/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCu
YCu,2f_slru,results/native_headtohead_YCu/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCu/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCu
YCu,2f_top14,results/native_headtohead_YCu/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCu/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCu
YCu,2f_top28,results/native_headtohead_YCu/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCu/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCu
YCu,layers_5,results/native_headtohead_YCu/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCu/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCu
YCu,layers_92,results/native_headtohead_YCu/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCu/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCu
YCu,learned_markov_14,results/native_headtohead_YCu/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCu/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCu
YCu,learned_markov_28,results/native_headtohead_YCu/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCu/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCu
YCh01,2d,results/native_headtohead_YCh01/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCh01/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCh01
YCh01,2e_K10,results/native_headtohead_YCh01/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCh01/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCh01
YCh01,2e_K500,results/native_headtohead_YCh01/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCh01/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCh01
YCh01,2f_slru,results/native_headtohead_YCh01/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCh01/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCh01
YCh01,2f_top14,results/native_headtohead_YCh01/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCh01/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCh01
YCh01,2f_top28,results/native_headtohead_YCh01/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCh01/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCh01
YCh01,layers_5,results/native_headtohead_YCh01/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCh01/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCh01
YCh01,layers_92,results/native_headtohead_YCh01/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCh01/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCh01
YCh01,learned_markov_14,results/native_headtohead_YCh01/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCh01/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCh01
YCh01,learned_markov_28,results/native_headtohead_YCh01/summary.csv,"native head-to-head (per-seed, db=orig)",results/native_headtohead_YCh01/summary.csv,True,seed,native head-to-head is the canonical per-seed batch for YCh01
C,2d,results/ablation_comp_v2/seed{01..10}/summary.csv,"C_mixed ablation/competitive (declared scope: 2d, leaf_rand_K10, leaf_freq_K10, 2e_K10, 2f_top14, 2f_top28, 2f_slru)",results/ablation_comp_v2/seed{01..10}/summary.csv,True,seed,ablation_comp_v2 is canonical ONLY for its declared C ablation/competitive scope
C,2e_K10,results/ablation_comp_v2/seed{01..10}/summary.csv,"C_mixed ablation/competitive (declared scope: 2d, leaf_rand_K10, leaf_freq_K10, 2e_K10, 2f_top14, 2f_top28, 2f_slru)",results/ablation_comp_v2/seed{01..10}/summary.csv,True,seed,ablation_comp_v2 is canonical ONLY for its declared C ablation/competitive scope
C,2e_K40,results/unified_v2/matrix/summary.csv,"single-inst main-matrix first_query; TIE-BREAK-SELECTION CAVEAT: pre-fix leaf tie-break may differ from corrected SoR (effectiveness direction only, not absolute/selection-identity)",results/unified_v2/matrix/summary.csv,True,single_batch(db=orig),"no post-tie-break-fix single-inst first_query summary exists for C 2e_K40/2e_K92; unified_v2/matrix is the only single-inst batch; used for effectiveness-direction portability only, flagged"
C,2e_K500,results/unified_v2/matrix/summary.csv,"main-matrix, tie-break-UNCHANGED cell (RESULT_PROVENANCE §4.2/§4.4)",results/unified_v2/matrix/summary.csv,True,single_batch(db=orig),"C/2e_K500 is NOT in the corrected tie-break set {2e_K10, 2e_K40, 2e_K92}; it remains an unchanged main-matrix cell whose canonical source is unified_v2 -- NOT ablation, NOT tiebreak_fix"
C,2e_K92,results/unified_v2/matrix/summary.csv,"single-inst main-matrix first_query; TIE-BREAK-SELECTION CAVEAT: pre-fix leaf tie-break may differ from corrected SoR (effectiveness direction only, not absolute/selection-identity)",results/unified_v2/matrix/summary.csv,True,single_batch(db=orig),"no post-tie-break-fix single-inst first_query summary exists for C 2e_K40/2e_K92; unified_v2/matrix is the only single-inst batch; used for effectiveness-direction portability only, flagged"
C,2f_slru,results/ablation_comp_v2/seed{01..10}/summary.csv,"C_mixed ablation/competitive (declared scope: 2d, leaf_rand_K10, leaf_freq_K10, 2e_K10, 2f_top14, 2f_top28, 2f_slru)",results/ablation_comp_v2/seed{01..10}/summary.csv,True,seed,ablation_comp_v2 is canonical ONLY for its declared C ablation/competitive scope
C,2f_top14,results/ablation_comp_v2/seed{01..10}/summary.csv,"C_mixed ablation/competitive (declared scope: 2d, leaf_rand_K10, leaf_freq_K10, 2e_K10, 2f_top14, 2f_top28, 2f_slru)",results/ablation_comp_v2/seed{01..10}/summary.csv,True,seed,ablation_comp_v2 is canonical ONLY for its declared C ablation/competitive scope
C,2f_top28,results/ablation_comp_v2/seed{01..10}/summary.csv,"C_mixed ablation/competitive (declared scope: 2d, leaf_rand_K10, leaf_freq_K10, 2e_K10, 2f_top14, 2f_top28, 2f_slru)",results/ablation_comp_v2/seed{01..10}/summary.csv,True,seed,ablation_comp_v2 is canonical ONLY for its declared C ablation/competitive scope
C,layers_5,results/seeds/seed{01..10}/summary.csv,cross-seed robustness (RESULT_PROVENANCE §4.8: 2d/layers_5/layers_92 are tie-break-unaffected),results/seeds/seed{01..10}/summary.csv,True,seed(db=orig),layers_5 uses no frequency-ranked leaf tie-break; §4.8 admits cross-seed robustness for it
C,layers_92,results/seeds/seed{01..10}/summary.csv,cross-seed robustness (RESULT_PROVENANCE §4.8: 2d/layers_5/layers_92 are tie-break-unaffected),results/seeds/seed{01..10}/summary.csv,True,seed(db=orig),layers_92 is a structural skeleton with no leaf tie-break; §4.8 admits cross-seed robustness for it (same batch as layers_5)
C,leaf_freq_K10,results/ablation_comp_v2/seed{01..10}/summary.csv,"C_mixed ablation/competitive (declared scope: 2d, leaf_rand_K10, leaf_freq_K10, 2e_K10, 2f_top14, 2f_top28, 2f_slru)",results/ablation_comp_v2/seed{01..10}/summary.csv,True,seed,ablation_comp_v2 is canonical ONLY for its declared C ablation/competitive scope
C,leaf_rand_K10,results/ablation_comp_v2/seed{01..10}/summary.csv,"C_mixed ablation/competitive (declared scope: 2d, leaf_rand_K10, leaf_freq_K10, 2e_K10, 2f_top14, 2f_top28, 2f_slru)",results/ablation_comp_v2/seed{01..10}/summary.csv,True,seed,ablation_comp_v2 is canonical ONLY for its declared C ablation/competitive scope
C,learned_markov_14,results/learned_10fold/seed{1..10}/summary.csv,full 10-fold LOSO closure (N=14 budget),results/learned_10fold/seed{1..10}/summary.csv,True,LOSO_fold,"learned_10fold carries the N=14 LOSO fold too; per test-seed model trained on the other 9, baseline in the SAME fold"
C,learned_markov_28,results/learned_10fold/seed{1..10}/summary.csv,full 10-fold LOSO closure (later additive canonical source),results/learned_10fold/seed{1..10}/summary.csv,True,LOSO_fold,"learned_10fold: per test-seed model trained on the other 9, no-prefetch baseline measured in the SAME fold; supersedes single-fold baselines_v2 for the learned comparison"
C_hit,2d,results/chit_headtohead/summary.csv,"C_hit head-to-head (per-seed, db=orig)",results/chit_headtohead/summary.csv,True,seed,chit_headtohead is the canonical per-seed batch for C_hit
C_hit,2e_K10,results/chit_headtohead/summary.csv,"C_hit head-to-head (per-seed, db=orig)",results/chit_headtohead/summary.csv,True,seed,chit_headtohead is the canonical per-seed batch for C_hit
C_hit,2e_K40,results/c_hit_v2/seed{01..10}/summary.csv,C_hit 2e_K40/2e_K92 newly measured in c_hit_v2 (RP 4.2 row35),results/c_hit_v2/seed{01..10}/summary.csv,True,seed,c_hit_v2 is the canonical per-seed batch for C_hit 2e_K40/2e_K92; chit_headtohead never remeasured these budgets
