campaign,paired_target_strategy,handle_mode,n,first_query_us_median,first_query_us_p25,first_query_us_p75,open_us_median,open_us_p25,open_us_p75,handler_total_us_median,handler_total_us_p25,handler_total_us_p75
primary,2d,warm,100,671.2410,394.7197,3343.3693,0,0,0,6065.4445,5352.9060,8312.5000
primary,2d,standalone,100,293.4110,270.4713,302.7155,535.5290,410.8615,3356.7133,7560.5315,5602.0720,10470.7015
primary,layers_5,warm,100,371.0105,313.9155,3327.8375,0,0,0,5358.8030,5097.6703,8191.3967
primary,layers_5,standalone,100,239.6465,234.3050,293.2005,635.2065,390.6703,3351.0662,6187.8840,5406.6843,8484.6452
primary,2e_K10,warm,100,411.6075,391.9700,3329.4675,0,0,0,5608.2555,5344.6633,8071.4417
primary,2e_K10,standalone,100,295.9910,267.8720,300.5895,638.8030,411.6327,3350.6427,6435.0560,5644.2380,8375.1605
primary,2f_slru,warm,100,411.6425,402.1577,3308.3183,0,0,0,14330.4715,8171.1508,14517.1712
primary,2f_slru,standalone,100,290.3560,272.0255,297.9480,1816.0510,425.3918,3392.1903,9014.1290,8463.3972,14780.9975
secondary,2e_K500,warm,100,3147.5615,386.5665,3218.2097,0,0,0,7807.5250,5620.8445,8034.5158
secondary,2e_K500,standalone,100,150.5305,136.1788,289.3940,3168.2380,411.1925,3236.0097,8013.0510,5928.1980,8229.0462
secondary,leaf_freq_K10,warm,100,873.3955,338.7883,3199.5990,0,0,0,5765.9995,5117.1270,8113.3498
secondary,leaf_freq_K10,standalone,100,152.6740,137.1382,269.2688,1904.0835,387.1110,3256.4830,7293.6680,5470.7077,8509.0195
secondary,leaf_rand_K10,warm,100,621.2105,321.3980,3181.8328,0,0,0,5572.1330,5091.7252,8000.8090
secondary,leaf_rand_K10,standalone,100,150.2295,134.7357,261.7275,393.4770,386.2565,3232.6208,5637.7595,5393.1895,8112.1537
secondary,2f_top102,warm,100,891.2850,362.3995,3208.9862,0,0,0,5881.7985,5225.5448,7995.9105
secondary,2f_top102,standalone,100,151.0055,136.8868,289.2365,435.1795,387.0100,3215.6512,5959.4865,5531.1588,8145.9008
secondary,learned_markov_102,warm,100,720.0900,365.4472,3205.7043,0,0,0,5700.4595,5249.9940,8055.7958
secondary,learned_markov_102,standalone,100,152.0175,137.0100,288.8372,393.4265,385.7055,3229.0698,5666.3415,5501.8245,8162.1070
