campaign,strategy,handle_mode,selected_page_count,selected_page_count_min,selected_page_count_max,selected_bytes,selected_bytes_min,selected_bytes_max,selected_interior_count,selected_leaf_count,footprint_varies,plan_generation,median_select_us,median_deliver_us,median_first_query_us,median_open_us,median_handler_total_us
primary,2d,warm,92,92,92,376832,376832,376832,92,0,false,offline_frozen_static,9.5075,412.8650,613.9250,0,6620.4390
primary,2d,standalone,92,92,92,376832,376832,376832,92,0,false,offline_frozen_static,9.3025,451.6070,230.1135,413.2510,6456.0880
primary,layers_5,warm,5,5,5,20480,20480,20480,5,0,false,offline_frozen_static,4.1830,36.2080,2436.3135,0,7235.9705
primary,layers_5,standalone,5,5,5,20480,20480,20480,5,0,false,offline_frozen_static,4.1375,36.2925,235.0275,400.7010,5643.2730
primary,2e_K10,warm,102,102,102,417792,417792,417792,92,10,false,offline_frozen_per_seed,12.1380,502.3170,326.2870,0,6064.0985
primary,2e_K10,standalone,102,102,102,417792,417792,417792,92,10,false,offline_frozen_per_seed,12.1775,490.1580,226.3920,527.2860,6390.5250
primary,2f_slru,warm,26327.5000,26323,26331,107837440,107819008,107851776,92,26235.5000,true,offline_frozen_per_seed,663.7010,103343.8535,37.3295,0,110099.3370
primary,2f_slru,standalone,26327.5000,26323,26331,107837440,107819008,107851776,92,26235.5000,true,offline_frozen_per_seed,665.5940,103247.8840,13.7810,179.3835,110074.8235
secondary,2e_K500,warm,592,592,592,2424832,2424832,2424832,92,500,false,offline_frozen_per_seed,26.1635,2547.6585,328.7425,0,7995.7405
secondary,2e_K500,standalone,592,592,592,2424832,2424832,2424832,92,500,false,offline_frozen_per_seed,26.1430,2539.3330,87.7085,403.0850,8131.9215
secondary,leaf_freq_K10,warm,10,10,10,40960,40960,40960,0,10,false,offline_frozen_per_seed,6.4215,58.4290,517.9290,0,5591.8825
secondary,leaf_freq_K10,standalone,10,10,10,40960,40960,40960,0,10,false,offline_frozen_per_seed,6.4220,58.4385,147.4445,384.0695,5656.9140
secondary,leaf_rand_K10,warm,10,10,10,40960,40960,40960,0,10,false,offline_frozen_per_seed,6.3820,58.3540,2324.3390,0,7133.0260
secondary,leaf_rand_K10,standalone,10,10,10,40960,40960,40960,0,10,false,offline_frozen_per_seed,6.3265,58.3790,149.5185,2368.7870,7355.7385
secondary,2f_top102,warm,102,102,102,417792,417792,417792,51,51,false,offline_frozen_per_seed,11.8370,473.1905,631,0,6042.0680
secondary,2f_top102,standalone,102,102,102,417792,417792,417792,51,51,false,offline_frozen_per_seed,11.8220,469.0280,87.5130,531.8355,6392.5100
secondary,learned_markov_102,warm,102,102,102,417792,417792,417792,51,51,false,offline_frozen_per_seed_LOSO,11.8720,436.6075,1384.3745,0,6798.3140
secondary,learned_markov_102,standalone,102,102,102,417792,417792,417792,51,51,false,offline_frozen_per_seed_LOSO,11.8820,437.7400,86.4210,2115.0425,7406.3185
