view,campaign,target_strategy,handle_mode,role,n,first_query_us_median,first_query_us_p25,first_query_us_p75
first_arm_diagnostic,primary,2d,warm,baseline,48,3346.2715,3307.3955,3389.6925
first_arm_diagnostic,primary,2d,warm,target,52,2269.4505,2141.2385,2296.0060
first_arm_diagnostic,primary,2d,standalone,baseline,51,291.1310,153.9960,303.0145
first_arm_diagnostic,primary,2d,standalone,target,49,228.4950,75.9010,236.5400
first_arm_diagnostic,primary,layers_5,warm,baseline,44,3334.2495,3252.9030,3392.8980
first_arm_diagnostic,primary,layers_5,warm,target,56,2631.8975,2520.7873,2679.5555
first_arm_diagnostic,primary,layers_5,standalone,baseline,49,291.3220,145.8320,301.0010
first_arm_diagnostic,primary,layers_5,standalone,target,51,289.1080,147.3745,303.0600
first_arm_diagnostic,primary,2e_K10,warm,baseline,49,3331.6710,3222.2360,3370.1700
first_arm_diagnostic,primary,2e_K10,warm,target,51,2229.3180,2133.2000,2273.2645
first_arm_diagnostic,primary,2e_K10,standalone,baseline,51,295.7910,165.5880,300.3905
first_arm_diagnostic,primary,2e_K10,standalone,target,49,86.6010,74.0380,235.3080
first_arm_diagnostic,primary,2f_slru,warm,baseline,46,3319.8340,3205.3308,3382.3358
first_arm_diagnostic,primary,2f_slru,warm,target,54,37.3490,36.2698,38.8370
first_arm_diagnostic,primary,2f_slru,standalone,baseline,52,287.9115,149.3780,296.9400
first_arm_diagnostic,primary,2f_slru,standalone,target,48,13.7705,13.4625,14.0835
first_arm_diagnostic,secondary,2e_K500,warm,baseline,56,3211.3600,3164.2068,3240.8803
first_arm_diagnostic,secondary,2e_K500,warm,target,44,1107.6710,1029.7798,1154.8580
first_arm_diagnostic,secondary,2e_K500,standalone,baseline,56,139.1545,134.4125,149.6635
first_arm_diagnostic,secondary,2e_K500,standalone,target,44,83.1400,72.5450,116.1483
first_arm_diagnostic,secondary,leaf_freq_K10,warm,baseline,50,3201.0970,3164.8980,3244.3863
first_arm_diagnostic,secondary,leaf_freq_K10,warm,target,50,2421.7655,2391.3092,2464.7333
first_arm_diagnostic,secondary,leaf_freq_K10,standalone,baseline,53,139.2600,136.4940,152.3740
first_arm_diagnostic,secondary,leaf_freq_K10,standalone,target,47,139.8300,133.7040,149.7940
first_arm_diagnostic,secondary,leaf_rand_K10,warm,baseline,46,3194.9645,3164.7227,3233.3052
first_arm_diagnostic,secondary,leaf_rand_K10,warm,target,54,2442.1645,2404.0503,2469.7488
first_arm_diagnostic,secondary,leaf_rand_K10,standalone,baseline,42,140.4770,136.6943,150.3947
first_arm_diagnostic,secondary,leaf_rand_K10,standalone,target,58,142.8210,137.6343,152.0002
first_arm_diagnostic,secondary,2f_top102,warm,baseline,51,3208.4290,3163.4655,3244.0615
first_arm_diagnostic,secondary,2f_top102,warm,target,49,2117.8940,2081.4950,2144.4400
first_arm_diagnostic,secondary,2f_top102,standalone,baseline,52,139.2795,134.8210,150.9178
first_arm_diagnostic,secondary,2f_top102,standalone,target,48,85.3640,74.2662,88.2618
first_arm_diagnostic,secondary,learned_markov_102,warm,baseline,47,3219.9880,3169.4905,3248.2065
first_arm_diagnostic,secondary,learned_markov_102,warm,target,53,2113.5560,2077.3990,2143.0370
first_arm_diagnostic,secondary,learned_markov_102,standalone,baseline,41,139.1590,135.3110,147.9560
first_arm_diagnostic,secondary,learned_markov_102,standalone,target,59,85.2890,74.1125,87.4880
