campaign,target_strategy,handle_mode,n_pairs,baseline_first_count,target_first_count
primary,2d,warm,100,48,52
primary,2d,standalone,100,51,49
primary,layers_5,warm,100,44,56
primary,layers_5,standalone,100,49,51
primary,2e_K10,warm,100,49,51
primary,2e_K10,standalone,100,51,49
primary,2f_slru,warm,100,46,54
primary,2f_slru,standalone,100,52,48
secondary,2e_K500,warm,100,56,44
secondary,2e_K500,standalone,100,56,44
secondary,leaf_freq_K10,warm,100,50,50
secondary,leaf_freq_K10,standalone,100,53,47
secondary,leaf_rand_K10,warm,100,46,54
secondary,leaf_rand_K10,standalone,100,42,58
secondary,2f_top102,warm,100,51,49
secondary,2f_top102,standalone,100,52,48
secondary,learned_markov_102,warm,100,47,53
secondary,learned_markov_102,standalone,100,41,59
