campaign,target_strategy,handle_mode,role,position_within_pair,n,first_query_us_median,first_query_us_p25,first_query_us_p75
primary,2d,warm,baseline,1,48,3346.2715,3307.3955,3389.6925
primary,2d,warm,baseline,2,52,394.8970,387.7518,400.9595
primary,2d,warm,target,1,52,2269.4505,2141.2385,2296.0060
primary,2d,warm,target,2,48,318.1025,263.7212,327.1913
primary,2d,standalone,baseline,1,51,291.1310,153.9960,303.0145
primary,2d,standalone,baseline,2,49,294.7690,288.1570,301.0700
primary,2d,standalone,target,1,49,228.4950,75.9010,236.5400
primary,2d,standalone,target,2,51,232.6730,86.9570,243.8090
primary,layers_5,warm,baseline,1,44,3334.2495,3252.9030,3392.8980
primary,layers_5,warm,baseline,2,56,314.1215,312.5870,321.3508
primary,layers_5,warm,target,1,56,2631.8975,2520.7873,2679.5555
primary,layers_5,warm,target,2,44,273.2935,269.6642,275.8257
primary,layers_5,standalone,baseline,1,49,291.3220,145.8320,301.0010
primary,layers_5,standalone,baseline,2,51,237.3820,234.9680,243.1225
primary,layers_5,standalone,target,1,51,289.1080,147.3745,303.0600
primary,layers_5,standalone,target,2,49,233.3140,230.6500,236.2190
primary,2e_K10,warm,baseline,1,49,3331.6710,3222.2360,3370.1700
primary,2e_K10,warm,baseline,2,51,394.5960,384.7025,401.6080
primary,2e_K10,warm,target,1,51,2229.3180,2133.2000,2273.2645
primary,2e_K10,warm,target,2,49,312.4720,271.4870,321.4690
primary,2e_K10,standalone,baseline,1,51,295.7910,165.5880,300.3905
primary,2e_K10,standalone,baseline,2,49,296.1910,281.1730,300.5890
primary,2e_K10,standalone,target,1,49,86.6010,74.0380,235.3080
primary,2e_K10,standalone,target,2,51,235.4680,84.8235,242.2215
primary,2f_slru,warm,baseline,1,46,3319.8340,3205.3308,3382.3358
primary,2f_slru,warm,baseline,2,54,404.6155,398.9478,410.0152
primary,2f_slru,warm,target,1,54,37.3490,36.2698,38.8370
primary,2f_slru,warm,target,2,46,37.3200,36.1220,38.6350
primary,2f_slru,standalone,baseline,1,52,287.9115,149.3780,296.9400
primary,2f_slru,standalone,baseline,2,48,291.1830,283.4330,298.5813
primary,2f_slru,standalone,target,1,48,13.7705,13.4625,14.0835
primary,2f_slru,standalone,target,2,52,13.7910,13.5200,14.1260
secondary,2e_K500,warm,baseline,1,56,3211.3600,3164.2068,3240.8803
secondary,2e_K500,warm,baseline,2,44,385.3870,362.2265,396.2197
secondary,2e_K500,warm,target,1,44,1107.6710,1029.7798,1154.8580
secondary,2e_K500,warm,target,2,56,311.4600,234.9102,320.7545
secondary,2e_K500,standalone,baseline,1,56,139.1545,134.4125,149.6635
secondary,2e_K500,standalone,baseline,2,44,288.1970,275.8960,292.0482
secondary,2e_K500,standalone,target,1,44,83.1400,72.5450,116.1483
secondary,2e_K500,standalone,target,2,56,228.4105,71.4505,240.5848
secondary,leaf_freq_K10,warm,baseline,1,50,3201.0970,3164.8980,3244.3863
secondary,leaf_freq_K10,warm,baseline,2,50,340.1480,260.1565,364.9122
secondary,leaf_freq_K10,warm,target,1,50,2421.7655,2391.3092,2464.7333
secondary,leaf_freq_K10,warm,target,2,50,303.2495,287.3927,317.8465
secondary,leaf_freq_K10,standalone,baseline,1,53,139.2600,136.4940,152.3740
secondary,leaf_freq_K10,standalone,baseline,2,47,263.3300,237.9180,284.4895
secondary,leaf_freq_K10,standalone,target,1,47,139.8300,133.7040,149.7940
secondary,leaf_freq_K10,standalone,target,2,53,243.6630,132.1660,263.7220
secondary,leaf_rand_K10,warm,baseline,1,46,3194.9645,3164.7227,3233.3052
secondary,leaf_rand_K10,warm,baseline,2,54,323.8180,204.1695,359.5815
secondary,leaf_rand_K10,warm,target,1,54,2442.1645,2404.0503,2469.7488
secondary,leaf_rand_K10,warm,target,2,46,304.8070,238.1980,335.3060
secondary,leaf_rand_K10,standalone,baseline,1,42,140.4770,136.6943,150.3947
secondary,leaf_rand_K10,standalone,baseline,2,58,241.6350,126.9430,281.6833
secondary,leaf_rand_K10,standalone,target,1,58,142.8210,137.6343,152.0002
secondary,leaf_rand_K10,standalone,target,2,42,243.5780,127.7027,270.3185
secondary,2f_top102,warm,baseline,1,51,3208.4290,3163.4655,3244.0615
secondary,2f_top102,warm,baseline,2,49,362.4550,229.1770,370.3900
secondary,2f_top102,warm,target,1,49,2117.8940,2081.4950,2144.4400
secondary,2f_top102,warm,target,2,51,307.2720,259.2625,319.4135
secondary,2f_top102,standalone,baseline,1,52,139.2795,134.8210,150.9178
secondary,2f_top102,standalone,baseline,2,48,289.0085,258.2558,294.8382
secondary,2f_top102,standalone,target,1,48,85.3640,74.2662,88.2618
secondary,2f_top102,standalone,target,2,52,228.8960,85.1010,239.3360
secondary,learned_markov_102,warm,baseline,1,47,3219.9880,3169.4905,3248.2065
secondary,learned_markov_102,warm,baseline,2,53,365.7800,346.6740,377.2210
secondary,learned_markov_102,warm,target,1,53,2113.5560,2077.3990,2143.0370
secondary,learned_markov_102,warm,target,2,47,305.6090,163.5995,318.3525
secondary,learned_markov_102,standalone,baseline,1,41,139.1590,135.3110,147.9560
secondary,learned_markov_102,standalone,baseline,2,59,283.1270,138.3225,292.0335
secondary,learned_markov_102,standalone,target,1,59,85.2890,74.1125,87.4880
secondary,learned_markov_102,standalone,target,2,41,232.4330,225.4490,241.0590
