block_id,workload_id,workload_family,target_strategy,seed,handle_mode,n_pairs,n_repetitions
block1,native_ycsb_c_hot_hashed_01,YCh01,2e_K10,1,standalone,3,3
block1,native_ycsb_c_hot_hashed_01,YCh01,2e_K10,1,warm,3,3
block1,native_ycsb_c_hot_hashed_01,YCh01,2e_K10,2,standalone,3,3
block1,native_ycsb_c_hot_hashed_01,YCh01,2e_K10,2,warm,3,3
block1,native_ycsb_c_hot_hashed_01,YCh01,2e_K10,3,standalone,3,3
block1,native_ycsb_c_hot_hashed_01,YCh01,2e_K10,3,warm,3,3
block1,native_ycsb_c_hot_hashed_01,YCh01,2f_slru,1,standalone,3,3
block1,native_ycsb_c_hot_hashed_01,YCh01,2f_slru,1,warm,3,3
block1,native_ycsb_c_hot_hashed_01,YCh01,2f_slru,2,standalone,3,3
block1,native_ycsb_c_hot_hashed_01,YCh01,2f_slru,2,warm,3,3
block1,native_ycsb_c_hot_hashed_01,YCh01,2f_slru,3,standalone,3,3
block1,native_ycsb_c_hot_hashed_01,YCh01,2f_slru,3,warm,3,3
block1,native_ycsb_c_read_uniform,YCu,2e_K10,1,standalone,3,3
block1,native_ycsb_c_read_uniform,YCu,2e_K10,1,warm,3,3
block1,native_ycsb_c_read_uniform,YCu,2e_K10,2,standalone,3,3
block1,native_ycsb_c_read_uniform,YCu,2e_K10,2,warm,3,3
block1,native_ycsb_c_read_uniform,YCu,2e_K10,3,standalone,3,3
block1,native_ycsb_c_read_uniform,YCu,2e_K10,3,warm,3,3
block1,native_ycsb_c_read_uniform,YCu,2f_slru,1,standalone,3,3
block1,native_ycsb_c_read_uniform,YCu,2f_slru,1,warm,3,3
block1,native_ycsb_c_read_uniform,YCu,2f_slru,2,standalone,3,3
block1,native_ycsb_c_read_uniform,YCu,2f_slru,2,warm,3,3
block1,native_ycsb_c_read_uniform,YCu,2f_slru,3,standalone,3,3
block1,native_ycsb_c_read_uniform,YCu,2f_slru,3,warm,3,3
block1,read_tail_hit_20k,C_hit,2e_K10,1,standalone,3,3
block1,read_tail_hit_20k,C_hit,2e_K10,1,warm,3,3
block1,read_tail_hit_20k,C_hit,2e_K10,2,standalone,3,3
block1,read_tail_hit_20k,C_hit,2e_K10,2,warm,3,3
block1,read_tail_hit_20k,C_hit,2e_K10,3,standalone,3,3
block1,read_tail_hit_20k,C_hit,2e_K10,3,warm,3,3
block1,read_tail_hit_20k,C_hit,2f_slru,1,standalone,3,3
block1,read_tail_hit_20k,C_hit,2f_slru,1,warm,3,3
block1,read_tail_hit_20k,C_hit,2f_slru,2,standalone,3,3
block1,read_tail_hit_20k,C_hit,2f_slru,2,warm,3,3
block1,read_tail_hit_20k,C_hit,2f_slru,3,standalone,3,3
block1,read_tail_hit_20k,C_hit,2f_slru,3,warm,3,3
block2,read_tail_mixed_20k,C,2e_K10,1,standalone,3,3
block2,read_tail_mixed_20k,C,2e_K10,1,warm,3,3
block2,read_tail_mixed_20k,C,2e_K10,2,standalone,3,3
block2,read_tail_mixed_20k,C,2e_K10,2,warm,3,3
block2,read_tail_mixed_20k,C,2e_K10,3,standalone,3,3
block2,read_tail_mixed_20k,C,2e_K10,3,warm,3,3
block2,read_tail_mixed_20k,C,2f_slru,1,standalone,3,3
block2,read_tail_mixed_20k,C,2f_slru,1,warm,3,3
block2,read_tail_mixed_20k,C,2f_slru,2,standalone,3,3
block2,read_tail_mixed_20k,C,2f_slru,2,warm,3,3
block2,read_tail_mixed_20k,C,2f_slru,3,standalone,3,3
block2,read_tail_mixed_20k,C,2f_slru,3,warm,3,3
block2,read_tail_mixed_20k,C,leaf_freq_K10,1,standalone,3,3
block2,read_tail_mixed_20k,C,leaf_freq_K10,1,warm,3,3
block2,read_tail_mixed_20k,C,leaf_freq_K10,2,standalone,3,3
block2,read_tail_mixed_20k,C,leaf_freq_K10,2,warm,3,3
block2,read_tail_mixed_20k,C,leaf_freq_K10,3,standalone,3,3
block2,read_tail_mixed_20k,C,leaf_freq_K10,3,warm,3,3
block2,read_tail_mixed_20k,C,leaf_rand_K10,1,standalone,3,3
block2,read_tail_mixed_20k,C,leaf_rand_K10,1,warm,3,3
block2,read_tail_mixed_20k,C,leaf_rand_K10,2,standalone,3,3
block2,read_tail_mixed_20k,C,leaf_rand_K10,2,warm,3,3
block2,read_tail_mixed_20k,C,leaf_rand_K10,3,standalone,3,3
block2,read_tail_mixed_20k,C,leaf_rand_K10,3,warm,3,3
block3,native_ycsb_c_read_zipf,YC,2f_top28,1,standalone,3,3
block3,native_ycsb_c_read_zipf,YC,2f_top28,1,warm,3,3
block3,native_ycsb_c_read_zipf,YC,2f_top28,2,standalone,3,3
block3,native_ycsb_c_read_zipf,YC,2f_top28,2,warm,3,3
block3,native_ycsb_c_read_zipf,YC,2f_top28,3,standalone,3,3
block3,native_ycsb_c_read_zipf,YC,2f_top28,3,warm,3,3
block3,native_ycsb_c_read_zipf,YC,learned_markov_28,1,standalone,3,3
block3,native_ycsb_c_read_zipf,YC,learned_markov_28,1,warm,3,3
block3,native_ycsb_c_read_zipf,YC,learned_markov_28,2,standalone,3,3
block3,native_ycsb_c_read_zipf,YC,learned_markov_28,2,warm,3,3
block3,native_ycsb_c_read_zipf,YC,learned_markov_28,3,standalone,3,3
block3,native_ycsb_c_read_zipf,YC,learned_markov_28,3,warm,3,3
block4,native_ycsb_c_hot_hashed_01,YCh01,2d,1,standalone,3,3
block4,native_ycsb_c_hot_hashed_01,YCh01,2d,1,warm,3,3
block4,native_ycsb_c_read_uniform,YCu,2d,1,standalone,3,3
block4,native_ycsb_c_read_uniform,YCu,2d,1,warm,3,3
block4,read_tail_mixed_20k,C,2d,1,standalone,3,3
block4,read_tail_mixed_20k,C,2d,1,warm,3,3
