strategy,workload_id,workload_family,seed,plan_sha256,selected_page_count,selected_interior_count,selected_leaf_count,reconstructed,loso_test_seed,parity_type,matches_frozen
2d,native_ycsb_c_hot_hashed_01,YCh01,1,37ed5e4682d1771c735edc93133bb8ecb77d772a992721b180a9cabaae28745e,92,92,0,static,,structural_static,static
2d,native_ycsb_c_read_uniform,YCu,1,37ed5e4682d1771c735edc93133bb8ecb77d772a992721b180a9cabaae28745e,92,92,0,static,,structural_static,static
2d,read_tail_mixed_20k,C,1,37ed5e4682d1771c735edc93133bb8ecb77d772a992721b180a9cabaae28745e,92,92,0,static,,structural_static,static
2e_K10,native_ycsb_c_hot_hashed_01,YCh01,1,29f4974fe79dd1c2814e8b8b6d8c54a3a7473c77f45024b657b62c2401e32b76,102,92,10,true,,semantic_contract_reconstruction,true
2e_K10,native_ycsb_c_hot_hashed_01,YCh01,2,f46c7604aa83b633ffe29213f952e99a69a6d5094daba31a4cddda1308d928dc,102,92,10,true,,semantic_contract_reconstruction,true
2e_K10,native_ycsb_c_hot_hashed_01,YCh01,3,763b32f9e7d6954c2d7d4b71a0726b9466bc48a472ea3e6da05b9a67cce31450,102,92,10,true,,semantic_contract_reconstruction,true
2e_K10,native_ycsb_c_read_uniform,YCu,1,404ae4be28153c6ebbc5d0926b1de0ec8e894ceda8ca219470c895a8cced6667,102,92,10,true,,semantic_contract_reconstruction,true
2e_K10,native_ycsb_c_read_uniform,YCu,2,3f1c5e699526997438139649d10f0d3638b74ef370d57927bb1f9ec68f3577ec,102,92,10,true,,semantic_contract_reconstruction,true
2e_K10,native_ycsb_c_read_uniform,YCu,3,213412f2b34c381d8d81008c84d9e6c4e32673983575b7951d6ef504bafde934,102,92,10,true,,semantic_contract_reconstruction,true
2e_K10,read_tail_hit_20k,C_hit,1,8c697476f820cb83156afbc4005820602d5039936b4ee0176a048ead15a4fe03,102,92,10,true,,semantic_contract_reconstruction,true
2e_K10,read_tail_hit_20k,C_hit,2,8c697476f820cb83156afbc4005820602d5039936b4ee0176a048ead15a4fe03,102,92,10,true,,semantic_contract_reconstruction,true
2e_K10,read_tail_hit_20k,C_hit,3,8c697476f820cb83156afbc4005820602d5039936b4ee0176a048ead15a4fe03,102,92,10,true,,semantic_contract_reconstruction,true
2e_K10,read_tail_mixed_20k,C,1,585fa6be597571ebbddcb87f73e9594ee4e82a607814b200681c592e86f4c020,102,92,10,true,,semantic_contract_reconstruction,true
2e_K10,read_tail_mixed_20k,C,2,585fa6be597571ebbddcb87f73e9594ee4e82a607814b200681c592e86f4c020,102,92,10,true,,semantic_contract_reconstruction,true
2e_K10,read_tail_mixed_20k,C,3,585fa6be597571ebbddcb87f73e9594ee4e82a607814b200681c592e86f4c020,102,92,10,true,,semantic_contract_reconstruction,true
2f_slru,native_ycsb_c_hot_hashed_01,YCh01,1,c252f3fe8308863c9468ff6a3327fcff3f00f6529f2ef45da70621413dc27d05,26296,92,26204,false,,exact_native_plan,true
2f_slru,native_ycsb_c_hot_hashed_01,YCh01,2,f21ddd4fb8b50a920826e6f45f676bb73cd2bfeb1dfbc1f17fddd9a3db1605bd,26306,92,26214,false,,exact_native_plan,true
2f_slru,native_ycsb_c_hot_hashed_01,YCh01,3,0324f190b9d79ffae096165031545b200c2b895c9f9839cc67641c734268c916,26318,92,26226,false,,exact_native_plan,true
2f_slru,native_ycsb_c_read_uniform,YCu,1,8aaa3bc3f97058cd9c894931bfc2a5e92728ceb94184aa063b8f425294662894,26327,92,26235,false,,exact_native_plan,true
2f_slru,native_ycsb_c_read_uniform,YCu,2,73b7924022ce87ba33e35ea2d79b9521b1452bbc62e19af9604b15477d659886,26328,92,26236,false,,exact_native_plan,true
2f_slru,native_ycsb_c_read_uniform,YCu,3,6630a23aaefce4f008d6ff50428f435a9d8c5a2ba87ccdf35c97ff86200c5e82,26327,92,26235,false,,exact_native_plan,true
2f_slru,read_tail_hit_20k,C_hit,1,09c10c05351f6e4013cc7d0695b701efb7bd027856b1607ec55e91f97c966eba,916,5,911,false,,exact_native_plan,true
2f_slru,read_tail_hit_20k,C_hit,2,af5e80fdd8bd93d9cec9567979ec0d4401427abf91593f86eaa187977669f765,921,5,916,false,,exact_native_plan,true
2f_slru,read_tail_hit_20k,C_hit,3,985e2f5d19a639e51ab210d6ac6eac62d83f95e236711e4418f3455a23472385,918,5,913,false,,exact_native_plan,true
2f_slru,read_tail_mixed_20k,C,1,6d28b6e49c5f4fd4bb45a73ac8d208ca72fdc3bf663bf3646f26cef9326cf23d,483,4,479,false,,exact_native_plan,true
2f_slru,read_tail_mixed_20k,C,2,0ab363cfb2baf8b951a39f5af53a7c4bba348e7da146301d4404ef5bb03162ea,467,4,463,false,,exact_native_plan,true
2f_slru,read_tail_mixed_20k,C,3,70c3686eb5b3820964f795061b65e5393328abae9d03f063ab978f7305d30151,473,4,469,false,,exact_native_plan,true
2f_top28,native_ycsb_c_read_zipf,YC,1,d0d97bab7d88c3c20db76423b93b39224f884b30d3afd817f3f61e516ac40802,28,26,2,false,,exact_native_plan,true
2f_top28,native_ycsb_c_read_zipf,YC,2,51074ba3f1fcb84fbbfa191d9f407f67b1c1900da765f4686e348c345212e345,28,26,2,false,,exact_native_plan,true
2f_top28,native_ycsb_c_read_zipf,YC,3,52c9fb45e22336c0fd5d9195cfd04ce0873106c4687617883751451dca5c7e0a,28,26,2,false,,exact_native_plan,true
leaf_freq_K10,read_tail_mixed_20k,C,1,4b2683b4fa36728935422038cd27d72394ad3c1a2b2ca028803b9ebf60c92dde,10,0,10,false,,exact_native_plan,true
leaf_freq_K10,read_tail_mixed_20k,C,2,4b2683b4fa36728935422038cd27d72394ad3c1a2b2ca028803b9ebf60c92dde,10,0,10,false,,exact_native_plan,true
leaf_freq_K10,read_tail_mixed_20k,C,3,4b2683b4fa36728935422038cd27d72394ad3c1a2b2ca028803b9ebf60c92dde,10,0,10,false,,exact_native_plan,true
leaf_rand_K10,read_tail_mixed_20k,C,1,d228717f5452ab60241d4cc382a55a7f5ef421ac3fc25d5490aac76f35f06714,10,0,10,false,,exact_native_plan,true
leaf_rand_K10,read_tail_mixed_20k,C,2,5099b7bca0ccade8ba9c652c67452344d191b8060d4c6d04287a3711d2c4244e,10,0,10,false,,exact_native_plan,true
leaf_rand_K10,read_tail_mixed_20k,C,3,1db1a90891ba12f9e1ea1a8d4740c31fefd8b9b07adca6ca6adc0c2a348ba18f,10,0,10,false,,exact_native_plan,true
learned_markov_28,native_ycsb_c_read_zipf,YC,1,52c9fb45e22336c0fd5d9195cfd04ce0873106c4687617883751451dca5c7e0a,28,26,2,false,1,exact_native_plan,true
learned_markov_28,native_ycsb_c_read_zipf,YC,2,52c9fb45e22336c0fd5d9195cfd04ce0873106c4687617883751451dca5c7e0a,28,26,2,false,2,exact_native_plan,true
learned_markov_28,native_ycsb_c_read_zipf,YC,3,02aca214bff2fbfc523345e0a8bc016484766a108921c872a91c5a3722084ce8,28,26,2,false,3,exact_native_plan,true
