strategy,workload_id,workload_family,seed,plan_sha256,selected_page_count,selected_interior_count,selected_leaf_count,reconstructed,loso_test_seed,parity_type,matches_frozen
2d,read_tail_hit_20k,C_hit,1,37ed5e4682d1771c735edc93133bb8ecb77d772a992721b180a9cabaae28745e,92,92,0,static,,structural_static,static
2e_K500,native_ycsb_c_hot_hashed_01,YCh01,1,8e4fde30e14ca01670415e10660f7b0c16856a34447ffd33d5721dd18661460b,592,92,500,true,,semantic_contract_reconstruction,true
2e_K500,native_ycsb_c_hot_hashed_01,YCh01,2,8e4fde30e14ca01670415e10660f7b0c16856a34447ffd33d5721dd18661460b,592,92,500,true,,semantic_contract_reconstruction,true
2e_K500,native_ycsb_c_hot_hashed_01,YCh01,3,8e4fde30e14ca01670415e10660f7b0c16856a34447ffd33d5721dd18661460b,592,92,500,true,,semantic_contract_reconstruction,true
2e_K500,native_ycsb_c_read_uniform,YCu,1,4d19e9496706ae8707208f7b26dd851b05dd55141f356341ced08c3be2f44f10,592,92,500,true,,semantic_contract_reconstruction,true
2e_K500,native_ycsb_c_read_uniform,YCu,2,4d19e9496706ae8707208f7b26dd851b05dd55141f356341ced08c3be2f44f10,592,92,500,true,,semantic_contract_reconstruction,true
2e_K500,native_ycsb_c_read_uniform,YCu,3,4d19e9496706ae8707208f7b26dd851b05dd55141f356341ced08c3be2f44f10,592,92,500,true,,semantic_contract_reconstruction,true
2e_K500,read_tail_hit_20k,C_hit,1,ed625bb888983d512035aad499bdee0d5ffa34eb5e1c6f1373dd249be27ba729,592,92,500,true,,semantic_contract_reconstruction,true
2e_K500,read_tail_hit_20k,C_hit,2,ed625bb888983d512035aad499bdee0d5ffa34eb5e1c6f1373dd249be27ba729,592,92,500,true,,semantic_contract_reconstruction,true
2e_K500,read_tail_hit_20k,C_hit,3,ed625bb888983d512035aad499bdee0d5ffa34eb5e1c6f1373dd249be27ba729,592,92,500,true,,semantic_contract_reconstruction,true
2e_K500,read_tail_mixed_20k,C,1,54e2e4214cf749debb1fd2b28764d25c07c9d262dcf44d3520b7fae8ecc5cf0a,426,92,334,true,,semantic_contract_reconstruction,true
2e_K500,read_tail_mixed_20k,C,2,54e2e4214cf749debb1fd2b28764d25c07c9d262dcf44d3520b7fae8ecc5cf0a,426,92,334,true,,semantic_contract_reconstruction,true
2e_K500,read_tail_mixed_20k,C,3,54e2e4214cf749debb1fd2b28764d25c07c9d262dcf44d3520b7fae8ecc5cf0a,426,92,334,true,,semantic_contract_reconstruction,true
2f_top14,native_ycsb_c_hot_hashed_01,YCh01,1,6bc163bdc37961faaced818a72cf90f8eb214f319c881d7bcdb2bab3f1d991b2,14,14,0,false,,exact_native_plan,true
2f_top14,native_ycsb_c_hot_hashed_01,YCh01,2,6bc163bdc37961faaced818a72cf90f8eb214f319c881d7bcdb2bab3f1d991b2,14,14,0,false,,exact_native_plan,true
2f_top14,native_ycsb_c_hot_hashed_01,YCh01,3,6bc163bdc37961faaced818a72cf90f8eb214f319c881d7bcdb2bab3f1d991b2,14,14,0,false,,exact_native_plan,true
2f_top14,native_ycsb_c_read_uniform,YCu,1,74b2a1b3923d6bb6413fb321a50b4147ed5ad355af95296e9763006314830aa2,14,14,0,false,,exact_native_plan,true
2f_top14,native_ycsb_c_read_uniform,YCu,2,74b2a1b3923d6bb6413fb321a50b4147ed5ad355af95296e9763006314830aa2,14,14,0,false,,exact_native_plan,true
2f_top14,native_ycsb_c_read_uniform,YCu,3,74b2a1b3923d6bb6413fb321a50b4147ed5ad355af95296e9763006314830aa2,14,14,0,false,,exact_native_plan,true
2f_top14,native_ycsb_c_read_zipf,YC,1,b47f4c95b55578a34c750905d1f6add40f37232d9aa387c492c9d694c5d4b3f6,14,13,1,false,,exact_native_plan,true
2f_top14,native_ycsb_c_read_zipf,YC,2,b47f4c95b55578a34c750905d1f6add40f37232d9aa387c492c9d694c5d4b3f6,14,13,1,false,,exact_native_plan,true
2f_top14,native_ycsb_c_read_zipf,YC,3,b47f4c95b55578a34c750905d1f6add40f37232d9aa387c492c9d694c5d4b3f6,14,13,1,false,,exact_native_plan,true
2f_top14,read_tail_hit_20k,C_hit,1,27ed80b07e89cb3a38485b5674ae97170321ee42605c2e064df0404b5db17ab0,14,3,11,false,,exact_native_plan,true
2f_top14,read_tail_hit_20k,C_hit,2,27ed80b07e89cb3a38485b5674ae97170321ee42605c2e064df0404b5db17ab0,14,3,11,false,,exact_native_plan,true
2f_top14,read_tail_hit_20k,C_hit,3,27ed80b07e89cb3a38485b5674ae97170321ee42605c2e064df0404b5db17ab0,14,3,11,false,,exact_native_plan,true
2f_top14,read_tail_mixed_20k,C,1,cb5f462cb3fa6e72df6b40203e1ea55b5a6c9d549b6d543c9e21d44a8579635e,14,2,12,false,,exact_native_plan,true
2f_top14,read_tail_mixed_20k,C,2,cb5f462cb3fa6e72df6b40203e1ea55b5a6c9d549b6d543c9e21d44a8579635e,14,2,12,false,,exact_native_plan,true
2f_top14,read_tail_mixed_20k,C,3,cb5f462cb3fa6e72df6b40203e1ea55b5a6c9d549b6d543c9e21d44a8579635e,14,2,12,false,,exact_native_plan,true
2f_top28,native_ycsb_c_hot_hashed_01,YCh01,1,2666de8e2b8ad23e6337f384c872e2c63b20c0dca9c178d779e5673774363cc6,28,28,0,false,,exact_native_plan,true
2f_top28,native_ycsb_c_hot_hashed_01,YCh01,2,2666de8e2b8ad23e6337f384c872e2c63b20c0dca9c178d779e5673774363cc6,28,28,0,false,,exact_native_plan,true
2f_top28,native_ycsb_c_hot_hashed_01,YCh01,3,2666de8e2b8ad23e6337f384c872e2c63b20c0dca9c178d779e5673774363cc6,28,28,0,false,,exact_native_plan,true
2f_top28,native_ycsb_c_read_uniform,YCu,1,cd262561ba6bd10a86ec609b0cb396efd0a958cc024be00e68bcd65c743d55c4,28,28,0,false,,exact_native_plan,true
2f_top28,native_ycsb_c_read_uniform,YCu,2,cd262561ba6bd10a86ec609b0cb396efd0a958cc024be00e68bcd65c743d55c4,28,28,0,false,,exact_native_plan,true
2f_top28,native_ycsb_c_read_uniform,YCu,3,cd262561ba6bd10a86ec609b0cb396efd0a958cc024be00e68bcd65c743d55c4,28,28,0,false,,exact_native_plan,true
2f_top28,read_tail_hit_20k,C_hit,1,5c4caac439f8c171c434e44c570dc4515cbb684183ec768698fe538ff17870af,28,3,25,false,,exact_native_plan,true
2f_top28,read_tail_hit_20k,C_hit,2,5c4caac439f8c171c434e44c570dc4515cbb684183ec768698fe538ff17870af,28,3,25,false,,exact_native_plan,true
2f_top28,read_tail_hit_20k,C_hit,3,5c4caac439f8c171c434e44c570dc4515cbb684183ec768698fe538ff17870af,28,3,25,false,,exact_native_plan,true
2f_top28,read_tail_mixed_20k,C,1,8ffdc0fcf1045e1a0e6731788887a7b7407f576b1f492cc304f2430b8655dbc7,28,2,26,false,,exact_native_plan,true
2f_top28,read_tail_mixed_20k,C,2,8ffdc0fcf1045e1a0e6731788887a7b7407f576b1f492cc304f2430b8655dbc7,28,2,26,false,,exact_native_plan,true
2f_top28,read_tail_mixed_20k,C,3,8ffdc0fcf1045e1a0e6731788887a7b7407f576b1f492cc304f2430b8655dbc7,28,2,26,false,,exact_native_plan,true
layers_5,native_ycsb_c_hot_hashed_01,YCh01,1,eecb179459970a14889106aaf4df8ae19761cab38f174831dba9643223724f3a,5,5,0,static,,structural_static,static
layers_5,native_ycsb_c_read_uniform,YCu,1,eecb179459970a14889106aaf4df8ae19761cab38f174831dba9643223724f3a,5,5,0,static,,structural_static,static
layers_5,read_tail_mixed_20k,C,1,eecb179459970a14889106aaf4df8ae19761cab38f174831dba9643223724f3a,5,5,0,static,,structural_static,static
layers_92,native_ycsb_c_hot_hashed_01,YCh01,1,37ed5e4682d1771c735edc93133bb8ecb77d772a992721b180a9cabaae28745e,92,92,0,static,,structural_static,static
layers_92,native_ycsb_c_read_uniform,YCu,1,37ed5e4682d1771c735edc93133bb8ecb77d772a992721b180a9cabaae28745e,92,92,0,static,,structural_static,static
layers_92,native_ycsb_c_read_zipf,YC,1,37ed5e4682d1771c735edc93133bb8ecb77d772a992721b180a9cabaae28745e,92,92,0,static,,structural_static,static
layers_92,read_tail_hit_20k,C_hit,1,37ed5e4682d1771c735edc93133bb8ecb77d772a992721b180a9cabaae28745e,92,92,0,static,,structural_static,static
learned_markov_14,native_ycsb_c_hot_hashed_01,YCh01,1,a7cad67b1359631dfe74b1b9e31fa4f2c982288e88023588a513d4d4c9dad4a9,14,14,0,false,1,exact_native_plan,true
learned_markov_14,native_ycsb_c_hot_hashed_01,YCh01,2,a7cad67b1359631dfe74b1b9e31fa4f2c982288e88023588a513d4d4c9dad4a9,14,14,0,false,2,exact_native_plan,true
learned_markov_14,native_ycsb_c_hot_hashed_01,YCh01,3,a7cad67b1359631dfe74b1b9e31fa4f2c982288e88023588a513d4d4c9dad4a9,14,14,0,false,3,exact_native_plan,true
