block_id,workload_id,workload_family,target_strategy,seed,handle_mode,n_pairs,n_repetitions
block12,read_tail_mixed_20k,C,2e_K40,1,standalone,3,3
block12,read_tail_mixed_20k,C,2e_K40,1,warm,3,3
block12,read_tail_mixed_20k,C,2e_K92,1,standalone,3,3
block12,read_tail_mixed_20k,C,2e_K92,1,warm,3,3
block13,read_tail_hit_20k,C_hit,2e_K40,1,standalone,3,3
block13,read_tail_hit_20k,C_hit,2e_K40,1,warm,3,3
block13,read_tail_hit_20k,C_hit,2e_K40,2,standalone,3,3
block13,read_tail_hit_20k,C_hit,2e_K40,2,warm,3,3
block13,read_tail_hit_20k,C_hit,2e_K40,3,standalone,3,3
block13,read_tail_hit_20k,C_hit,2e_K40,3,warm,3,3
block13,read_tail_hit_20k,C_hit,2e_K92,1,standalone,3,3
block13,read_tail_hit_20k,C_hit,2e_K92,1,warm,3,3
block13,read_tail_hit_20k,C_hit,2e_K92,2,standalone,3,3
block13,read_tail_hit_20k,C_hit,2e_K92,2,warm,3,3
block13,read_tail_hit_20k,C_hit,2e_K92,3,standalone,3,3
block13,read_tail_hit_20k,C_hit,2e_K92,3,warm,3,3
block14,read_tail_mixed_20k,C,learned_markov_14,1,standalone,3,3
block14,read_tail_mixed_20k,C,learned_markov_14,1,warm,3,3
block14,read_tail_mixed_20k,C,learned_markov_14,2,standalone,3,3
block14,read_tail_mixed_20k,C,learned_markov_14,2,warm,3,3
block14,read_tail_mixed_20k,C,learned_markov_14,3,standalone,3,3
block14,read_tail_mixed_20k,C,learned_markov_14,3,warm,3,3
block15,read_tail_mixed_20k,C,layers_92,1,standalone,3,3
block15,read_tail_mixed_20k,C,layers_92,1,warm,3,3
block16,native_ycsb_c_hot_hashed_01,YCh01,lp_shuf,1,standalone,3,3
block16,native_ycsb_c_hot_hashed_01,YCh01,lp_shuf,1,warm,3,3
block16,native_ycsb_c_hot_hashed_01,YCh01,lp_shuf,2,standalone,3,3
block16,native_ycsb_c_hot_hashed_01,YCh01,lp_shuf,2,warm,3,3
block16,native_ycsb_c_hot_hashed_01,YCh01,lp_shuf,3,standalone,3,3
block16,native_ycsb_c_hot_hashed_01,YCh01,lp_shuf,3,warm,3,3
block16,native_ycsb_c_hot_hashed_01,YCh01,lp_sorted,1,standalone,3,3
block16,native_ycsb_c_hot_hashed_01,YCh01,lp_sorted,1,warm,3,3
block16,native_ycsb_c_hot_hashed_01,YCh01,lp_sorted,2,standalone,3,3
block16,native_ycsb_c_hot_hashed_01,YCh01,lp_sorted,2,warm,3,3
block16,native_ycsb_c_hot_hashed_01,YCh01,lp_sorted,3,standalone,3,3
block16,native_ycsb_c_hot_hashed_01,YCh01,lp_sorted,3,warm,3,3
block16,native_ycsb_c_read_uniform,YCu,lp_shuf,1,standalone,3,3
block16,native_ycsb_c_read_uniform,YCu,lp_shuf,1,warm,3,3
block16,native_ycsb_c_read_uniform,YCu,lp_shuf,2,standalone,3,3
block16,native_ycsb_c_read_uniform,YCu,lp_shuf,2,warm,3,3
block16,native_ycsb_c_read_uniform,YCu,lp_shuf,3,standalone,3,3
block16,native_ycsb_c_read_uniform,YCu,lp_shuf,3,warm,3,3
block16,native_ycsb_c_read_uniform,YCu,lp_sorted,1,standalone,3,3
block16,native_ycsb_c_read_uniform,YCu,lp_sorted,1,warm,3,3
block16,native_ycsb_c_read_uniform,YCu,lp_sorted,2,standalone,3,3
block16,native_ycsb_c_read_uniform,YCu,lp_sorted,2,warm,3,3
block16,native_ycsb_c_read_uniform,YCu,lp_sorted,3,standalone,3,3
block16,native_ycsb_c_read_uniform,YCu,lp_sorted,3,warm,3,3
block16,native_ycsb_c_read_zipf,YC,lp_shuf,1,standalone,3,3
block16,native_ycsb_c_read_zipf,YC,lp_shuf,1,warm,3,3
block16,native_ycsb_c_read_zipf,YC,lp_shuf,2,standalone,3,3
block16,native_ycsb_c_read_zipf,YC,lp_shuf,2,warm,3,3
block16,native_ycsb_c_read_zipf,YC,lp_shuf,3,standalone,3,3
block16,native_ycsb_c_read_zipf,YC,lp_shuf,3,warm,3,3
block16,native_ycsb_c_read_zipf,YC,lp_sorted,1,standalone,3,3
block16,native_ycsb_c_read_zipf,YC,lp_sorted,1,warm,3,3
block16,native_ycsb_c_read_zipf,YC,lp_sorted,2,standalone,3,3
block16,native_ycsb_c_read_zipf,YC,lp_sorted,2,warm,3,3
block16,native_ycsb_c_read_zipf,YC,lp_sorted,3,standalone,3,3
block16,native_ycsb_c_read_zipf,YC,lp_sorted,3,warm,3,3
block16,read_tail_hit_20k,C_hit,lp_shuf,1,standalone,3,3
block16,read_tail_hit_20k,C_hit,lp_shuf,1,warm,3,3
block16,read_tail_hit_20k,C_hit,lp_shuf,2,standalone,3,3
block16,read_tail_hit_20k,C_hit,lp_shuf,2,warm,3,3
block16,read_tail_hit_20k,C_hit,lp_shuf,3,standalone,3,3
block16,read_tail_hit_20k,C_hit,lp_shuf,3,warm,3,3
block16,read_tail_hit_20k,C_hit,lp_sorted,1,standalone,3,3
block16,read_tail_hit_20k,C_hit,lp_sorted,1,warm,3,3
block16,read_tail_hit_20k,C_hit,lp_sorted,2,standalone,3,3
block16,read_tail_hit_20k,C_hit,lp_sorted,2,warm,3,3
block16,read_tail_hit_20k,C_hit,lp_sorted,3,standalone,3,3
block16,read_tail_hit_20k,C_hit,lp_sorted,3,warm,3,3
block17,read_tail_mixed_20k,C,lp_shuf,1,standalone,3,3
block17,read_tail_mixed_20k,C,lp_shuf,1,warm,3,3
block17,read_tail_mixed_20k,C,lp_sorted,1,standalone,3,3
block17,read_tail_mixed_20k,C,lp_sorted,1,warm,3,3
