strategy,workload_id,workload_family,seed,plan_sha256,selected_page_count,selected_interior_count,selected_leaf_count,delivery_method,reconstructed,loso_test_seed,parity_type,matches_frozen
2e_K40,read_tail_hit_20k,C_hit,1,d7a31d42b3376ae9245b0099cc4eda9e76df3e44321cfe327eeca968eaed734c,132,92,40,madvise_willneed,true,,semantic_contract_reconstruction,true
2e_K40,read_tail_hit_20k,C_hit,2,d7a31d42b3376ae9245b0099cc4eda9e76df3e44321cfe327eeca968eaed734c,132,92,40,madvise_willneed,true,,semantic_contract_reconstruction,true
2e_K40,read_tail_hit_20k,C_hit,3,d7a31d42b3376ae9245b0099cc4eda9e76df3e44321cfe327eeca968eaed734c,132,92,40,madvise_willneed,true,,semantic_contract_reconstruction,true
2e_K40,read_tail_mixed_20k,C,1,44b2f049199da0cdfd2df4b33e99d61636b1c70ba20041c32cd84e1d26ad240b,132,92,40,madvise_willneed,true,,semantic_contract_reconstruction,true
2e_K92,read_tail_hit_20k,C_hit,1,cfec4c5e86bc43fe4a9c90552aac9d422ec748865f765d142cf40f8a84291933,184,92,92,madvise_willneed,true,,semantic_contract_reconstruction,true
2e_K92,read_tail_hit_20k,C_hit,2,cfec4c5e86bc43fe4a9c90552aac9d422ec748865f765d142cf40f8a84291933,184,92,92,madvise_willneed,true,,semantic_contract_reconstruction,true
2e_K92,read_tail_hit_20k,C_hit,3,cfec4c5e86bc43fe4a9c90552aac9d422ec748865f765d142cf40f8a84291933,184,92,92,madvise_willneed,true,,semantic_contract_reconstruction,true
2e_K92,read_tail_mixed_20k,C,1,8261d4e526b9252561cb6cd38b21927ff74aebca4e43faaa28d0cc6318627259,184,92,92,madvise_willneed,true,,semantic_contract_reconstruction,true
layers_92,read_tail_mixed_20k,C,1,37ed5e4682d1771c735edc93133bb8ecb77d772a992721b180a9cabaae28745e,92,92,0,madvise_willneed,static,,structural_static,static
learned_markov_14,read_tail_mixed_20k,C,1,cb5f462cb3fa6e72df6b40203e1ea55b5a6c9d549b6d543c9e21d44a8579635e,14,2,12,madvise_willneed,false,1,exact_native_plan,true
learned_markov_14,read_tail_mixed_20k,C,2,cb5f462cb3fa6e72df6b40203e1ea55b5a6c9d549b6d543c9e21d44a8579635e,14,2,12,madvise_willneed,false,2,exact_native_plan,true
learned_markov_14,read_tail_mixed_20k,C,3,cb5f462cb3fa6e72df6b40203e1ea55b5a6c9d549b6d543c9e21d44a8579635e,14,2,12,madvise_willneed,false,3,exact_native_plan,true
