campaign,strategy,handle_mode,n_target_invocations,n_seeds,footprint_constant,selected_page_count_min,selected_page_count_max,selected_interior_count_min,selected_interior_count_max,selected_leaf_count_min,selected_leaf_count_max,selected_bytes_min,selected_bytes_max,first_query_us_median,first_query_us_p25,first_query_us_p75,first_query_us_mean,first_query_us_std,deliver_us_median,deliver_us_p25,deliver_us_p75,deliver_us_mean,deliver_us_std,open_us_median,open_us_p25,open_us_p75,open_us_mean,open_us_std,select_us_median,select_us_p25,select_us_p75,select_us_mean,select_us_std,reset_us_median,reset_us_p25,reset_us_p75,reset_us_mean,reset_us_std,handler_total_us_median,handler_total_us_p25,handler_total_us_p75,handler_total_us_mean,handler_total_us_std
primary,2d,warm,100,10,true,92,92,92,92,0,0,376832,376832,613.9250,317.6895,2269.7825,1244.7790,978.9273,412.8650,393.2885,470.3275,432.2926,40.7692,0,0,0,0,0,9.5075,9.1855,9.7737,9.5371,0.5645,4062.8785,3936.2920,6820.8753,6471.0186,4270.2020,6620.4390,5583.1560,9959.5268,9026.4093,4845.1333
primary,2d,standalone,100,10,true,92,92,92,92,0,0,376832,376832,230.1135,85.0027,240.6107,182.0889,86.1774,451.6070,394.5788,469.7993,434.2552,40.2075,413.2510,401.4543,2324.7027,1282.5746,966.6111,9.3025,9.1170,9.7605,9.4700,0.6078,4026.5195,3931.3015,13197.7590,6596.0864,4262.1759,6456.0880,5932.6215,16761.0497,9384.6214,4861.1558
primary,layers_5,warm,100,10,true,5,5,5,5,0,0,20480,20480,2436.3135,273.6515,2638.8560,1467.4952,1176.1257,36.2080,35.4060,36.8455,36.1077,2.4821,0,0,0,0,0,4.1830,4.0145,4.3680,4.2526,0.4418,4050.8960,3956.6130,4149.1870,4055.0166,141.6531,7235.9705,5105.3648,7559.2965,6354.5251,1227.8119
primary,layers_5,standalone,100,10,true,5,5,5,5,0,0,20480,20480,235.0275,203.8175,298.5813,237.7767,83.9304,36.2925,35.6710,36.7905,36.0709,1.7408,400.7010,364.4035,2616.0073,1401.2071,1117.0940,4.1375,3.9623,4.2980,4.1954,0.3598,4014.9555,3949.7520,4135.2820,4047.1832,147.5201,5643.2730,5405.9203,7725.3978,6523.2303,1179.9954
primary,2e_K10,warm,100,10,true,102,102,92,92,10,10,417792,417792,326.2870,311.1738,2229.5383,1209.0780,973.5188,502.3170,433.4488,518.1553,478.3524,44.4611,0,0,0,0,0,12.1380,11.8270,12.3880,12.2528,0.8117,3995.1720,3926.9277,4096.4500,4017.9439,128.8564,6064.0985,5673.1123,7531.7958,6583.9403,926.3926
primary,2e_K10,standalone,100,10,true,102,102,92,92,10,10,417792,417792,226.3920,74.5990,240.1770,164.5211,100.3315,490.1580,432.0350,515.7668,477.0524,46.2952,527.2860,398.0362,2303.2490,1276.8745,944.6442,12.1775,11.7895,12.4830,12.2685,0.7870,3972.9075,3910.8455,4122.3842,4015.2906,162.4203,6390.5250,5970.2665,7727.1623,6830.3414,894.4406
primary,2f_slru,warm,100,10,false,26323,26331,92,92,26231,26239,107819008,107851776,37.3295,36.2248,38.6953,37.4190,2.5083,103343.8535,102996.3858,103843.7510,103543.4119,1125.2928,0,0,0,0,0,663.7010,650.3347,669.3743,668.3580,53.5807,4054.4835,3942.9688,4128.6462,4062.6169,173.2937,110099.3370,109719.8140,110623.5177,110313.3759,1241.9926
primary,2f_slru,standalone,100,10,false,26323,26331,92,92,26231,26239,107819008,107851776,13.7810,13.4860,14.1260,13.8389,0.5999,103247.8840,102824.6155,103664.4728,103501.5441,1494.3225,179.3835,176.3580,182.8285,180.2108,5.6964,665.5940,652.3645,670.4275,661.6717,26.4003,4046.3820,3937.7230,4159.8488,4056.3042,160.8064,110074.8235,109655.3782,110691.6548,110398.3615,1533.2481
secondary,2e_K500,warm,100,10,true,592,592,92,92,500,500,2424832,2424832,328.7425,309.4468,1092.5838,630.4656,409.1864,2547.6585,2145.8218,2601.5478,2406.1208,237.6293,0,0,0,0,0,26.1635,25.6180,26.7775,26.4334,1.3684,3986.1470,3900.5915,4090.4970,4008.1647,134.0007,7995.7405,7777.2537,8174.6073,7981.8507,244.2779
secondary,2e_K500,standalone,100,10,true,592,592,92,92,500,500,2424832,2424832,87.7085,71.9645,229.9108,129.3014,91.9368,2539.3330,2144.4178,2596.2212,2409.0845,223.5443,403.0850,395.5485,1043.8122,654.2489,365.3021,26.1430,25.6245,26.8017,26.6303,2.0836,3986.5985,3919.7087,4091.9367,4018.0127,145.7738,8131.9215,7977.9727,8327.5790,8153.3966,263.8846
secondary,leaf_freq_K10,warm,100,10,true,10,10,0,0,10,10,40960,40960,517.9290,304.7348,2421.6878,1308.8738,1064.7373,58.4290,57.2135,59.8268,58.6533,2.5866,0,0,0,0,0,6.4215,6.1617,6.6045,6.4752,0.5286,4068.9000,3924.4940,4355.6028,4132.1582,250.2401,5591.8825,5163.2865,7647.0198,6345.3319,1229.0983
