campaign,strategy,handle_mode,position_within_pair,n,select_us_median,select_us_p25,select_us_p75,deliver_us_median,deliver_us_p25,deliver_us_p75,first_query_us_median,first_query_us_p25,first_query_us_p75,handler_total_us_median,handler_total_us_p25,handler_total_us_p75
primary,2d,warm,1,52,9.4930,9.1045,9.7957,393.3985,391.3288,397.1475,2269.4505,2141.2385,2296.0060,8106.9255,7473.6050,17199.3372
primary,2d,warm,2,48,9.5220,9.2045,9.7355,470.3700,465.1465,475.2618,318.1025,263.7212,327.1913,5585.0805,5499.4220,5715.7463
primary,layers_5,warm,1,56,4.1925,4.0545,4.3812,35.9220,35.1475,36.8455,2631.8975,2520.7873,2679.5555,7547.5020,7398.7403,7613.3105
primary,layers_5,warm,2,44,4.1620,4.0047,4.3430,36.2675,35.8337,36.8005,273.2935,269.6642,275.8257,5094.4540,5020.2677,5210.3675
primary,2e_K10,warm,1,51,12.0920,11.6970,12.3380,433.4660,429.9065,436.9845,2229.3180,2133.2000,2273.2645,7527.3090,7403.3850,7650.0700
primary,2e_K10,warm,2,49,12.1930,11.9220,12.3830,516.9520,511.4520,523.0230,312.4720,271.4870,321.4690,5675.9820,5607.6390,5756.7470
primary,2f_slru,warm,1,54,662.3475,649.6567,667.6243,103400.2735,103061.1915,103887.2245,37.3490,36.2698,38.8370,110227.0830,109851.1693,110584.1940
primary,2f_slru,warm,2,46,665.9600,651.2867,671.6550,103253.5585,102825.3975,103827.1318,37.3200,36.1220,38.6350,110040.7370,109470.4257,110657.6493
secondary,2e_K500,warm,1,44,26.0690,25.4772,26.7300,2136.5255,2119.9918,2175.3570,1107.6710,1029.7798,1154.8580,8160.9095,8046.8472,8247.2558
secondary,2e_K500,warm,2,56,26.2635,25.6955,26.8675,2600.8000,2569.2065,2609.8675,311.4600,234.9102,320.7545,7784.8415,7731.0165,7978.7895
secondary,leaf_freq_K10,warm,1,50,6.4320,6.2437,6.6205,57.9930,56.4475,59.2575,2421.7655,2391.3092,2464.7333,7651.3945,7359.5157,7799.2833
secondary,leaf_freq_K10,warm,2,50,6.3920,6.1320,6.5570,58.8845,57.9073,60.0117,303.2495,287.3927,317.8465,5161.4410,5077.7153,5298.3775
secondary,leaf_rand_K10,warm,1,54,6.3920,6.1460,6.5905,58.4840,57.2163,59.8265,2442.1645,2404.0503,2469.7488,7319.1745,7218.1343,7407.9463
secondary,leaf_rand_K10,warm,2,46,6.3820,6.2538,6.6197,58.2740,57.3837,58.9050,304.8070,238.1980,335.3060,5175.4460,5071.9265,5342.3292
secondary,2f_top102,warm,1,49,11.7710,11.3410,12.1230,431.5830,428.3670,435.8320,2117.8940,2081.4950,2144.4400,7371.8010,7296.0090,7468.9480
secondary,2f_top102,warm,2,51,11.9120,11.6220,12.5285,512.9440,489.7805,520.2930,307.2720,259.2625,319.4135,5644.2410,5535.8625,5798.8590
secondary,learned_markov_102,warm,1,53,11.8720,11.4610,12.1630,430.6120,427.2160,433.7380,2113.5560,2077.3990,2143.0370,7457.3090,7367.2060,7579.1470
secondary,learned_markov_102,warm,2,47,11.8720,11.4765,12.2830,509.8390,484.0910,521.6055,305.6090,163.5995,318.3525,5602.4640,5517.3565,5788.6530
