campaign,pair_id,workload,seed,handle_mode,first_operation_id,repetition_id,paired_target_strategy,first_strategy,second_strategy,baseline_schedule_position,target_schedule_position,baseline_request_id,target_request_id,same_warm_session,same_run_config,same_manifest,same_image,baseline_first_query_us,target_first_query_us,baseline_open_us,target_open_us,baseline_deliver_us,target_deliver_us
primary,native_ycsb_c_read_zipf-s1-f0-warm-r0-2d,native_ycsb_c_read_zipf,1,warm,0,0,2d,2d,baseline,2,1,native_ycsb_c_read_zipf-s1-f0-warm-r0-2d:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r0-2d:2d,true,true,true,true,391.844,147.877,0.0,0.0,0.151,425.105
primary,native_ycsb_c_read_zipf-s1-f0-warm-r0-layers_5,native_ycsb_c_read_zipf,1,warm,0,0,layers_5,layers_5,baseline,4,3,native_ycsb_c_read_zipf-s1-f0-warm-r0-layers_5:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r0-layers_5:layers_5,true,true,true,true,309.769,2665.277,0.0,0.0,0.14,37.249
primary,native_ycsb_c_read_zipf-s1-f0-warm-r0-2e_K10,native_ycsb_c_read_zipf,1,warm,0,0,2e_K10,2e_K10,baseline,6,5,native_ycsb_c_read_zipf-s1-f0-warm-r0-2e_K10:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r0-2e_K10:2e_K10,true,true,true,true,384.82,2150.354,0.0,0.0,0.15,431.807
primary,native_ycsb_c_read_zipf-s1-f0-warm-r0-2f_slru,native_ycsb_c_read_zipf,1,warm,0,0,2f_slru,2f_slru,baseline,8,7,native_ycsb_c_read_zipf-s1-f0-warm-r0-2f_slru:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r0-2f_slru:2f_slru,true,true,true,true,403.665,40.105,0.0,0.0,0.16,105175.213
primary,native_ycsb_c_read_zipf-s1-f0-warm-r1-2d,native_ycsb_c_read_zipf,1,warm,0,1,2d,2d,baseline,10,9,native_ycsb_c_read_zipf-s1-f0-warm-r1-2d:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r1-2d:2d,true,true,true,true,399.176,2302.537,0.0,0.0,0.14,392.064
primary,native_ycsb_c_read_zipf-s1-f0-warm-r1-layers_5,native_ycsb_c_read_zipf,1,warm,0,1,layers_5,baseline,layers_5,11,12,native_ycsb_c_read_zipf-s1-f0-warm-r1-layers_5:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r1-layers_5:layers_5,true,true,true,true,3416.041,274.724,0.0,0.0,0.151,36.267
primary,native_ycsb_c_read_zipf-s1-f0-warm-r1-2e_K10,native_ycsb_c_read_zipf,1,warm,0,1,2e_K10,baseline,2e_K10,13,14,native_ycsb_c_read_zipf-s1-f0-warm-r1-2e_K10:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r1-2e_K10:2e_K10,true,true,true,true,3256.421,313.416,0.0,0.0,0.14,515.354
primary,native_ycsb_c_read_zipf-s1-f0-warm-r1-2f_slru,native_ycsb_c_read_zipf,1,warm,0,1,2f_slru,2f_slru,baseline,16,15,native_ycsb_c_read_zipf-s1-f0-warm-r1-2f_slru:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r1-2f_slru:2f_slru,true,true,true,true,399.827,39.725,0.0,0.0,0.151,103907.001
primary,native_ycsb_c_read_zipf-s1-f0-warm-r2-2d,native_ycsb_c_read_zipf,1,warm,0,2,2d,baseline,2d,17,18,native_ycsb_c_read_zipf-s1-f0-warm-r2-2d:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r2-2d:2d,true,true,true,true,3398.336,306.965,0.0,0.0,0.14,562.302
primary,native_ycsb_c_read_zipf-s1-f0-warm-r2-layers_5,native_ycsb_c_read_zipf,1,warm,0,2,layers_5,layers_5,baseline,20,19,native_ycsb_c_read_zipf-s1-f0-warm-r2-layers_5:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r2-layers_5:layers_5,true,true,true,true,311.572,2599.723,0.0,0.0,0.151,31.86
