campaign,pair_id,block_id,workload,seed,handle_mode,first_operation_id,repetition_id,paired_target_strategy,first_strategy,second_strategy,baseline_schedule_position,target_schedule_position,baseline_request_id,target_request_id,same_warm_session,same_run_config,same_manifest,same_image,baseline_first_query_us,target_first_query_us,baseline_open_us,target_open_us,baseline_deliver_us,target_deliver_us
portability_ext,native_ycsb_c_read_zipf-s1-f0-warm-r0-2f_top14,block5,native_ycsb_c_read_zipf,1,warm,0,0,2f_top14,baseline,2f_top14,1,2,native_ycsb_c_read_zipf-s1-f0-warm-r0-2f_top14:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r0-2f_top14:2f_top14,true,true,true,true,246.579,156.862,0.0,0.0,0.131,99.906
portability_ext,native_ycsb_c_read_zipf-s1-f0-warm-r0-learned_markov_14,block5,native_ycsb_c_read_zipf,1,warm,0,0,learned_markov_14,learned_markov_14,baseline,4,3,native_ycsb_c_read_zipf-s1-f0-warm-r0-learned_markov_14:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r0-learned_markov_14:learned_markov_14,true,true,true,true,224.137,2201.959,0.0,0.0,0.14,72.395
portability_ext,native_ycsb_c_read_zipf-s1-f0-warm-r1-2f_top14,block5,native_ycsb_c_read_zipf,1,warm,0,1,2f_top14,baseline,2f_top14,5,6,native_ycsb_c_read_zipf-s1-f0-warm-r1-2f_top14:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r1-2f_top14:2f_top14,true,true,true,true,3003.06,139.78,0.0,0.0,0.15,80.269
portability_ext,native_ycsb_c_read_zipf-s1-f0-warm-r1-learned_markov_14,block5,native_ycsb_c_read_zipf,1,warm,0,1,learned_markov_14,learned_markov_14,baseline,8,7,native_ycsb_c_read_zipf-s1-f0-warm-r1-learned_markov_14:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r1-learned_markov_14:learned_markov_14,true,true,true,true,226.081,2140.225,0.0,0.0,0.12,74.047
portability_ext,native_ycsb_c_read_zipf-s1-f0-warm-r2-2f_top14,block5,native_ycsb_c_read_zipf,1,warm,0,2,2f_top14,baseline,2f_top14,9,10,native_ycsb_c_read_zipf-s1-f0-warm-r2-2f_top14:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r2-2f_top14:2f_top14,true,true,true,true,3070.105,141.122,0.0,0.0,0.12,81.783
portability_ext,native_ycsb_c_read_zipf-s1-f0-warm-r2-learned_markov_14,block5,native_ycsb_c_read_zipf,1,warm,0,2,learned_markov_14,baseline,learned_markov_14,11,12,native_ycsb_c_read_zipf-s1-f0-warm-r2-learned_markov_14:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r2-learned_markov_14:learned_markov_14,true,true,true,true,3067.37,138.548,0.0,0.0,0.13,81.812
portability_ext,native_ycsb_c_read_zipf-s1-f0-standalone-r0-2f_top14,block5,native_ycsb_c_read_zipf,1,standalone,0,0,2f_top14,2f_top14,baseline,14,13,native_ycsb_c_read_zipf-s1-f0-standalone-r0-2f_top14:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r0-2f_top14:2f_top14,true,true,true,true,138.388,95.889,234.837,2259.797,0.141,73.307
portability_ext,native_ycsb_c_read_zipf-s1-f0-standalone-r0-learned_markov_14,block5,native_ycsb_c_read_zipf,1,standalone,0,0,learned_markov_14,baseline,learned_markov_14,15,16,native_ycsb_c_read_zipf-s1-f0-standalone-r0-learned_markov_14:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r0-learned_markov_14:learned_markov_14,true,true,true,true,139.61,77.133,3084.442,234.957,0.141,80.43
portability_ext,native_ycsb_c_read_zipf-s1-f0-standalone-r1-2f_top14,block5,native_ycsb_c_read_zipf,1,standalone,0,1,2f_top14,baseline,2f_top14,17,18,native_ycsb_c_read_zipf-s1-f0-standalone-r1-2f_top14:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r1-2f_top14:2f_top14,true,true,true,true,151.442,74.108,3074.483,240.097,0.13,88.444
portability_ext,native_ycsb_c_read_zipf-s1-f0-standalone-r1-learned_markov_14,block5,native_ycsb_c_read_zipf,1,standalone,0,1,learned_markov_14,learned_markov_14,baseline,20,19,native_ycsb_c_read_zipf-s1-f0-standalone-r1-learned_markov_14:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r1-learned_markov_14:learned_markov_14,true,true,true,true,132.777,91.11,232.903,2283.09,0.131,78.216
