campaign,pair_id,block_id,workload,seed,handle_mode,first_operation_id,repetition_id,paired_target_strategy,first_strategy,second_strategy,baseline_schedule_position,target_schedule_position,baseline_request_id,target_request_id,same_warm_session,same_run_config,same_manifest,same_image,baseline_first_query_us,target_first_query_us,baseline_open_us,target_open_us,baseline_deliver_us,target_deliver_us
portability_full_closure,read_tail_mixed_20k-s1-f0-warm-r0-2e_K40,block12,read_tail_mixed_20k,1,warm,0,0,2e_K40,2e_K40,baseline,2,1,read_tail_mixed_20k-s1-f0-warm-r0-2e_K40:baseline,read_tail_mixed_20k-s1-f0-warm-r0-2e_K40:2e_K40,true,true,true,true,387.539,260.058,0.0,0.0,0.271,653.709
portability_full_closure,read_tail_mixed_20k-s1-f0-warm-r0-2e_K92,block12,read_tail_mixed_20k,1,warm,0,0,2e_K92,baseline,2e_K92,3,4,read_tail_mixed_20k-s1-f0-warm-r0-2e_K92:baseline,read_tail_mixed_20k-s1-f0-warm-r0-2e_K92:2e_K92,true,true,true,true,3224.85,264.056,0.0,0.0,0.19,887.608
portability_full_closure,read_tail_mixed_20k-s1-f0-warm-r1-2e_K40,block12,read_tail_mixed_20k,1,warm,0,1,2e_K40,2e_K40,baseline,6,5,read_tail_mixed_20k-s1-f0-warm-r1-2e_K40:baseline,read_tail_mixed_20k-s1-f0-warm-r1-2e_K40:2e_K40,true,true,true,true,385.925,2073.667,0.0,0.0,0.451,529.435
portability_full_closure,read_tail_mixed_20k-s1-f0-warm-r1-2e_K92,block12,read_tail_mixed_20k,1,warm,0,1,2e_K92,baseline,2e_K92,7,8,read_tail_mixed_20k-s1-f0-warm-r1-2e_K92:baseline,read_tail_mixed_20k-s1-f0-warm-r1-2e_K92:2e_K92,true,true,true,true,3186.568,100.288,0.0,0.0,0.18,834.238
portability_full_closure,read_tail_mixed_20k-s1-f0-warm-r2-2e_K40,block12,read_tail_mixed_20k,1,warm,0,2,2e_K40,baseline,2e_K40,9,10,read_tail_mixed_20k-s1-f0-warm-r2-2e_K40:baseline,read_tail_mixed_20k-s1-f0-warm-r2-2e_K40:2e_K40,true,true,true,true,3187.93,259.137,0.0,0.0,0.22,654.64
portability_full_closure,read_tail_mixed_20k-s1-f0-warm-r2-2e_K92,block12,read_tail_mixed_20k,1,warm,0,2,2e_K92,baseline,2e_K92,11,12,read_tail_mixed_20k-s1-f0-warm-r2-2e_K92:baseline,read_tail_mixed_20k-s1-f0-warm-r2-2e_K92:2e_K92,true,true,true,true,3163.483,258.075,0.0,0.0,0.2,866.178
portability_full_closure,read_tail_mixed_20k-s1-f0-standalone-r0-2e_K40,block12,read_tail_mixed_20k,1,standalone,0,0,2e_K40,baseline,2e_K40,13,14,read_tail_mixed_20k-s1-f0-standalone-r0-2e_K40:baseline,read_tail_mixed_20k-s1-f0-standalone-r0-2e_K40:2e_K40,true,true,true,true,133.731,15.429,3291.334,244.81,0.291,612.03
portability_full_closure,read_tail_mixed_20k-s1-f0-standalone-r0-2e_K92,block12,read_tail_mixed_20k,1,standalone,0,0,2e_K92,baseline,2e_K92,15,16,read_tail_mixed_20k-s1-f0-standalone-r0-2e_K92:baseline,read_tail_mixed_20k-s1-f0-standalone-r0-2e_K92:2e_K92,true,true,true,true,140.724,15.559,3297.906,398.248,0.33,868.512
portability_full_closure,read_tail_mixed_20k-s1-f0-standalone-r1-2e_K40,block12,read_tail_mixed_20k,1,standalone,0,1,2e_K40,2e_K40,baseline,18,17,read_tail_mixed_20k-s1-f0-standalone-r1-2e_K40:baseline,read_tail_mixed_20k-s1-f0-standalone-r1-2e_K40:2e_K40,true,true,true,true,126.036,15.84,252.174,2108.321,0.18,532.791
portability_full_closure,read_tail_mixed_20k-s1-f0-standalone-r1-2e_K92,block12,read_tail_mixed_20k,1,standalone,0,1,2e_K92,baseline,2e_K92,19,20,read_tail_mixed_20k-s1-f0-standalone-r1-2e_K92:baseline,read_tail_mixed_20k-s1-f0-standalone-r1-2e_K92:2e_K92,true,true,true,true,133.702,15.049,3274.241,391.275,0.2,871.908
portability_full_closure,read_tail_mixed_20k-s1-f0-standalone-r2-2e_K40,block12,read_tail_mixed_20k,1,standalone,0,2,2e_K40,baseline,2e_K40,21,22,read_tail_mixed_20k-s1-f0-standalone-r2-2e_K40:baseline,read_tail_mixed_20k-s1-f0-standalone-r2-2e_K40:2e_K40,true,true,true,true,156.414,15.66,3279.671,392.868,0.461,655.511
