campaign,source_bundle_filename,source_bundle_sha256,sqlite_research_git_sha,schedule_fingerprint,authoritative_run_config_sha256,artifact_manifest_sha256,action_image_digest,bundle_manifest_run_config_sha256,source_request_file,source_response_file,request_id,schedule_position,pair_id,block_id,repetition_id,arm,workload,seed,first_operation_id,handle_mode,strategy,paired_target_strategy,pair_first_strategy,pair_second_strategy,position_within_pair,is_first_in_pair,process_uuid,pid,invocation_counter,db_device,db_inode,db_sha256,warm_session_id,diagnostic_mode,cold_reset_requested,cold_reset_method,cold_reset_succeeded,cold_threshold_passed,delivery_valid,measured_valid,oracle_expected_hit,oracle_expected_digest,oracle_passed,sqlite_error,error,error_stage,result_digest,query_hit,sqlite_cache_miss,resident_interiors_before_reset,resident_interiors_after_reset,resident_interiors_after_prefetch,relevant_pages_total,selected_page_count,selected_interior_count,selected_leaf_count,delivered_page_count,delivery_method,trace_sha256,plan_sha256,selected_bytes,reset_us,open_us,select_us,deliver_us,first_query_us,handler_total_us
portability_ych01_followup,ws2_bundle_26500fe8fe57_20260829T200658Z.tar.gz,77e30869c7ac4d3b75c99174f9c2091320c51c7f8476580c43ddfdc5f0015925,26500fe8fe5710d51b6525234dd6d736765072bb,47aab3200fbcdc3a31f5ef43a85af7a26c18385e2961ad0e9c21ee1fe8450794,7a3cc45d7fac26e90315b3e16cec320c48210da475d42819b8253ec53ab60437,31a227b38d80372e782f1468452206024e373bc650b63be8f0c90787e9575a43,localhost:5000/sqlite-coldstart@sha256:749bbe577bd24458ac32936216ccd67af1b72aa378df75bd85a009c84736d052,022fbeb01a8d9d45686e56823eca1e1ef30712f2a13c4a878cb5f7ef0097b5b7,05_full_matrix/raw/req_000001.json,05_full_matrix/raw/resp_000001.json,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r0-layers_5:layers_5,1,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r0-layers_5,Y1,0,layers_5,native_ycsb_c_hot_hashed_01,1,0,standalone,layers_5,layers_5,layers_5,baseline,1,true,c2d2a6e0-71b7-4323-bc4a-c446e374e197,13,14,101,14441613,2504a6b15f4b202b11234549ab1d46e22eb808e0b03a5731236083122237fdd1,c2d2a6e0-71b7-4323-bc4a-c446e374e197:13:14441613,false,true,POSIX_FADV_DONTNEED,true,true,true,true,1,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,true,,,,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,1,4,92,0,0,26331,5,5,0,5,madvise_willneed,27c2f869cba85f68f63ac627219291d275c13ab9c7b67bd82699817676384216,eecb179459970a14889106aaf4df8ae19761cab38f174831dba9643223724f3a,20480,4438.418,227.897,8.165,42.838,143.613,5866.873
portability_ych01_followup,ws2_bundle_26500fe8fe57_20260829T200658Z.tar.gz,77e30869c7ac4d3b75c99174f9c2091320c51c7f8476580c43ddfdc5f0015925,26500fe8fe5710d51b6525234dd6d736765072bb,47aab3200fbcdc3a31f5ef43a85af7a26c18385e2961ad0e9c21ee1fe8450794,7a3cc45d7fac26e90315b3e16cec320c48210da475d42819b8253ec53ab60437,31a227b38d80372e782f1468452206024e373bc650b63be8f0c90787e9575a43,localhost:5000/sqlite-coldstart@sha256:749bbe577bd24458ac32936216ccd67af1b72aa378df75bd85a009c84736d052,022fbeb01a8d9d45686e56823eca1e1ef30712f2a13c4a878cb5f7ef0097b5b7,05_full_matrix/raw/req_000002.json,05_full_matrix/raw/resp_000002.json,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r0-layers_5:baseline,2,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r0-layers_5,Y1,0,baseline,native_ycsb_c_hot_hashed_01,1,0,standalone,baseline,layers_5,layers_5,baseline,2,false,c2d2a6e0-71b7-4323-bc4a-c446e374e197,13,15,101,14441613,2504a6b15f4b202b11234549ab1d46e22eb808e0b03a5731236083122237fdd1,c2d2a6e0-71b7-4323-bc4a-c446e374e197:13:14441613,false,true,POSIX_FADV_DONTNEED,true,true,true,true,1,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,true,,,,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,1,4,6,0,0,26331,0,0,0,0,madvise_willneed,27c2f869cba85f68f63ac627219291d275c13ab9c7b67bd82699817676384216,,0,3968.316,239.298,1.293,0.321,108.909,5125.145
portability_ych01_followup,ws2_bundle_26500fe8fe57_20260829T200658Z.tar.gz,77e30869c7ac4d3b75c99174f9c2091320c51c7f8476580c43ddfdc5f0015925,26500fe8fe5710d51b6525234dd6d736765072bb,47aab3200fbcdc3a31f5ef43a85af7a26c18385e2961ad0e9c21ee1fe8450794,7a3cc45d7fac26e90315b3e16cec320c48210da475d42819b8253ec53ab60437,31a227b38d80372e782f1468452206024e373bc650b63be8f0c90787e9575a43,localhost:5000/sqlite-coldstart@sha256:749bbe577bd24458ac32936216ccd67af1b72aa378df75bd85a009c84736d052,022fbeb01a8d9d45686e56823eca1e1ef30712f2a13c4a878cb5f7ef0097b5b7,05_full_matrix/raw/req_000003.json,05_full_matrix/raw/resp_000003.json,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r1-layers_5:layers_5,3,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r1-layers_5,Y1,1,layers_5,native_ycsb_c_hot_hashed_01,1,0,standalone,layers_5,layers_5,layers_5,baseline,1,true,c2d2a6e0-71b7-4323-bc4a-c446e374e197,13,16,101,14441613,2504a6b15f4b202b11234549ab1d46e22eb808e0b03a5731236083122237fdd1,c2d2a6e0-71b7-4323-bc4a-c446e374e197:13:14441613,false,true,POSIX_FADV_DONTNEED,true,true,true,true,1,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,true,,,,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,1,4,4,0,0,26331,5,5,0,5,madvise_willneed,27c2f869cba85f68f63ac627219291d275c13ab9c7b67bd82699817676384216,eecb179459970a14889106aaf4df8ae19761cab38f174831dba9643223724f3a,20480,4126.006,2321.391,4.459,31.788,150.345,7432.941
portability_ych01_followup,ws2_bundle_26500fe8fe57_20260829T200658Z.tar.gz,77e30869c7ac4d3b75c99174f9c2091320c51c7f8476580c43ddfdc5f0015925,26500fe8fe5710d51b6525234dd6d736765072bb,47aab3200fbcdc3a31f5ef43a85af7a26c18385e2961ad0e9c21ee1fe8450794,7a3cc45d7fac26e90315b3e16cec320c48210da475d42819b8253ec53ab60437,31a227b38d80372e782f1468452206024e373bc650b63be8f0c90787e9575a43,localhost:5000/sqlite-coldstart@sha256:749bbe577bd24458ac32936216ccd67af1b72aa378df75bd85a009c84736d052,022fbeb01a8d9d45686e56823eca1e1ef30712f2a13c4a878cb5f7ef0097b5b7,05_full_matrix/raw/req_000004.json,05_full_matrix/raw/resp_000004.json,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r1-layers_5:baseline,4,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r1-layers_5,Y1,1,baseline,native_ycsb_c_hot_hashed_01,1,0,standalone,baseline,layers_5,layers_5,baseline,2,false,c2d2a6e0-71b7-4323-bc4a-c446e374e197,13,17,101,14441613,2504a6b15f4b202b11234549ab1d46e22eb808e0b03a5731236083122237fdd1,c2d2a6e0-71b7-4323-bc4a-c446e374e197:13:14441613,false,true,POSIX_FADV_DONTNEED,true,true,true,true,1,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,true,,,,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,1,4,6,0,0,26331,0,0,0,0,madvise_willneed,27c2f869cba85f68f63ac627219291d275c13ab9c7b67bd82699817676384216,,0,4176.939,233.437,1.072,0.171,84.034,5277.825
portability_ych01_followup,ws2_bundle_26500fe8fe57_20260829T200658Z.tar.gz,77e30869c7ac4d3b75c99174f9c2091320c51c7f8476580c43ddfdc5f0015925,26500fe8fe5710d51b6525234dd6d736765072bb,47aab3200fbcdc3a31f5ef43a85af7a26c18385e2961ad0e9c21ee1fe8450794,7a3cc45d7fac26e90315b3e16cec320c48210da475d42819b8253ec53ab60437,31a227b38d80372e782f1468452206024e373bc650b63be8f0c90787e9575a43,localhost:5000/sqlite-coldstart@sha256:749bbe577bd24458ac32936216ccd67af1b72aa378df75bd85a009c84736d052,022fbeb01a8d9d45686e56823eca1e1ef30712f2a13c4a878cb5f7ef0097b5b7,05_full_matrix/raw/req_000005.json,05_full_matrix/raw/resp_000005.json,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r2-layers_5:baseline,5,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r2-layers_5,Y1,2,baseline,native_ycsb_c_hot_hashed_01,1,0,standalone,baseline,layers_5,baseline,layers_5,1,true,c2d2a6e0-71b7-4323-bc4a-c446e374e197,13,18,101,14441613,2504a6b15f4b202b11234549ab1d46e22eb808e0b03a5731236083122237fdd1,c2d2a6e0-71b7-4323-bc4a-c446e374e197:13:14441613,false,true,POSIX_FADV_DONTNEED,true,true,true,true,1,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,true,,,,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,1,4,4,0,0,26331,0,0,0,0,madvise_willneed,27c2f869cba85f68f63ac627219291d275c13ab9c7b67bd82699817676384216,,0,3889.804,258.123,1.363,0.391,131.621,5073.161
portability_ych01_followup,ws2_bundle_26500fe8fe57_20260829T200658Z.tar.gz,77e30869c7ac4d3b75c99174f9c2091320c51c7f8476580c43ddfdc5f0015925,26500fe8fe5710d51b6525234dd6d736765072bb,47aab3200fbcdc3a31f5ef43a85af7a26c18385e2961ad0e9c21ee1fe8450794,7a3cc45d7fac26e90315b3e16cec320c48210da475d42819b8253ec53ab60437,31a227b38d80372e782f1468452206024e373bc650b63be8f0c90787e9575a43,localhost:5000/sqlite-coldstart@sha256:749bbe577bd24458ac32936216ccd67af1b72aa378df75bd85a009c84736d052,022fbeb01a8d9d45686e56823eca1e1ef30712f2a13c4a878cb5f7ef0097b5b7,05_full_matrix/raw/req_000006.json,05_full_matrix/raw/resp_000006.json,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r2-layers_5:layers_5,6,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r2-layers_5,Y1,2,layers_5,native_ycsb_c_hot_hashed_01,1,0,standalone,layers_5,layers_5,baseline,layers_5,2,false,c2d2a6e0-71b7-4323-bc4a-c446e374e197,13,19,101,14441613,2504a6b15f4b202b11234549ab1d46e22eb808e0b03a5731236083122237fdd1,c2d2a6e0-71b7-4323-bc4a-c446e374e197:13:14441613,false,true,POSIX_FADV_DONTNEED,true,true,true,true,1,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,true,,,,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,1,4,4,0,0,26331,5,5,0,5,madvise_willneed,27c2f869cba85f68f63ac627219291d275c13ab9c7b67bd82699817676384216,eecb179459970a14889106aaf4df8ae19761cab38f174831dba9643223724f3a,20480,4181.578,257.652,4.749,36.777,166.695,5444.571
portability_ych01_followup,ws2_bundle_26500fe8fe57_20260829T200658Z.tar.gz,77e30869c7ac4d3b75c99174f9c2091320c51c7f8476580c43ddfdc5f0015925,26500fe8fe5710d51b6525234dd6d736765072bb,47aab3200fbcdc3a31f5ef43a85af7a26c18385e2961ad0e9c21ee1fe8450794,7a3cc45d7fac26e90315b3e16cec320c48210da475d42819b8253ec53ab60437,31a227b38d80372e782f1468452206024e373bc650b63be8f0c90787e9575a43,localhost:5000/sqlite-coldstart@sha256:749bbe577bd24458ac32936216ccd67af1b72aa378df75bd85a009c84736d052,022fbeb01a8d9d45686e56823eca1e1ef30712f2a13c4a878cb5f7ef0097b5b7,05_full_matrix/raw/req_000007.json,05_full_matrix/raw/resp_000007.json,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r3-layers_5:baseline,7,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r3-layers_5,Y1,3,baseline,native_ycsb_c_hot_hashed_01,1,0,standalone,baseline,layers_5,baseline,layers_5,1,true,c2d2a6e0-71b7-4323-bc4a-c446e374e197,13,20,101,14441613,2504a6b15f4b202b11234549ab1d46e22eb808e0b03a5731236083122237fdd1,c2d2a6e0-71b7-4323-bc4a-c446e374e197:13:14441613,false,true,POSIX_FADV_DONTNEED,true,true,true,true,1,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,true,,,,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,1,4,6,0,0,26331,0,0,0,0,madvise_willneed,27c2f869cba85f68f63ac627219291d275c13ab9c7b67bd82699817676384216,,0,4141.345,3090.711,1.462,0.19,146.308,8163.261
portability_ych01_followup,ws2_bundle_26500fe8fe57_20260829T200658Z.tar.gz,77e30869c7ac4d3b75c99174f9c2091320c51c7f8476580c43ddfdc5f0015925,26500fe8fe5710d51b6525234dd6d736765072bb,47aab3200fbcdc3a31f5ef43a85af7a26c18385e2961ad0e9c21ee1fe8450794,7a3cc45d7fac26e90315b3e16cec320c48210da475d42819b8253ec53ab60437,31a227b38d80372e782f1468452206024e373bc650b63be8f0c90787e9575a43,localhost:5000/sqlite-coldstart@sha256:749bbe577bd24458ac32936216ccd67af1b72aa378df75bd85a009c84736d052,022fbeb01a8d9d45686e56823eca1e1ef30712f2a13c4a878cb5f7ef0097b5b7,05_full_matrix/raw/req_000008.json,05_full_matrix/raw/resp_000008.json,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r3-layers_5:layers_5,8,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r3-layers_5,Y1,3,layers_5,native_ycsb_c_hot_hashed_01,1,0,standalone,layers_5,layers_5,baseline,layers_5,2,false,c2d2a6e0-71b7-4323-bc4a-c446e374e197,13,21,101,14441613,2504a6b15f4b202b11234549ab1d46e22eb808e0b03a5731236083122237fdd1,c2d2a6e0-71b7-4323-bc4a-c446e374e197:13:14441613,false,true,POSIX_FADV_DONTNEED,true,true,true,true,1,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,true,,,,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,1,4,4,0,0,26331,5,5,0,5,madvise_willneed,27c2f869cba85f68f63ac627219291d275c13ab9c7b67bd82699817676384216,eecb179459970a14889106aaf4df8ae19761cab38f174831dba9643223724f3a,20480,3983.976,207.871,4.418,36.758,76.581,5103.397
portability_ych01_followup,ws2_bundle_26500fe8fe57_20260829T200658Z.tar.gz,77e30869c7ac4d3b75c99174f9c2091320c51c7f8476580c43ddfdc5f0015925,26500fe8fe5710d51b6525234dd6d736765072bb,47aab3200fbcdc3a31f5ef43a85af7a26c18385e2961ad0e9c21ee1fe8450794,7a3cc45d7fac26e90315b3e16cec320c48210da475d42819b8253ec53ab60437,31a227b38d80372e782f1468452206024e373bc650b63be8f0c90787e9575a43,localhost:5000/sqlite-coldstart@sha256:749bbe577bd24458ac32936216ccd67af1b72aa378df75bd85a009c84736d052,022fbeb01a8d9d45686e56823eca1e1ef30712f2a13c4a878cb5f7ef0097b5b7,05_full_matrix/raw/req_000009.json,05_full_matrix/raw/resp_000009.json,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r4-layers_5:layers_5,9,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r4-layers_5,Y1,4,layers_5,native_ycsb_c_hot_hashed_01,1,0,standalone,layers_5,layers_5,layers_5,baseline,1,true,c2d2a6e0-71b7-4323-bc4a-c446e374e197,13,22,101,14441613,2504a6b15f4b202b11234549ab1d46e22eb808e0b03a5731236083122237fdd1,c2d2a6e0-71b7-4323-bc4a-c446e374e197:13:14441613,false,true,POSIX_FADV_DONTNEED,true,true,true,true,1,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,true,,,,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,1,4,6,0,0,26331,5,5,0,5,madvise_willneed,27c2f869cba85f68f63ac627219291d275c13ab9c7b67bd82699817676384216,eecb179459970a14889106aaf4df8ae19761cab38f174831dba9643223724f3a,20480,3919.88,2340.457,4.448,35.796,140.217,7239.971
portability_ych01_followup,ws2_bundle_26500fe8fe57_20260829T200658Z.tar.gz,77e30869c7ac4d3b75c99174f9c2091320c51c7f8476580c43ddfdc5f0015925,26500fe8fe5710d51b6525234dd6d736765072bb,47aab3200fbcdc3a31f5ef43a85af7a26c18385e2961ad0e9c21ee1fe8450794,7a3cc45d7fac26e90315b3e16cec320c48210da475d42819b8253ec53ab60437,31a227b38d80372e782f1468452206024e373bc650b63be8f0c90787e9575a43,localhost:5000/sqlite-coldstart@sha256:749bbe577bd24458ac32936216ccd67af1b72aa378df75bd85a009c84736d052,022fbeb01a8d9d45686e56823eca1e1ef30712f2a13c4a878cb5f7ef0097b5b7,05_full_matrix/raw/req_000010.json,05_full_matrix/raw/resp_000010.json,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r4-layers_5:baseline,10,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r4-layers_5,Y1,4,baseline,native_ycsb_c_hot_hashed_01,1,0,standalone,baseline,layers_5,layers_5,baseline,2,false,c2d2a6e0-71b7-4323-bc4a-c446e374e197,13,23,101,14441613,2504a6b15f4b202b11234549ab1d46e22eb808e0b03a5731236083122237fdd1,c2d2a6e0-71b7-4323-bc4a-c446e374e197:13:14441613,false,true,POSIX_FADV_DONTNEED,true,true,true,true,1,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,true,,,,926afc40b3d49a4ecf9b31cea088494e673c99683e902c142bc8071a73df71c1,1,4,6,0,0,26331,0,0,0,0,madvise_willneed,27c2f869cba85f68f63ac627219291d275c13ab9c7b67bd82699817676384216,,0,3970.633,226.996,1.243,0.141,81.79,5068.684
