campaign,pair_id,block_id,workload,seed,handle_mode,first_operation_id,repetition_id,paired_target_strategy,first_strategy,second_strategy,baseline_schedule_position,target_schedule_position,baseline_request_id,target_request_id,same_warm_session,same_run_config,same_manifest,same_image,baseline_first_query_us,target_first_query_us,baseline_open_us,target_open_us,baseline_deliver_us,target_deliver_us
portability_ych01_followup,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r0-layers_5,Y1,native_ycsb_c_hot_hashed_01,1,standalone,0,0,layers_5,layers_5,baseline,2,1,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r0-layers_5:baseline,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r0-layers_5:layers_5,true,true,true,true,108.909,143.613,239.298,227.897,0.321,42.838
portability_ych01_followup,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r1-layers_5,Y1,native_ycsb_c_hot_hashed_01,1,standalone,0,1,layers_5,layers_5,baseline,4,3,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r1-layers_5:baseline,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r1-layers_5:layers_5,true,true,true,true,84.034,150.345,233.437,2321.391,0.171,31.788
portability_ych01_followup,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r2-layers_5,Y1,native_ycsb_c_hot_hashed_01,1,standalone,0,2,layers_5,baseline,layers_5,5,6,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r2-layers_5:baseline,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r2-layers_5:layers_5,true,true,true,true,131.621,166.695,258.123,257.652,0.391,36.777
portability_ych01_followup,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r3-layers_5,Y1,native_ycsb_c_hot_hashed_01,1,standalone,0,3,layers_5,baseline,layers_5,7,8,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r3-layers_5:baseline,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r3-layers_5:layers_5,true,true,true,true,146.308,76.581,3090.711,207.871,0.19,36.758
portability_ych01_followup,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r4-layers_5,Y1,native_ycsb_c_hot_hashed_01,1,standalone,0,4,layers_5,layers_5,baseline,10,9,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r4-layers_5:baseline,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r4-layers_5:layers_5,true,true,true,true,81.79,140.217,226.996,2340.457,0.141,35.796
portability_ych01_followup,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r5-layers_5,Y1,native_ycsb_c_hot_hashed_01,1,standalone,0,5,layers_5,layers_5,baseline,12,11,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r5-layers_5:baseline,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r5-layers_5:layers_5,true,true,true,true,199.696,134.978,290.072,2347.841,0.18,35.676
portability_ych01_followup,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r6-layers_5,Y1,native_ycsb_c_hot_hashed_01,1,standalone,0,6,layers_5,baseline,layers_5,13,14,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r6-layers_5:baseline,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r6-layers_5:layers_5,true,true,true,true,136.39,77.071,3096.693,210.816,0.12,37.218
portability_ych01_followup,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r7-layers_5,Y1,native_ycsb_c_hot_hashed_01,1,standalone,0,7,layers_5,layers_5,baseline,16,15,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r7-layers_5:baseline,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r7-layers_5:layers_5,true,true,true,true,81.459,140.818,229.15,2258.598,0.191,28.643
portability_ych01_followup,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r8-layers_5,Y1,native_ycsb_c_hot_hashed_01,1,standalone,0,8,layers_5,layers_5,baseline,18,17,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r8-layers_5:baseline,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r8-layers_5:layers_5,true,true,true,true,204.775,149.524,297.856,2283.533,0.17,35.645
portability_ych01_followup,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r9-layers_5,Y1,native_ycsb_c_hot_hashed_01,1,standalone,0,9,layers_5,baseline,layers_5,19,20,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r9-layers_5:baseline,native_ycsb_c_hot_hashed_01-s1-f0-standalone-r9-layers_5:layers_5,true,true,true,true,131.03,83.012,3065.577,206.478,0.181,35.315
