strategy,handle_mode,selected_pages,median_select_us,median_deliver_us,median_first_query_us,median_open_us,median_handler_total_us
2d,warm,92,9.5075,412.8650,613.9250,0,6620.4390
2d,standalone,92,9.3025,451.6070,230.1135,413.2510,6456.0880
layers_5,warm,5,4.1830,36.2080,2436.3135,0,7235.9705
layers_5,standalone,5,4.1375,36.2925,235.0275,400.7010,5643.2730
2e_K10,warm,102,12.1380,502.3170,326.2870,0,6064.0985
2e_K10,standalone,102,12.1775,490.1580,226.3920,527.2860,6390.5250
2f_slru,warm,26323-26331,663.7010,103343.8535,37.3295,0,110099.3370
2f_slru,standalone,26323-26331,665.5940,103247.8840,13.7810,179.3835,110074.8235
2e_K500,warm,592,26.1635,2547.6585,328.7425,0,7995.7405
2e_K500,standalone,592,26.1430,2539.3330,87.7085,403.0850,8131.9215
leaf_freq_K10,warm,10,6.4215,58.4290,517.9290,0,5591.8825
leaf_freq_K10,standalone,10,6.4220,58.4385,147.4445,384.0695,5656.9140
leaf_rand_K10,warm,10,6.3820,58.3540,2324.3390,0,7133.0260
leaf_rand_K10,standalone,10,6.3265,58.3790,149.5185,2368.7870,7355.7385
2f_top102,warm,102,11.8370,473.1905,631,0,6042.0680
2f_top102,standalone,102,11.8220,469.0280,87.5130,531.8355,6392.5100
learned_markov_102,warm,102,11.8720,436.6075,1384.3745,0,6798.3140
learned_markov_102,standalone,102,11.8820,437.7400,86.4210,2115.0425,7406.3185
