page_number,file_offset
2,4096
3,8192
4,12288
106,430080
166,675840
167,679936
168,684032
196,798720
198,806912
212,864256
409,1671168
497,2031616
542,2215936
554,2265088
611,2498560
674,2756608
675,2760704
724,2961408
726,2969600
804,3289088
818,3346432
824,3371008
837,3424256
867,3547136
1056,4321280
1125,4603904
1143,4677632
1175,4808704
1267,5185536
1378,5640192
1399,5726208
1412,5779456
1420,5812224
1473,6029312
1486,6082560
1502,6148096
1516,6205440
1536,6287360
1547,6332416
1588,6500352
1589,6504448
1640,6713344
1641,6717440
1726,7065600
1759,7200768
1760,7204864
1776,7270400
1788,7319552
1804,7385088
1820,7450624
1849,7569408
1866,7639040
2064,8450048
2085,8536064
2121,8683520
2146,8785920
2147,8790016
2164,8859648
2165,8863744
2176,8908800
2390,9785344
2414,9883648
2416,9891840
2486,10178560
2508,10268672
2539,10395648
2553,10452992
2758,11292672
2804,11481088
2867,11739136
2909,11911168
2911,11919360
3071,12574720
3088,12644352
3121,12779520
3123,12787712
3133,12828672
3144,12873728
3145,12877824
3183,13033472
3253,13320192
3433,14057472
3448,14118912
3481,14254080
3495,14311424
3509,14368768
3510,14372864
3527,14442496
3562,14585856
3750,15355904
3751,15360000
3771,15441920
3842,15732736
3855,15785984
3874,15863808
3964,16232448
4097,16777216
4115,16850944
4117,16859136
4160,17035264
4163,17047552
4176,17100800
4178,17108992
4179,17113088
4451,18227200
4470,18305024
4471,18309120
4472,18313216
4479,18341888
4486,18370560
4497,18415616
4515,18489344
4517,18497536
4519,18505728
4552,18640896
4563,18685952
4699,19243008
4751,19456000
4753,19464192
4772,19542016
4861,19906560
4863,19914752
4879,19980288
4921,20152320
4998,20467712
5065,20742144
5108,20918272
5109,20922368
5127,20996096
5132,21016576
5142,21057536
5145,21069824
5177,21200896
5241,21463040
5399,22110208
5475,22421504
5476,22425600
5477,22429696
5492,22491136
5507,22552576
5520,22605824
5523,22618112
5532,22654976
5543,22700032
5570,22810624
5598,22925312
5757,23576576
5758,23580672
5774,23646208
5822,23842816
5841,23920640
5864,24014848
5868,24031232
5885,24100864
5886,24104960
5900,24162304
5927,24272896
6053,24788992
6075,24879104
6119,25059328
6140,25145344
6165,25247744
6248,25587712
6429,26329088
6476,26521600
6503,26632192
6519,26697728
6520,26701824
6570,26906624
6729,27557888
6752,27652096
6815,27910144
6847,28041216
6856,28078080
6877,28164096
6878,28168192
6896,28241920
7072,28962816
7092,29044736
7099,29073408
7114,29134848
7116,29143040
7155,29302784
7160,29323264
7192,29454336
7216,29552640
7237,29638656
7238,29642752
7424,30404608
7452,30519296
7470,30593024
7471,30597120
7516,30781440
7539,30875648
7600,31125504
7622,31215616
7755,31760384
7819,32022528
7820,32026624
7836,32092160
7861,32194560
7866,32215040
7881,32276480
7882,32280576
7899,32350208
7959,32595968
8123,33267712
8150,33378304
8228,33697792
8248,33779712
8385,34340864
8471,34693120
8475,34709504
8493,34783232
8513,34865152
8539,34971648
8556,35041280
8613,35274752
8673,35520512
8765,35897344
8766,35901440
8843,36216832
8886,36392960
8903,36462592
8905,36470784
9090,37228544
9112,37318656
9173,37568512
9178,37588992
9241,37847040
9286,38031360
9481,38830080
9514,38965248
9609,39354368
9711,39772160
9740,39890944
9756,39956480
9827,40247296
9828,40251392
9845,40321024
9861,40386560
9870,40423424
9887,40493056
10138,41521152
10181,41697280
10199,41771008
10201,41779200
10225,41877504
10227,41885696
10447,42786816
10464,42856448
10478,42913792
10511,43048960
10575,43311104
10590,43372544
10626,43520000
10740,43986944
10758,44060672
10797,44220416
10828,44347392
10830,44355584
10846,44421120
10876,44544000
10912,44691456
10936,44789760
11052,45264896
11103,45473792
11132,45592576
11179,45785088
11183,45801472
11195,45850624
11212,45920256
11276,46182400
11277,46186496
11284,46215168
11453,46907392
11467,46964736
11493,47071232
11516,47165440
11541,47267840
11575,47407104
11605,47529984
11777,48234496
11808,48361472
11816,48394240
11820,48410624
11829,48447488
11843,48504832
11845,48513024
11865,48594944
11882,48664576
11958,48975872
12124,49655808
12175,49864704
12199,49963008
12221,50053120
