page_number,file_offset
2,4096
3,8192
4,12288
20,77824
22,86016
31,122880
44,176128
72,290816
100,405504
108,438272
123,499712
167,679936
183,745472
259,1056768
264,1077248
266,1085440
298,1216512
302,1232896
315,1286144
338,1380352
361,1474560
378,1544192
393,1605632
407,1662976
508,2076672
521,2129920
522,2134016
536,2191360
565,2310144
627,2564096
628,2568192
638,2609152
666,2723840
673,2752512
674,2756608
675,2760704
683,2793472
690,2822144
712,2912256
726,2969600
777,3178496
789,3227648
790,3231744
794,3248128
795,3252224
801,3276800
825,3375104
848,3469312
866,3543040
873,3571712
896,3665920
938,3837952
968,3960832
989,4046848
991,4055040
998,4083712
1005,4112384
1052,4304896
1091,4464640
1126,4608000
1148,4698112
1167,4775936
1198,4902912
1217,4980736
1232,5042176
1250,5115904
1267,5185536
1286,5263360
1288,5271552
1297,5308416
1339,5480448
1351,5529600
1399,5726208
1433,5865472
1444,5910528
1447,5922816
1470,6017024
1473,6029312
1543,6316032
1547,6332416
1577,6455296
1588,6500352
1589,6504448
1628,6664192
1632,6680576
1640,6713344
1641,6717440
1670,6836224
1718,7032832
1722,7049216
1725,7061504
1741,7127040
1814,7426048
1865,7634944
1866,7639040
1896,7761920
1947,7970816
1981,8110080
1989,8142848
2006,8212480
2057,8421376
2078,8507392
2084,8531968
2090,8556544
2099,8593408
2110,8638464
2122,8687616
2185,8945664
2198,8998912
2205,9027584
2220,9089024
2259,9248768
2269,9289728
2271,9297920
2289,9371648
2322,9506816
2349,9617408
2390,9785344
2431,9953280
2436,9973760
2446,10014720
2464,10088448
2483,10166272
2497,10223616
2523,10330112
2537,10387456
2581,10567680
2643,10821632
2661,10895360
2698,11046912
2714,11112448
2719,11132928
2748,11251712
2758,11292672
2786,11407360
2808,11497472
2865,11730944
2873,11763712
2878,11784192
2909,11911168
2929,11993088
2936,12021760
2945,12058624
2962,12128256
2965,12140544
2989,12238848
3023,12378112
3032,12414976
3038,12439552
3071,12574720
3084,12627968
3092,12660736
3106,12718080
3183,13033472
3236,13250560
3248,13299712
3261,13352960
3273,13402112
3319,13590528
3345,13697024
3373,13811712
3419,14000128
3433,14057472
3480,14249984
3694,15126528
3740,15314944
3773,15450112
3929,16089088
3964,16232448
3978,16289792
3993,16351232
4038,16535552
4073,16678912
4093,16760832
4356,17838080
4396,18001920
4478,18337792
4479,18341888
4552,18640896
4568,18706432
4596,18821120
4602,18845696
4688,19197952
4699,19243008
4747,19439616
4754,19468288
4781,19578880
4959,20307968
4993,20447232
4998,20467712
5200,21295104
5225,21397504
5271,21585920
5325,21807104
5326,21811200
5400,22114304
5416,22179840
5436,22261760
5508,22556672
5532,22654976
5552,22736896
5574,22827008
5598,22925312
5636,23080960
5707,23371776
5714,23400448
5717,23412736
5733,23478272
5758,23580672
5861,24002560
5864,24014848
5892,24129536
5964,24424448
5980,24489984
5986,24514560
6021,24657920
6053,24788992
6172,25276416
6174,25284608
6197,25378816
6215,25452544
6225,25493504
6311,25845760
6392,26177536
6432,26341376
6440,26374144
6447,26402816
6474,26513408
6550,26824704
6570,26906624
6582,26955776
6588,26980352
6634,27168768
6641,27197440
6660,27275264
6729,27557888
6907,28286976
6980,28585984
7092,29044736
7155,29302784
7408,30339072
7476,30617600
7527,30826496
7622,31215616
7633,31260672
7635,31268864
7738,31690752
7743,31711232
7819,32022528
7846,32133120
7874,32247808
7930,32477184
7950,32559104
7959,32595968
8027,32874496
8150,33378304
8312,34041856
8318,34066432
8324,34091008
8356,34222080
8392,34369536
8404,34418688
8418,34476032
8471,34693120
8501,34816000
8516,34877440
8534,34951168
8657,35454976
8673,35520512
8742,35803136
8754,35852288
8785,35979264
8955,36675584
8972,36745216
9008,36892672
9049,37060608
9178,37588992
9200,37679104
9207,37707776
9384,38432768
9496,38891520
9511,38952960
9574,39211008
9592,39284736
9639,39477248
9711,39772160
9756,39956480
9768,40005632
9794,40112128
9853,40353792
9925,40648704
10122,41455616
10150,41570304
10227,41885696
10311,42229760
10312,42233856
10327,42295296
10328,42299392
10391,42557440
10545,43188224
10612,43462656
