page_number,file_offset
2,4096
674,2756608
675,2760704
1068,4370432
1267,5185536
1866,7639040
2266,9277440
2351,9625600
2390,9785344
2626,10752000
2780,11382784
2909,11911168
2918,11948032
3433,14057472
3960,16216064
3964,16232448
4478,18337792
4479,18341888
4998,20467712
5255,21520384
5532,22654976
6053,24788992
6329,25919488
6537,26771456
6570,26906624
7092,29044736
7129,29196288
7502,30724096
7622,31215616
8150,33378304
8644,35401728
8673,35520512
8849,36241408
9178,37588992
9711,39772160
9742,39899136
10227,41885696
10442,42766336
10758,44060672
11167,45735936
11284,46215168
11566,47370240
11808,48361472
12357,50610176
12873,52723712
13142,53825536
13392,54849536
13925,57032704
14003,57352192
14499,59383808
14574,59691008
14791,60579840
15022,61526016
15060,61681664
15596,63877120
15639,64053248
15666,64163840
16117,66011136
16520,67661824
16528,67694592
16605,68009984
17083,69967872
17172,70332416
17478,71585792
17533,71811072
17565,71942144
18071,74014720
18314,75010048
18599,76177408
18921,77496320
19030,77942784
19142,78401536
19318,79122432
19638,80433152
20009,81952768
20156,82554880
20679,84697088
21007,86040576
21202,86839296
21310,87281664
21338,87396352
21476,87961600
21724,88977408
22056,90337280
22257,91160576
22262,91181056
22637,92717056
22786,93327360
23334,95571968
23706,97095680
23882,97816576
24280,99446784
24294,99504128
24376,99840000
24408,99971072
24523,100442112
24837,101728256
24842,101748736
24960,102232064
25469,104316928
25481,104366080
26007,106520576
