page_number,file_offset
1455,5955584
6492,26587136
7627,31236096
7417,30375936
10607,43442176
1541,6307840
26035,106635264
19886,81448960
16435,67313664
25348,103821312
24339,99688448
26283,107651072
16962,69472256
23628,96776192
14701,60211200
19764,80949248
22514,92213248
19786,81039360
3368,13791232
13682,56037376
14006,57364480
9663,39575552
15865,64978944
10045,41140224
17850,73109504
11109,45498368
24224,99217408
20210,82776064
7175,29384704
19596,80261120
21623,88563712
11780,48246784
14819,60694528
19622,80367616
2934,12013568
7036,28815360
23216,95088640
6097,24969216
25889,106037248
12814,52482048
10722,43913216
361,1474560
21058,86249472
1527,6250496
9290,38047744
8687,35577856
25196,103198720
7632,31256576
6395,26189824
25025,102498304
13989,57294848
4278,17518592
10133,41500672
1014,4149248
15766,64573440
25284,103559168
4619,18915328
19002,77828096
22828,93499392
19539,80027648
9132,37400576
23127,94724096
10970,44929024
575,2351104
22261,91176960
25233,103350272
12599,51601408
4158,17027072
22468,92024832
4519,18505728
20310,83185664
6651,27238400
16913,69271552
18980,77737984
18763,76849152
12974,53137408
10573,43302912
24556,100577280
12802,52432896
21923,89792512
19138,78385152
23519,96329728
23412,95891456
19157,78462976
1916,7843840
13443,55058432
25484,104378368
14962,61280256
14344,58748928
17989,73678848
11959,48979968
21210,86872064
4965,20332544
1607,6578176
24563,100605952
2300,9416704
12332,50507776
19918,81580032
4436,18165760
23485,96190464
12779,52338688
19420,79540224
481,1966080
9232,37810176
22970,94081024
12288,50327552
9498,38899712
21377,87556096
6349,26001408
24250,99323904
12946,53022720
5628,23048192
18940,77574144
14303,58580992
19797,81084416
9637,39469056
20949,85803008
14522,59478016
3673,15040512
21566,88330240
18461,75612160
13146,53841920
12684,51949568
15023,61530112
26074,106795008
5844,23932928
24436,100085760
9069,37142528
10674,43716608
20621,84459520
20169,82608128
23235,95166464
1790,7327744
25624,104951808
14105,57769984
11908,48771072
3527,14442496
21215,86892544
8300,33992704
26117,106971136
22978,94113792
10671,43704320
19465,79724544
25901,106086400
19226,78745600
9780,40054784
19769,80969728
9818,40210432
14279,58482688
8290,33951744
473,1933312
16144,66121728
20940,85766144
20881,85524480
21725,88981504
22952,94007296
14170,58036224
8730,35753984
2943,12050432
4590,18796544
9628,39432192
12279,50290688
11112,45510656
16390,67129344
1513,6193152
12261,50216960
26266,107581440
11470,46977024
20919,85680128
14917,61095936
6253,25608192
16700,68399104
14694,60182528
18012,73773056
543,2220032
16282,66686976
6814,27906048
26166,107171840
7498,30707712
19180,78557184
18767,76865536
19386,79400960
3690,15110144
17993,73695232
18036,73871360
10836,44380160
8610,35262464
17678,72404992
7121,29163520
24604,100773888
13964,57192448
3394,13897728
13405,54902784
11366,46551040
14095,57729024
15662,64147456
14040,57503744
23320,95514624
26217,107380736
9697,39714816
2435,9969664
15508,63516672
12938,52989952
15406,63098880
6363,26058752
11424,46788608
21152,86634496
2953,12091392
22065,90374144
18161,74383360
14328,58683392
10556,43233280
7884,32288768
21412,87699456
23715,97132544
24333,99663872
20178,82644992
11116,45527040
24515,100409344
16397,67158016
