page_number,file_offset
8599,35217408
14629,59916288
24720,101249024
15168,62124032
7641,31293440
23074,94507008
10689,43778048
21413,87703552
25806,105697280
1137,4653056
19709,80723968
26222,107401216
13247,54255616
10382,42520576
6006,24596480
16437,67321856
24382,99864576
16889,69173248
12761,52264960
9690,39686144
3852,15773696
3100,12693504
4717,19316736
21995,90087424
18971,77701120
22220,91009024
7538,30871552
20508,83996672
18665,76447744
17565,71942144
2705,11075584
11939,48898048
5416,22179840
10362,42438656
1548,6336512
13045,53428224
23451,96051200
5718,23416832
19443,79634432
2658,10883072
14830,60739584
3473,14221312
7754,31756288
25665,105119744
20579,84287488
13564,55554048
13573,55590912
14958,61263872
23414,95899648
21013,86065152
6558,26857472
8489,34766848
12014,49205248
1607,6578176
6989,28622848
3115,12754944
2926,11980800
25575,104751104
21469,87932928
4377,17924096
19974,81809408
2093,8568832
16976,69529600
20072,82210816
1777,7274496
13401,54886400
18865,77266944
4799,19652608
6427,26320896
14596,59781120
8993,36831232
11157,45694976
10163,41623552
19815,81158144
2149,8798208
21890,89657344
20474,83857408
2124,8695808
3424,14020608
16956,69447680
10518,43077632
9660,39563264
10094,41340928
2197,8994816
12670,51892224
11330,46403584
3873,15859712
21119,86499328
20615,84434944
14541,59555840
2194,8982528
4599,18833408
20013,81969152
24216,99184640
3518,14405632
19320,79130624
13197,54050816
3921,16056320
12150,49762304
4116,16855040
10724,43921408
7146,29265920
17403,71278592
10076,41267200
14117,57819136
8327,34103296
6913,28311552
4674,19140608
13508,55324672
649,2654208
10258,42012672
9993,40927232
17544,71856128
11729,48037888
24084,98643968
21722,88969216
3325,13615104
5988,24522752
24312,99577856
16921,69304320
20947,85794816
19522,79958016
5396,22097920
10657,43646976
19022,77910016
21179,86745088
2226,9113600
13654,55922688
18695,76570624
23459,96083968
24208,99151872
19615,80338944
20663,84631552
19123,78323712
8542,34983936
12190,49926144
14363,58826752
10771,44113920
12304,50393088
21147,86614016
2453,10043392
2657,10878976
17937,73465856
20298,83136512
22800,93384704
9481,38830080
18075,74031104
17222,70537216
9239,37838848
5506,22548480
1657,6782976
9412,38547456
5743,23519232
13551,55500800
16778,68718592
543,2220032
9078,37179392
11604,47525888
9135,37412864
17831,73031680
21267,87105536
6130,25104384
4232,17330176
10276,42086400
21930,89821184
19630,80400384
24653,100974592
25145,102989824
8703,35643392
12227,50077696
12913,52887552
11108,45494272
7733,31670272
24553,100564992
15563,63741952
5004,20492288
13555,55517184
5653,23150592
8848,36237312
1612,6598656
23778,97390592
21079,86335488
9535,39051264
9635,39460864
12933,52969472
20778,85102592
11439,46850048
3812,15609856
14805,60637184
11380,46608384
4215,17260544
4273,17498112
20004,81932288
13847,56713216
25044,102576128
16047,65724416
22370,91623424
4363,17866752
4371,17899520
8353,34209792
21103,86433792
14008,57372672
2166,8867840
7156,29306880
10036,41103360
