page_number,file_offset
19654,80498688
3289,13467648
18844,77180928
24217,99188736
16744,68579328
23074,94507008
10690,43782144
2728,11169792
2674,10948608
1137,4653056
22404,91762688
11195,45850624
13249,54263808
16888,69169152
6008,24604672
2679,10969088
24382,99864576
22318,91410432
23674,96964608
19856,81326080
21065,86278144
11436,46837760
22370,91623424
21995,90087424
13229,54181888
8585,35160064
10519,43081728
15912,65171456
21703,88891392
19777,81002496
24781,101498880
25286,103567360
7510,30756864
11042,45223936
1548,6336512
17249,70647808
14769,60489728
7928,32468992
26328,107835392
11719,47996928
14832,60747776
11452,46903296
22881,93716480
11502,47108096
21419,87728128
10388,42545152
16030,65654784
11011,45096960
17187,70393856
25930,106205184
21481,87982080
14324,58667008
9264,37941248
1607,6578176
21247,87023616
3688,15101952
21882,89624576
21655,88694784
26096,106885120
4181,17121280
24779,101490688
2093,8568832
24434,100077568
23952,98103296
1777,7274496
20318,83218432
5808,23785472
2934,12013568
16889,69173248
14598,59789312
4388,17969152
16937,69369856
3106,12718080
12696,51998720
2149,8798208
21890,89657344
2669,10928128
2124,8695808
19389,79413248
14428,59092992
10438,42749952
10547,43196416
16684,68333568
2197,8994816
17588,72036352
5171,21176320
10977,44957696
11696,47902720
20615,84434944
13827,56631296
2194,8982528
3244,13283328
15623,63987712
24216,99184640
8740,35794944
20452,83767296
18301,74956800
3925,16072704
14810,60657664
17522,71766016
3228,13217792
9312,38137856
21872,89583616
10077,41271296
9987,40902656
23886,97832960
22910,93835264
5547,22716416
23155,94838784
649,2654208
25427,104144896
26281,107642880
6716,27504640
10358,42422272
20442,83726336
10462,42848256
12780,52342784
11097,45449216
7341,30064640
19966,81776640
22786,93327360
24180,99037184
6029,24690688
2905,11894784
9754,39948288
23205,95043584
2226,9113600
4722,19337216
17056,69857280
24056,98529280
20848,85389312
23399,95838208
20663,84631552
9070,37146624
19964,81768448
2435,9969664
23051,94412800
22644,92745728
12306,50401280
6497,26607616
23509,96288768
13620,55783424
2535,10379264
3264,13365248
22800,93384704
11210,45912064
10192,41742336
20299,83140608
16492,67547136
11420,46772224
1657,6782976
19119,78307328
5745,23527424
14597,59785216
24806,101601280
543,2220032
10634,43552768
8984,36794368
26005,106512384
6491,26583040
18020,73805824
12391,50749440
8597,35209216
22084,90451968
8642,35393536
20881,85524480
13116,53719040
19471,79749120
21682,88805376
10034,41095168
10121,41451520
24189,99074048
7735,31678464
24553,100564992
16315,66822144
7606,31150080
13557,55525376
10179,41689088
19444,79638528
1612,6598656
10511,43048960
3298,13504512
7706,31559680
16849,69009408
25283,103555072
20778,85102592
11440,46854144
6794,27824128
17409,71303168
11381,46612480
11303,46292992
20271,83025920
18040,73887744
8272,33878016
25044,102576128
13157,53886976
6588,26980352
11070,45338624
4373,17907712
18878,77320192
25473,104333312
24600,100757504
2166,8867840
24024,98398208
21447,87842816
2476,10137600
3074,12587008
2705,11075584
25568,104722432
13676,56012800
2921,11960320
25458,104271872
1911,7823360
18328,75067392
2358,9654272
18033,73859072
21744,89059328
10600,43413504
22965,94060544
15126,61952000
22442,91918336
10605,43433984
4640,19001344
4792,19623936
17672,72380416
24446,100126720
3518,14405632
15000,61435904
9158,37507072
23253,95240192
25143,102981632
16078,65851392
7404,30322688
10527,43114496
14331,58695680
9335,38232064
9101,37273600
10655,43638784
9222,37769216
4094,16764928
9480,38825984
15050,61640704
22712,93024256
3348,13709312
13662,55955456
22122,90607616
3915,16031744
1899,7774208
12312,50425856
21940,89862144
7538,30871552
3618,14815232
1194,4886528
12849,52625408
19853,81313792
13003,53256192
19210,78680064
7231,29614080
26046,106680320
15936,65269760
21763,89137152
6840,28012544
5118,20959232
13161,53903360
15476,63385600
2926,11980800
18094,74108928
2471,10117120
25391,103997440
4771,19537920
2741,11223040
19636,80424960
1644,6729728
9670,39604224
1705,6979584
602,2461696
26118,106975232
2282,9342976
17238,70602752
21535,88203264
21257,87064576
1188,4861952
361,1474560
7743,31711232
23985,98238464
19265,78905344
21472,87945216
16511,67624960
16813,68861952
20047,82108416
15073,61734912
17651,72294400
1140,4665344
165,671744
2356,9646080
21190,86790144
21338,87396352
19240,78802944
11819,48406528
12347,50569216
1025,4194304
26216,107376640
2778,11374592
10771,44113920
16494,67555328
5750,23547904
20484,83898368
16679,68313088
6256,25620480
6927,28368896
19708,80719872
12265,50233344
25901,106086400
4262,17453056
7201,29491200
7312,29945856
22210,90968064
7034,28807168
22821,93470720
19430,79581184
25165,103071744
8796,36024320
22960,94040064
8704,35647488
25950,106287104
5215,21356544
20909,85639168
7126,29184000
12542,51367936
18002,73732096
5465,22380544
15887,65069056
4087,16736256
8919,36528128
25601,104857600
16320,66842624
2894,11849728
25830,105795584
1857,7602176
22693,92946432
11216,45936640
25211,103260160
7552,30928896
4738,19402752
10649,43614208
692,2830336
17017,69697536
12906,52858880
589,2408448
16508,67612672
20613,84426752
21579,88383488
21410,87691264
5107,20914176
12712,52064256
18371,75243520
24117,98779136
7785,31883264
9604,39333888
6679,27353088
12208,49999872
1231,5038080
19191,78602240
12395,50765824
13957,57163776
9390,38457344
23393,95813632
16462,67424256
14624,59895808
8525,34914304
24152,98922496
2531,10362880
22528,92270592
25836,105820160
1919,7856128
1413,5783552
14699,60203008
24286,99471360
10804,44249088
15129,61964288
14718,60280832
7445,30490624
6018,24645632
8367,34267136
7957,32587776
7395,30285824
23670,96948224
9200,37679104
7208,29519872
11944,48918528
20946,85790720
18024,73822208
21365,87506944
8720,35713024
24720,101249024
17659,72327168
21581,88391680
22543,92332032
22622,92655616
11414,46747648
10619,43491328
16981,69550080
19260,78884864
14792,60583936
14255,58384384
17600,72085504
575,2351104
12869,52707328
9397,38486016
20867,85467136
1407,5758976
16176,66252800
10418,42668032
198,806912
20702,84791296
4174,17092608
8724,35729408
7624,31223808
11134,45600768
23662,96915456
2663,10903552
22584,92499968
21772,89174016
20284,83079168
16883,69148672
2745,11239424
7217,29556736
9983,40886272
26198,107302912
23464,96104448
13995,57319424
12274,50270208
6251,25600000
10008,40988672
19463,79716352
16179,66265088
8869,36323328
9531,39034880
5387,22061056
544,2224128
10474,42897408
3076,12595200
20475,83861504
7975,32661504
19731,80814080
8862,36294656
5284,21639168
11396,46673920
1472,6025216
8928,36564992
14374,58871808
4578,18747392
9058,37097472
7705,31555584
1455,5955584
364,1486848
16296,66744320
25132,102936576
17320,70938624
5054,20697088
14770,60493824
189,770048
17437,71417856
4834,19795968
6126,25088000
12891,52797440
3997,16367616
19501,79872000
8401,34406400
21734,89018368
14494,59363328
23949,98091008
6595,27009024
15441,63242240
9030,36982784
18576,76083200
22301,91340800
11892,48705536
9819,40214528
19790,81055744
337,1376256
7371,30187520
20661,84623360
26104,106917888
3569,14614528
14528,59502592
10300,42184704
25398,104026112
3612,14790656
473,1933312
25430,104157184
11627,47620096
8230,33705984
17583,72015872
9425,38600704
10044,41136128
10205,41795584
1653,6766592
20053,82132992
25537,104595456
6117,25051136
23460,96088064
22759,93216768
23105,94633984
2267,9281536
7995,32743424
26043,106668032
4224,17297408
14952,61239296
13829,56639488
13284,54407168
16670,68276224
10700,43823104
4188,17149952
18910,77451264
25425,104136704
2875,11771904
4745,19431424
13005,53264384
179,729088
20300,83144704
2536,10383360
3320,13594624
11469,46972928
17462,71520256
24574,100651008
23093,94584832
242,987136
17281,70778880
26111,106946560
14850,60821504
16959,69459968
22700,92975104
481,1966080
23783,97411072
13796,56504320
4054,16601088
2190,8966144
15204,62271488
18102,74141696
18650,76386304
6475,26517504
15953,65339392
7083,29007872
5528,22638592
7257,29720576
12426,50892800
1916,7843840
19520,79949824
17448,71462912
11078,45371392
3664,15003648
6723,27533312
10939,44802048
20633,84508672
4408,18051072
25414,104091648
20727,84893696
23932,98021376
24981,102318080
11811,48373760
4361,17858560
11162,45715456
18934,77549568
10055,41181184
20328,83259392
25247,103407616
12822,52514816
3436,14069760
8694,35606528
8799,36036608
25346,103813120
2185,8945664
4621,18923520
10811,44277760
23036,94351360
17686,72437760
12796,52408320
16907,69246976
8649,35422208
7057,28901376
8943,36626432
6757,27672576
6678,27348992
971,3973120
6701,27443200
13201,54067200
15110,61886464
25256,103444480
20287,83091456
13713,56164352
311,1269760
1429,5849088
15553,63700992
21919,89776128
16228,66465792
4944,20246528
21243,87007232
18230,74665984
12078,49467392
25949,106283008
20439,83714048
10424,42692608
9565,39174144
11518,47173632
18027,73834496
25743,105439232
2996,12267520
5122,20975616
15952,65335296
3658,14979072
16597,67977216
26161,107151360
4261,17448960
6268,25669632
20448,83750912
18532,75902976
7195,29466624
5441,22282240
21856,89518080
82,331776
9564,39170048
4800,19656704
9066,37130240
1697,6946816
10403,42606592
22191,90890240
12403,50798592
2206,9031680
2074,8491008
164,667648
18,69632
12599,51601408
19984,81850368
20176,82636800
11410,46731264
25501,104448000
8686,35573760
25302,103632896
2997,12271616
6095,24961024
1773,7258112
4690,19206144
6342,25972736
23444,96022528
20046,82104320
10518,43077632
21588,88420352
18188,74493952
20073,82214912
4755,19472384
17574,71979008
4029,16498688
9380,38416384
23254,95244288
22806,93409280
11323,46374912
21754,89100288
5725,23445504
6953,28475392
7614,31182848
5553,22740992
16145,66125824
13961,57180160
17808,72937472
24610,100798464
11648,47706112
5004,20492288
19899,81502208
9492,38875136
8084,33107968
17699,72491008
3750,15355904
157,638976
14529,59506688
2819,11542528
7841,32112640
11211,45916160
8935,36593664
20084,82259968
16259,66592768
7389,30261248
1003,4104192
23684,97005568
24368,99807232
17077,69943296
12016,49213440
17146,70225920
5576,22835200
16773,68698112
19121,78315520
21761,89128960
23336,95580160
6976,28569600
25887,106029056
16616,68055040
11114,45518848
3116,12759040
6663,27287552
9587,39264256
25795,105652224
5114,20942848
197,802816
24456,100167680
6013,24625152
9202,37687296
14466,59248640
24940,102150144
3854,15781888
8745,35815424
23453,96059392
10769,44105728
6179,25305088
22862,93638656
23154,94834688
12413,50839552
11591,47472640
10852,44445696
5597,22921216
18811,77045760
12011,49192960
12351,50585600
6422,26300416
23413,95895552
24229,99237888
9184,37613568
9458,38735872
19151,78438400
23598,96653312
14455,59203584
18494,75747328
13416,54947840
11657,47742976
19788,81047552
24300,99528704
25135,102948864
8243,33759232
15505,63504384
25177,103120896
5049,20676608
12284,50311168
14481,59310080
18721,76677120
2137,8749056
2845,11649024
16935,69361664
23970,98177024
11503,47112192
17740,72658944
2953,12091392
19487,79814656
24450,100143104
3887,15917056
11983,49078272
22319,91414528
2096,8581120
23165,94879744
18676,76492800
4337,17760256
1991,8151040
18280,74870784
16976,69529600
14395,58957824
8192,33550336
24768,101445632
20758,85020672
26250,107515904
17509,71712768
20869,85475328
9008,36892672
23729,97189888
12990,53202944
8061,33013760
2868,11743232
2092,8564736
16398,67162112
3525,14434304
21487,88006656
6933,28393472
3746,15339520
12974,53137408
25721,105349120
12280,50294784
25056,102625280
278,1134592
1014,4149248
16272,66646016
21118,86495232
16265,66617344
1747,7151616
1527,6250496
13986,57282560
9018,36933632
13519,55369728
9808,40169472
101,409600
16203,66363392
10264,42037248
6929,28377088
1541,6307840
26058,106729472
15699,64299008
4985,20414464
16403,67182592
8014,32821248
10610,43454464
6385,26148864
9791,40099840
5889,24117248
20197,82722816
1967,8052736
4351,17817600
14627,59908096
9413,38551552
6375,26107904
9394,38473728
23240,95186944
6459,26451968
15833,64847872
2658,10883072
9705,39747584
6873,28147712
21108,86454272
5874,24055808
4995,20455424
20971,85893120
3897,15958016
182,741376
19707,80715776
13613,55754752
9275,37986304
19037,77971456
12000,49147904
13845,56705024
12332,50507776
10539,43163648
17288,70807552
20144,82505728
10150,41570304
1342,5492736
12499,51191808
19619,80355328
12502,51204096
7075,28975104
19942,81678336
14202,58167296
24154,98930688
14668,60076032
15393,63045632
25866,105943040
8215,33644544
25292,103591936
22145,90701824
6062,24825856
6048,24768512
11900,48738304
20679,84697088
12628,51720192
22061,90357760
13264,54325248
17798,72896512
8378,34312192
9941,40714240
18973,77709312
2183,8937472
12707,52043776
22970,94081024
12376,50688000
13096,53637120
9552,39120896
23801,97484800
9503,38920192
18756,76820480
5320,21786624
23062,94457856
25412,104083456
17385,71204864
18261,74792960
15855,64937984
10708,43855872
3271,13393920
808,3305472
13755,56336384
6351,26009600
19765,80953344
13309,54509568
25706,105287680
7024,28766208
18987,77766656
20110,82366464
10915,44703744
694,2838528
14980,61353984
20338,83300352
15755,64528384
15787,64659456
1535,6283264
25969,106364928
19574,80171008
3645,14925824
11711,47964160
23040,94367744
25735,105406464
406,1658880
26316,107786240
162,659456
10854,44453888
7232,29618176
13989,57294848
1948,7974912
5095,20865024
18764,76853248
9618,39391232
5075,20783104
10160,41611264
2015,8249344
893,3653632
4255,17424384
7545,30900224
2054,8409088
7251,29696000
19970,81793024
4443,18194432
10532,43134976
23307,95461376
23271,95313920
25707,105291776
4058,16617472
22087,90464256
4886,20008960
5534,22663168
6004,24588288
7192,29454336
5181,21217280
20230,82857984
17133,70172672
24541,100515840
17737,72646656
10277,42090496
26266,107581440
19568,80146432
10152,41578496
9178,37588992
10053,41172992
2889,11829248
14706,60231680
18225,74645504
17019,69705728
17949,73515008
25291,103587840
4926,20172800
22518,92229632
24473,100237312
17747,72687616
26222,107401216
213,868352
21278,87150592
10840,44396544
21468,87928832
22916,93859840
3473,14221312
14005,57360384
16174,66244608
9252,37892096
3509,14368768
10938,44797952
853,3489792
11109,45498368
15525,63586304
3625,14843904
15455,63299584
18070,74010624
11240,46034944
4161,17039360
8703,35643392
23775,97378304
9152,37482496
23690,97030144
11031,45178880
25363,103882752
21353,87457792
21162,86675456
22549,92356608
16223,66445312
2141,8765440
4753,19464192
24679,101081088
23470,96129024
14613,59850752
6017,24641536
25603,104865792
26101,106905600
23286,95375360
11687,47865856
13457,55115776
2437,9977856
5924,24260608
17719,72572928
9883,40476672
5842,23924736
21886,89640960
3894,15945728
19615,80338944
18092,74100736
14729,60325888
1501,6144000
8823,36134912
18787,76947456
24411,99983360
9226,37785600
19272,78934016
13998,57331712
16728,68513792
13401,54886400
16964,69480448
13574,55595008
13988,57290752
16,61440
9384,38432768
15030,61558784
18236,74690560
26045,106676224
11069,45334528
15543,63660032
8852,36253696
22392,91713536
7656,31354880
14243,58335232
19925,81608704
10948,44838912
6972,28553216
6990,28626944
18571,76062720
7503,30728192
9776,40038400
592,2420736
16439,67330048
24330,99651584
6897,28246016
22558,92393472
22504,92172288
6485,26558464
8110,33214464
20747,84975616
9072,37154816
12692,51982336
10585,43352064
19532,79998976
22217,90996736
2060,8433664
7640,31289344
6480,26537984
8834,36179968
1549,6340608
17464,71528448
7874,32247808
7710,31576064
11426,46796800
12203,49979392
13109,53690368
2061,8437760
21224,86929408
24475,100245504
21434,87789568
6109,25018368
