page_number,file_offset
25450,104239104
26082,106827776
25978,106401792
26131,107028480
25977,106397696
25944,106262528
26117,106971136
25599,104849408
25726,105369600
25807,105701376
26039,106651648
26303,107732992
26024,106590208
26173,107200512
25568,104722432
25972,106377216
25465,104300544
25964,106344448
26013,106545152
25938,106237952
26043,106668032
25987,106438656
25711,105308160
25756,105492480
25499,104439808
25543,104620032
26176,107212800
25853,105889792
26056,106721280
25457,104267776
25962,106336256
25867,105947136
25888,106033152
25901,106086400
25908,106115072
25768,105541632
26212,107360256
25516,104509440
25736,105410560
26268,107589632
26168,107180032
25515,104505344
26009,106528768
26277,107626496
25776,105574400
25460,104280064
25592,104820736
25533,104579072
25529,104562688
26263,107569152
26196,107294720
25580,104771584
26003,106504192
25814,105730048
25751,105472000
25774,105566208
25650,105058304
26225,107413504
26311,107765760
26248,107507712
25611,104898560
26186,107253760
26088,106852352
25581,104775680
25847,105865216
26171,107192320
25815,105734144
25479,104357888
26099,106897408
25775,105570304
25829,105791488
26001,106496000
25716,105328640
25593,104824832
25965,106348544
25748,105459712
25584,104787968
26326,107827200
26281,107642880
25704,105279488
26114,106958848
26141,107069440
25638,105009152
25542,104615936
25976,106393600
26287,107667456
26128,107016192
25672,105148416
25873,105971712
25840,105836544
25899,106078208
25536,104591360
25563,104701952
25838,105828352
26278,107630592
26209,107347968
25680,105181184
26151,107110400
26162,107155456
25865,105938944
25799,105668608
26210,107352064
26028,106606592
26205,107331584
25470,104321024
25753,105480192
25548,104640512
25471,104325120
26211,107356160
26006,106516480
25779,105586688
25448,104230912
1,0
25698,105254912
26049,106692608
25818,105746432
26032,106622976
25535,104587264
25561,104693760
25484,104378368
26101,106905600
26312,107769856
25628,104968192
26034,106631168
26106,106926080
25562,104697856
6,20480
25885,106020864
26238,107466752
25634,104992768
25607,104882176
26218,107384832
26033,106627072
25665,105119744
25511,104488960
26331,107847680
25517,104513536
26172,107196416
25731,105390080
26070,106778624
25741,105431040
25985,106430464
26330,107843584
25866,105943040
25905,106102784
25560,104689664
26111,106946560
25787,105619456
25772,105558016
25809,105709568
25887,106029056
25918,106156032
26322,107810816
25712,105312256
26160,107147264
26329,107839488
25703,105275392
26192,107278336
25831,105799680
26071,106782720
25656,105082880
25927,106192896
26126,107008000
25635,104996864
25696,105246720
25889,106037248
26247,107503616
13,49152
25530,104566784
25591,104816640
25700,105263104
26023,106586112
26282,107646976
26297,107708416
25720,105345024
25679,105177088
25983,106422272
25537,104595456
26234,107450368
26180,107229184
25948,106278912
26163,107159552
26015,106553344
22,86016
26047,106684416
25884,106016768
12,45056
25935,106225664
25834,105811968
25598,104845312
25844,105852928
25559,104685568
26104,106917888
26121,106987520
26152,107114496
21,81920
26046,106680320
25500,104443904
25686,105205760
25920,106164224
26242,107483136
25615,104914944
25501,104448000
26284,107655168
26298,107712512
25906,106106880
25612,104902656
26052,106704896
26274,107614208
25632,104984576
26021,106577920
26191,107274240
25572,104738816
26215,107372544
25986,106434560
26260,107556864
25541,104611840
25498,104435712
25489,104398848
26122,106991616
25913,106135552
25486,104386560
26164,107163648
26169,107184128
25816,105738240
26202,107319296
26301,107724800
25724,105361408
26153,107118592
25513,104497152
25994,106467328
25551,104652800
26255,107536384
25637,105005056
25627,104964096
7,24576
26129,107020288
25826,105779200
25824,105771008
26147,107094016
26187,107257856
25588,104804352
25626,104960000
25784,105607168
26270,107597824
26279,107634688
25992,106459136
26025,106594304
26195,107290624
26138,107057152
26276,107622400
25476,104345600
25912,106131456
26064,106754048
25849,105873408
25812,105721856
26087,106848256
25875,105979904
25896,106065920
25589,104808448
29,114688
26221,107397120
26251,107520000
26265,107577344
25841,105840640
26089,106856448
26055,106717184
26124,106999808
25974,106385408
25771,105553920
25549,104644608
25855,105897984
25914,106139648
25734,105402368
25795,105652224
25858,105910272
26324,107819008
25606,104878080
25792,105639936
25960,106328064
25697,105250816
25839,105832448
26313,107773952
25469,104316928
25544,104624128
19,73728
25953,106299392
26239,107470848
25759,105504768
26090,106860544
25868,105951232
25477,104349696
26280,107638784
25445,104218624
26220,107393024
25803,105684992
25955,106307584
25883,106012672
25747,105455616
25594,104828928
25998,106483712
25483,104374272
25931,106209280
26067,106766336
25600,104853504
25566,104714240
25706,105287680
26273,107610112
25862,105926656
25683,105193472
25805,105693184
26207,107339776
25564,104706048
25963,106340352
25636,105000960
25727,105373696
25547,104636416
26091,106864640
25666,105123840
25467,104308736
25657,105086976
25860,105918464
26000,106491904
25669,105136128
26156,107130880
25609,104890368
26119,106979328
25699,105259008
25493,104415232
25714,105320448
25447,104226816
26285,107659264
25663,105111552
25942,106254336
25641,105021440
26105,106921984
26320,107802624
25879,105996288
25451,104243200
26060,106737664
25702,105271296
25909,106119168
26222,107401216
25835,105816064
26149,107102208
26029,106610688
26132,107032576
25937,106233856
26189,107266048
25673,105152512
25761,105512960
25856,105902080
25619,104931328
25512,104493056
26237,107462656
26077,106807296
25766,105533440
25578,104763392
26019,106569728
25982,106418176
26139,107061248
25633,104988672
25453,104251392
26264,107573248
25956,106311680
25732,105394176
25474,104337408
3,8192
25733,105398272
25802,105680896
26177,107216896
15,57344
25900,106082304
25455,104259584
25463,104292352
25864,105934848
26116,106967040
26016,106557440
25808,105705472
26213,107364352
26188,107261952
25870,105959424
25996,106475520
26286,107663360
26022,106582016
26045,106676224
25618,104927232
25522,104534016
25723,105357312
25949,106283008
26085,106840064
25449,104235008
26074,106795008
25475,104341504
26108,106934272
25509,104480768
25652,105066496
26327,107831296
25458,104271872
25573,104742912
26073,106790912
26130,107024384
26266,107581440
26305,107741184
25857,105906176
25790,105631744
26233,107446272
4,12288
10,36864
26243,107487232
25693,105234432
25597,104841216
25881,106004480
25922,106172416
25545,104628224
25891,106045440
26051,106700800
32,126976
25707,105291776
25810,105713664
25979,106405888
26310,107761664
25649,105054208
25643,105029632
25721,105349120
26094,106876928
25585,104792064
25786,105615360
26159,107143168
25925,106184704
26223,107405312
25565,104710144
26232,107442176
25793,105644032
26175,107208704
26,102400
25969,106364928
26079,106815488
26309,107757568
25854,105893888
26261,107560960
26142,107073536
25677,105168896
25828,105787392
26069,106774528
25823,105766912
25595,104833024
25820,105754624
26227,107421696
26219,107388928
26154,107122688
25687,105209856
26244,107491328
25966,106352640
26250,107515904
30,118784
26217,107380736
25647,105046016
26058,106729472
25521,104529920
26018,106565632
25524,104542208
26084,106835968
26206,107335680
25534,104583168
25520,104525824
25990,106450944
25613,104906752
25586,104796160
25794,105648128
26035,106635264
25642,105025536
26254,107532288
25556,104673280
25894,106057728
26224,107409408
26118,106975232
25485,104382464
26231,107438080
25590,104812544
25532,104574976
25569,104726528
26063,106749952
26323,107814912
26235,107454464
25744,105443328
25871,105963520
25582,104779776
26296,107704320
25874,105975808
25478,104353792
25630,104976384
25819,105750528
26240,107474944
25725,105365504
26306,107745280
25788,105623552
25574,104747008
25608,104886272
25755,105488384
26200,107311104
25821,105758720
25480,104361984
25505,104464384
26179,107225088
25503,104456192
25570,104730624
25639,105013248
26292,107687936
25601,104857600
25968,106360832
25454,104255488
26014,106549248
25684,105197568
26256,107540480
25713,105316352
25822,105762816
26208,107343872
25773,105562112
26246,107499520
25999,106487808
25497,104431616
25735,105406464
25757,105496576
25461,104284160
25710,105304064
26042,106663936
26057,106725376
25526,104550400
25911,106127360
25825,105775104
26062,106745856
26294,107696128
26181,107233280
26007,106520576
26184,107245568
25975,106389504
25481,104366080
25664,105115648
25893,106053632
25662,105107456
26253,107528192
26304,107737088
26283,107651072
25523,104538112
25880,106000384
25798,105664512
25970,106369024
25506,104468480
25940,106246144
25717,105332736
26081,106823680
25892,106049536
25651,105062400
26011,106536960
26157,107134976
25961,106332160
9,32768
25540,104607744
26226,107417600
25681,105185280
26026,106598400
25767,105537536
25668,105132032
25610,104894464
26054,106713088
25691,105226240
25895,106061824
25468,104312832
26123,106995712
25496,104427520
26229,107429888
26193,107282432
26198,107302912
25765,105529344
25852,105885696
25952,106295296
25678,105172992
25605,104873984
26083,106831872
25546,104632320
25491,104407040
26315,107782144
26107,106930176
25743,105439232
25859,105914368
25510,104484864
26146,107089920
26167,107175936
26185,107249664
2,4096
25667,105127936
25701,105267200
25527,104554496
25932,106213376
25984,106426368
26275,107618304
26010,106532864
25629,104972288
25746,105451520
26216,107376640
25730,105385984
25967,106356736
25659,105095168
26252,107524096
25836,105820160
25997,106479616
25929,106201088
26041,106659840
26170,107188224
25876,105984000
26295,107700224
26061,106741760
26031,106618880
26044,106672128
25742,105435136
26161,107151360
25933,106217472
