page_number,file_offset
26298,107712512
26194,107286528
26303,107732992
26330,107843584
26048,106688512
26059,106733568
26260,107556864
26064,106754048
26207,107339776
26183,107241472
4,12288
26296,107704320
26140,107065344
25938,106237952
25885,106020864
26165,107167744
25974,106385408
26020,106573824
25982,106418176
26226,107417600
26002,106500096
26228,107425792
26149,107102208
26056,106721280
26199,107307008
25924,106180608
26151,107110400
26240,107474944
26118,106975232
26255,107536384
26279,107634688
25951,106291200
19,73728
26071,106782720
25967,106356736
26166,107171840
26124,106999808
26217,107380736
26284,107655168
26074,106795008
26206,107335680
25988,106442752
26309,107757568
25929,106201088
26082,106827776
26257,107544576
26043,106668032
26004,106508288
26155,107126784
25909,106119168
26086,106844160
26185,107249664
25903,106094592
26261,107560960
25955,106307584
26150,107106304
26142,107073536
26169,107184128
26179,107225088
26305,107741184
26084,106835968
26195,107290624
26286,107663360
26291,107683840
26200,107311104
26177,107216896
26234,107450368
26015,106553344
25893,106053632
25894,106057728
25904,106098688
26091,106864640
25889,106037248
26158,107139072
26259,107552768
26046,106680320
26053,106708992
26008,106524672
26041,106659840
25992,106459136
26292,107687936
26295,107700224
26245,107495424
26005,106512384
25906,106106880
25923,106176512
25939,106242048
26123,106995712
25911,106127360
26220,107393024
26137,107053056
26156,107130880
26281,107642880
25942,106254336
26141,107069440
32,126976
26180,107229184
26182,107237376
26235,107454464
26254,107532288
26327,107831296
25959,106323968
26241,107479040
26251,107520000
26135,107044864
25973,106381312
26214,107368448
26077,106807296
26178,107220992
25997,106479616
26277,107626496
26290,107679744
26062,106745856
26024,106590208
26184,107245568
26079,106815488
30,118784
25905,106102784
26210,107352064
25891,106045440
25917,106151936
25946,106270720
25947,106274816
26000,106491904
26310,107761664
26098,106893312
25934,106221568
25881,106004480
25883,106012672
25995,106471424
26215,107372544
25937,106233856
26068,106770432
25898,106074112
26066,106762240
26253,107528192
26244,107491328
15,57344
25892,106049536
22,86016
25925,106184704
26236,107458560
26246,107499520
26061,106741760
25958,106319872
26227,107421696
25915,106143744
26265,107577344
26196,107294720
25882,106008576
26029,106610688
26312,107769856
26164,107163648
26092,106868736
