label,n0_base,n92_layers,acc_2d,acc_2e_k10
baseline,406.71,209.38,264.30,23.18
checkpoint_001,386.67,201.98,203.95,22.78
checkpoint_002,450.30,202.67,211.38,20.71
checkpoint_003,433.01,232.04,414.82,211.98
checkpoint_004,460.24,208.46,227.16,23.30
checkpoint_005,501.73,176.17,188.31,21.81
checkpoint_006,431.32,218.06,213.30,15.18
checkpoint_007,427.81,227.43,203.06,16.30
checkpoint_008,491.77,193.48,181.36,25.82
checkpoint_009,488.00,229.08,226.29,22.78
checkpoint_010,549.46,242.13,245.32,42.68
