checkpoint,n0_base,n5_layers,n92_layers,2d_static,2e_k10_static,2e_k50_static
baseline,189.45,25.63,19.32,26.01,28.64,15.69
checkpoint_001,228.07,30.08,24.52,23.91,25.66,24.19
checkpoint_002,318.93,22.71,16.03,21.33,22.28,16.80
checkpoint_003,195.02,26.48,26.47,25.94,15.32,26.17
checkpoint_004,349.09,25.41,28.26,15.45,15.14,28.56
checkpoint_005,346.46,26.13,24.14,23.77,27.37,26.57
checkpoint_006,294.77,24.76,23.71,22.50,18.54,28.70
checkpoint_007,301.02,26.06,22.32,23.02,24.07,21.80
checkpoint_008,246.97,28.12,24.21,25.64,23.59,23.35
checkpoint_009,262.48,25.30,20.73,25.03,21.79,22.16
checkpoint_010,271.21,26.25,32.02,25.05,20.02,19.81
