checkpoint,N0,N1,N5,N10,N20,N46,N92
baseline,189.45,213.61,25.63,26.21,29.59,17.66,19.32
checkpoint_001,228.07,258.97,30.08,26.49,24.21,27.88,24.52
checkpoint_002,318.93,339.44,22.71,24.99,27.26,27.48,16.03
checkpoint_003,195.02,260.62,26.48,26.75,25.48,27.43,26.47
checkpoint_004,349.09,338.36,25.41,28.19,26.39,28.22,28.26
checkpoint_005,346.46,259.49,26.13,24.64,25.46,25.48,24.14
checkpoint_006,294.77,208.35,24.76,21.90,26.65,29.04,23.71
checkpoint_007,301.02,213.99,26.06,17.55,24.96,26.26,22.32
checkpoint_008,246.97,208.94,28.12,27.91,27.79,25.40,24.21
checkpoint_009,262.48,276.86,25.30,19.48,18.91,27.13,20.73
checkpoint_010,271.21,192.43,26.25,29.30,25.72,25.20,32.02
