checkpoint,N0,N1,N5,N10,N20,N46,N92
baseline,347.15,372.64,194.31,177.50,201.59,174.82,193.04
checkpoint_001,414.52,464.65,231.27,299.27,202.67,219.40,192.53
checkpoint_002,453.55,460.67,250.00,299.48,289.12,230.10,265.22
checkpoint_003,465.21,630.21,370.73,340.47,394.94,312.71,293.40
checkpoint_004,479.84,633.52,279.25,335.97,301.91,248.36,251.43
checkpoint_005,589.02,495.06,274.06,232.03,287.75,244.34,250.93
checkpoint_006,476.49,557.96,270.07,204.69,260.64,268.39,296.60
checkpoint_007,481.70,436.53,265.10,284.40,301.26,319.85,228.40
checkpoint_008,610.32,465.92,305.25,286.08,274.19,342.91,303.69
checkpoint_009,567.30,363.47,251.35,244.32,237.53,267.99,232.53
checkpoint_010,460.77,434.98,208.64,275.14,224.91,250.69,225.80
