label,operation_count,inserted_total,deleted_total,row_count,page_size,page_count,freelist_count_header,interior_total,interior_table,interior_index,leaf_total,leaf_table,leaf_index,freelist_total_classified,overflow,interior_pct,new_interior_count,removed_interior_count,new_min_page,new_max_page,new_appended_count,new_in_file_count,new_reused_freelist_count,new_pages_preview,removed_pages_preview
baseline,0,0,0,600000,4096,26331,0,92,51,41,26239,19984,6255,0,0,0.34939804792829743,,,,,,,,,
checkpoint_001,5000,0,0,600000,4096,27228,0,95,54,41,27133,20856,6277,0,0,0.34890553841633615,3,0,26794,27154,3,0,0,26794 26802 27154,
checkpoint_002,10000,0,0,600000,4096,27433,0,96,54,42,27337,21045,6292,0,0,0.3499434987059381,1,0,27322,27322,1,0,0,27322,
checkpoint_003,15000,0,0,600000,4096,27615,0,96,54,42,27519,21213,6306,0,0,0.3476371537208039,0,0,,,0,0,0,,
checkpoint_004,20000,0,0,600000,4096,27810,0,96,54,42,27714,21393,6321,0,0,0.3451995685005394,0,0,,,0,0,0,,
checkpoint_005,25000,0,0,600000,4096,28006,0,96,54,42,27910,21577,6333,0,0,0.3427836892094551,0,0,,,0,0,0,,
checkpoint_006,30000,0,0,600000,4096,28183,0,96,54,42,28087,21742,6345,0,0,0.34063087676968384,0,0,,,0,0,0,,
checkpoint_007,35000,0,0,600000,4096,28362,0,98,56,42,28264,21908,6356,0,0,0.3455327550948452,2,0,28186,28317,2,0,0,28186 28317,
checkpoint_008,40000,0,0,600000,4096,28492,0,98,56,42,28394,22030,6364,0,0,0.3439561982310824,0,0,,,0,0,0,,
checkpoint_009,45000,0,0,600000,4096,28639,0,98,56,42,28541,22165,6376,0,0,0.342190718949684,0,0,,,0,0,0,,
checkpoint_010,50000,0,0,600000,4096,28779,0,98,56,42,28681,22299,6382,0,0,0.3405260780430175,0,0,,,0,0,0,,
