label,operation_count,hot_key_coverage,covered_ops,read_ops,frozen_leaves,dead_frozen_leaves,leaf_pages_now
baseline,0,1.0,20000,20000,3327,303,19983
checkpoint_001,5000,0.8988,17976,20000,3327,383,20855
checkpoint_002,10000,0.77955,15591,20000,3327,394,21044
checkpoint_003,15000,0.72145,14429,20000,3327,421,21212
checkpoint_004,20000,0.7259,14518,20000,3327,421,21392
checkpoint_005,25000,0.6837,13674,20000,3327,471,21576
checkpoint_006,30000,0.66315,13263,20000,3327,509,21741
checkpoint_007,35000,0.69035,13807,20000,3327,544,21907
checkpoint_008,40000,0.6311,12622,20000,3327,561,22029
checkpoint_009,45000,0.6217,12434,20000,3327,587,22164
checkpoint_010,50000,0.5898,11796,20000,3327,593,22298
