label,operation_count,hot_key_coverage,covered_ops,read_ops,frozen_leaves,dead_frozen_leaves,leaf_pages_now
baseline,0,0.24145,4829,20000,10,0,19983
checkpoint_001,5000,0.2414,4828,20000,10,0,20052
checkpoint_002,10000,0.2414,4828,20000,10,0,20094
checkpoint_003,15000,0.2414,4828,20000,10,0,20101
checkpoint_004,20000,0.2414,4828,20000,10,0,20106
checkpoint_005,25000,0.2414,4828,20000,10,0,20108
checkpoint_006,30000,0.2414,4828,20000,10,0,20111
checkpoint_007,35000,0.2414,4828,20000,10,0,20114
checkpoint_008,40000,0.24135,4827,20000,10,0,20119
checkpoint_009,45000,0.24135,4827,20000,10,0,20128
checkpoint_010,50000,0.24135,4827,20000,10,0,20143
