op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
1,read,6864,1,100,255039,0,6
2,read,35085,1,100,112311,0,2
3,read,11428,1,100,57398,0,0
4,read,53378,1,100,110758,0,0
5,read,34938,1,100,56957,0,0
6,read,14117,1,100,110879,0,0
7,read,5001,1,100,55985,0,0
8,read,49693,1,100,110267,0,0
9,read,70282,1,100,109986,0,0
10,read,73705,1,100,69741,0,0
11,read,43542,1,100,56416,0,0
12,read,44670,1,100,56857,0,0
13,read,6803,1,100,56666,0,0
14,read,20928,1,100,57227,0,0
15,read,17703,1,100,57218,0,0
16,read,44200,1,100,56045,0,0
17,read,73527,1,100,55815,0,0
18,read,43752,1,100,56507,0,0
19,read,91972,1,100,110558,0,0
20,read,32135,1,100,56376,0,0
21,read,21467,1,100,55915,0,0
22,read,219,1,100,3045,0,0
23,read,57184,1,100,56627,0,0
24,read,11484,1,100,56366,0,0
25,read,78329,1,100,111600,0,0
26,read,49493,1,100,55975,0,0
27,read,9159,1,100,55674,0,0
28,read,865,1,100,56667,0,0
29,read,41348,1,100,56666,0,0
30,read,95950,1,100,56987,0,0
31,read,58763,1,100,56786,0,0
32,read,13375,1,100,56176,0,0
33,read,5753,1,100,56656,0,0
34,read,12159,1,100,55865,0,0
35,read,87444,1,100,57007,0,0
36,read,18636,1,100,56977,0,0
37,read,16548,1,100,56216,0,0
38,read,2784,1,100,55504,0,0
39,read,38248,1,100,56186,0,0
40,read,56445,1,100,55765,0,0
41,read,75158,1,100,55494,0,0
42,read,62512,1,100,56646,0,0
43,read,34777,1,100,56516,0,0
44,read,61512,1,100,55404,0,0
45,read,4817,1,100,55975,0,0
46,read,39990,1,100,56486,0,0
47,read,45019,1,100,55745,0,0
48,read,68377,1,100,56235,0,0
49,read,63303,1,100,56126,0,0
50,read,27114,1,100,56577,0,0
51,read,79811,1,100,56606,0,0
52,read,83724,1,100,56506,0,0
53,read,69085,1,100,56496,0,0
54,read,74032,1,100,55925,0,0
55,read,41323,1,100,57297,0,0
56,read,1645,1,100,55805,0,0
57,read,52198,1,100,56005,0,0
58,read,84693,1,100,52238,0,0
59,read,67208,1,100,55754,0,0
60,read,56936,1,100,55515,0,0
61,read,89763,1,100,57218,0,0
62,read,70585,1,100,56155,0,0
63,read,83671,1,100,55845,0,0
64,read,87381,1,100,56426,0,0
65,read,78186,1,100,56245,0,0
66,read,63719,1,100,59412,0,0
67,read,68238,1,100,56005,0,0
68,read,87618,1,100,56265,0,0
69,read,54985,1,100,56106,0,0
70,read,49090,1,100,55946,0,0
71,read,66856,1,100,56547,0,0
72,read,4174,1,100,60554,0,0
73,read,98851,1,100,109676,0,0
74,read,84601,1,100,56156,0,0
75,read,23785,1,100,55535,0,0
76,read,95136,1,100,55615,0,0
77,read,10828,1,100,55694,0,0
78,read,63820,1,100,56687,0,0
79,read,86256,1,100,56796,0,0
80,read,34327,1,100,56306,0,0
81,read,22299,1,100,55564,0,0
82,read,43897,1,100,56186,0,0
83,read,44161,1,100,55935,0,0
84,read,72641,1,100,56056,0,0
85,read,51275,1,100,56737,0,0
86,read,9607,1,100,56115,0,0
87,read,94780,1,100,56075,0,0
88,read,59870,1,100,56246,0,0
89,read,50811,1,100,55925,0,0
90,read,75127,1,100,55394,0,0
91,read,44055,1,100,56085,0,0
92,read,2138,1,100,55895,0,0
93,read,24781,1,100,56255,0,0
