mode,rep,first_query_us,avg_us,majflt,minflt,warmer_us,warmed_pages
L0_off,1,534.57,2.05,180,271,0.05,0
L0_off,2,513.03,2.04,180,270,0.05,0
L0_off,3,513.45,2.10,180,270,0.05,0
L0_off,4,504.09,2.02,180,270,0.05,0
L0_off,5,509.91,2.07,180,270,0.05,0
L0_off,6,509.61,2.02,180,270,0.05,0
L0_off,7,517.67,2.07,180,270,0.05,0
L0_off,8,507.83,2.00,180,270,0.06,0
L0_off,9,442.03,2.04,180,270,0.04,0
L0_off,10,435.69,2.02,180,270,0.05,0
L0_off,11,507.05,2.02,180,270,0.05,0
L0_off,12,456.15,2.07,180,270,0.05,0
L0_off,13,515.36,2.06,180,270,0.12,0
L0_off,14,514.98,2.05,180,270,0.05,0
L0_off,15,517.84,2.04,180,270,0.04,0
L0_off,16,506.49,2.01,180,270,0.05,0
L0_off,17,437.51,2.04,180,271,0.05,0
L0_off,18,509.33,2.04,180,270,0.06,0
L0_off,19,508.92,2.03,180,270,0.05,0
L0_off,20,509.18,2.06,180,270,0.05,0
L0_off,21,444.26,2.02,180,270,0.05,0
L0_off,22,515.35,2.02,180,270,0.05,0
L0_off,23,506.84,2.03,180,270,0.05,0
L0_off,24,503.40,2.06,180,270,0.05,0
L0_off,25,455.51,2.05,180,270,0.04,0
L0_off,26,512.02,2.03,180,270,0.05,0
L0_off,27,448.78,2.02,180,270,0.05,0
L0_off,28,448.17,2.03,180,270,0.10,0
L0_off,29,506.91,2.06,180,270,0.05,0
L0_off,30,509.56,2.10,180,270,0.05,0
L1_int_pread,1,111.91,2.02,177,286,8065.33,92
L1_int_pread,2,114.41,2.00,177,286,8143.66,92
L1_int_pread,3,108.73,2.03,177,286,8031.39,92
L1_int_pread,4,130.88,2.04,177,286,8039.44,92
L1_int_pread,5,122.57,2.05,177,286,8125.16,92
L1_int_pread,6,118.84,2.05,177,286,8061.67,92
L1_int_pread,7,110.34,2.03,177,286,8080.97,92
L1_int_pread,8,111.44,2.04,177,285,7945.69,92
L1_int_pread,9,115.31,2.06,177,286,8044.90,92
L1_int_pread,10,114.12,2.04,177,286,8009.93,92
L1_int_pread,11,138.78,2.06,177,287,8222.42,92
L1_int_pread,12,115.96,2.07,177,286,8052.62,92
L1_int_pread,13,118.65,2.03,177,286,7947.78,92
L1_int_pread,14,130.57,2.04,177,286,8039.29,92
L1_int_pread,15,135.94,2.02,177,286,8003.55,92
L1_int_pread,16,120.61,2.03,177,286,7973.67,92
L1_int_pread,17,119.91,2.04,177,286,8023.89,92
L1_int_pread,18,111.27,2.05,177,286,8009.87,92
L1_int_pread,19,140.05,2.05,177,286,7969.73,92
L1_int_pread,20,141.95,2.01,177,286,8109.71,92
L1_int_pread,21,121.76,2.09,177,286,7906.33,92
L1_int_pread,22,117.59,2.02,177,286,8018.57,92
L1_int_pread,23,111.90,2.02,177,286,8013.10,92
L1_int_pread,24,122.03,2.02,177,286,7972.41,92
L1_int_pread,25,113.67,2.03,177,286,8010.93,92
L1_int_pread,26,126.98,2.02,177,286,7993.64,92
L1_int_pread,27,113.50,2.06,177,286,8050.17,92
L1_int_pread,28,113.52,2.01,177,286,8059.11,92
L1_int_pread,29,110.51,2.03,177,286,8063.48,92
L1_int_pread,30,125.77,2.02,177,286,7961.88,92
L1_int_fadvise,1,344.26,2.04,178,283,145.84,92
L1_int_fadvise,2,340.71,2.04,178,283,155.28,92
L1_int_fadvise,3,338.60,2.02,178,284,160.06,92
L1_int_fadvise,4,334.64,2.02,178,283,142.32,92
L1_int_fadvise,5,301.10,2.04,178,283,263.54,92
L1_int_fadvise,6,341.35,2.02,178,283,137.62,92
L1_int_fadvise,7,337.08,2.00,178,283,157.28,92
L1_int_fadvise,8,363.07,2.04,178,283,162.59,92
L1_int_fadvise,9,344.30,2.02,178,283,145.95,92
L1_int_fadvise,10,342.43,2.03,178,284,150.03,92
L1_int_fadvise,11,293.48,2.02,178,283,165.51,92
L1_int_fadvise,12,299.51,2.01,178,283,175.40,92
L1_int_fadvise,13,292.86,2.03,178,283,155.32,92
L1_int_fadvise,14,289.69,2.06,178,283,173.90,92
L1_int_fadvise,15,345.42,2.06,178,283,184.72,92
L1_int_fadvise,16,337.10,2.06,178,283,147.48,92
L1_int_fadvise,17,341.17,2.01,178,283,175.75,92
L1_int_fadvise,18,346.80,2.05,178,283,142.55,92
L1_int_fadvise,19,332.86,2.03,178,283,171.89,92
L1_int_fadvise,20,331.06,2.10,178,283,155.07,92
L1_int_fadvise,21,344.26,2.02,178,283,159.27,92
L1_int_fadvise,22,296.06,2.08,178,283,144.15,92
L1_int_fadvise,23,336.86,2.08,178,283,261.78,92
L1_int_fadvise,24,334.69,2.03,178,283,205.44,92
L1_int_fadvise,25,347.00,2.09,178,283,175.22,92
L1_int_fadvise,26,297.92,2.05,178,283,174.11,92
L1_int_fadvise,27,355.04,2.01,178,283,161.28,92
L1_int_fadvise,28,344.39,2.04,178,283,170.90,92
L1_int_fadvise,29,350.40,2.05,178,283,181.10,92
L1_int_fadvise,30,342.21,2.00,178,283,157.10,92
L5_intleaf_pread,1,114.87,2.05,181,287,8853.40,102
L5_intleaf_pread,2,110.23,2.02,181,287,8766.70,102
L5_intleaf_pread,3,111.86,2.02,181,287,8864.44,102
L5_intleaf_pread,4,110.24,2.02,181,287,8728.88,102
L5_intleaf_pread,5,111.16,2.05,181,287,8777.16,102
L5_intleaf_pread,6,125.63,2.03,181,287,8821.74,102
L5_intleaf_pread,7,122.40,2.06,181,287,8781.69,102
L5_intleaf_pread,8,111.36,2.06,181,287,8719.90,102
L5_intleaf_pread,9,135.88,2.04,181,287,8749.08,102
L5_intleaf_pread,10,114.36,2.05,181,287,8744.73,102
L5_intleaf_pread,11,164.35,2.03,181,287,8780.14,102
L5_intleaf_pread,12,109.11,2.02,181,287,8808.25,102
L5_intleaf_pread,13,121.64,2.02,181,288,8694.44,102
