workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,838.38,0.00,0.00,0.00,838.38,838.38,2.10,190.00,254.00,0.46,54426400
A,ta,baseline,baseline,128,1,1,0.00,0.00,714.33,0.00,0.00,0.00,714.33,714.33,2.17,189.00,261.00,0.46,54432320
B,orig,baseline,baseline,128,1,1,0.00,0.00,854.71,0.00,0.00,0.00,854.71,854.71,2.16,190.00,253.00,0.46,54435268
B,ta,baseline,baseline,128,1,1,0.00,0.00,741.23,0.00,0.00,0.00,741.23,741.23,2.23,191.00,242.00,0.46,54435624
C,orig,baseline,baseline,128,1,1,0.00,0.00,974.78,0.00,0.00,0.00,974.78,974.78,1.59,18.00,36.00,0.46,54436600
C,ta,baseline,baseline,128,1,1,0.00,0.00,976.18,0.00,0.00,0.00,976.18,976.18,1.61,19.00,37.00,0.46,54438404
A,orig,2d,pread,128,1,1,0.00,100.00,520.05,1822.01,177.99,1644.03,2342.06,2164.08,2.13,185.00,274.00,0.46,54436832
A,orig,2d,async,128,1,1,0.00,100.00,581.16,269.79,176.62,93.17,850.95,674.33,2.15,187.00,270.00,0.46,54436696
A,orig,leaf_rand_K10,pread,128,1,1,0.00,100.00,859.11,1106.40,179.49,926.91,1965.51,1786.02,2.16,190.00,254.00,0.46,54430520
A,orig,leaf_rand_K10,async,128,1,1,0.00,100.00,889.51,248.21,175.17,73.04,1137.72,962.55,2.15,190.00,254.00,0.46,54442944
A,orig,leaf_freq_K10,pread,128,1,1,0.00,100.00,885.60,1105.15,176.69,928.46,1990.75,1814.06,2.16,188.00,264.00,0.46,54442860
A,orig,leaf_freq_K10,async,128,1,1,0.00,100.00,820.12,249.01,173.39,75.62,1069.13,895.74,2.10,188.00,264.00,0.46,54443160
A,orig,2e_K10,pread,128,1,1,0.00,100.00,551.94,2786.97,181.06,2605.91,3338.91,3157.85,2.15,185.00,282.00,0.46,54440816
A,orig,2e_K10,async,128,1,1,0.00,100.00,517.55,270.43,175.49,94.94,787.98,612.49,2.11,187.00,278.00,0.46,54440492
A,ta,2d,pread,128,1,1,0.00,100.00,529.27,936.84,176.81,760.03,1466.11,1289.30,2.15,186.00,260.00,0.46,54441224
A,ta,2d,async,128,1,1,0.00,67.40,553.31,292.62,179.70,112.92,845.93,666.23,2.20,188.00,260.00,0.46,54440764
A,ta,leaf_rand_K10,pread,128,1,1,0.00,100.00,764.38,1087.23,190.45,896.78,1851.61,1661.16,2.20,189.00,261.00,0.50,54408152
A,ta,leaf_rand_K10,async,128,1,1,0.00,100.00,766.20,268.88,191.21,77.68,1035.08,843.88,2.16,189.00,261.00,0.50,54412672
A,ta,leaf_freq_K10,pread,128,1,1,0.00,100.00,751.18,1105.93,178.06,927.87,1857.11,1679.05,2.15,189.00,272.00,0.50,54415360
A,ta,leaf_freq_K10,async,128,1,1,0.00,100.00,725.63,257.00,180.35,76.65,982.63,802.28,2.15,189.00,272.00,0.50,54417192
A,ta,2e_K10,pread,128,1,1,0.00,100.00,555.48,2008.32,176.83,1831.49,2563.80,2386.97,2.20,186.00,271.00,0.50,54410288
A,ta,2e_K10,async,128,1,1,0.00,100.00,549.91,303.55,173.40,130.16,853.46,680.07,2.21,188.00,271.00,0.50,54413804
B,orig,2d,pread,128,1,1,0.00,100.00,664.73,1890.47,182.20,1708.27,2555.20,2373.00,2.22,189.00,255.00,0.50,54419188
B,orig,2d,async,128,1,1,0.00,100.00,662.99,265.26,180.60,84.66,928.25,747.65,2.25,189.00,255.00,0.50,54421568
B,orig,leaf_rand_K10,pread,128,1,1,0.00,100.00,939.05,1073.55,177.04,896.50,2012.60,1835.55,2.22,190.00,253.00,0.50,54421860
B,orig,leaf_rand_K10,async,128,1,1,0.00,100.00,840.16,254.94,176.09,78.85,1095.10,919.01,2.19,190.00,253.00,0.50,54423288
B,orig,leaf_freq_K10,pread,128,1,1,0.00,100.00,956.78,1070.58,177.68,892.90,2027.36,1849.68,2.18,190.00,253.00,0.50,54423664
B,orig,leaf_freq_K10,async,128,1,1,0.00,100.00,963.51,253.64,176.32,77.31,1217.15,1040.82,2.18,190.00,253.00,0.50,54439888
B,orig,2e_K10,pread,128,1,1,0.00,100.00,600.99,2741.38,176.33,2565.05,3342.37,3166.04,2.24,189.00,254.00,0.50,54438240
B,orig,2e_K10,async,128,1,1,0.00,100.00,632.65,275.97,176.80,99.17,908.62,731.82,2.23,189.00,255.00,0.50,54439712
B,ta,2d,pread,128,1,1,0.00,100.00,568.66,956.14,180.25,775.89,1524.80,1344.55,2.20,190.00,241.00,0.50,54439708
B,ta,2d,async,128,1,1,0.00,65.70,566.10,281.34,179.48,101.86,847.44,667.96,2.21,190.00,241.00,0.50,54436432
B,ta,leaf_rand_K10,pread,128,1,1,0.00,100.00,775.48,1073.27,178.29,894.97,1848.75,1670.45,2.24,191.00,243.00,0.54,54437128
B,ta,leaf_rand_K10,async,128,1,1,0.00,100.00,752.84,260.34,183.59,76.74,1013.18,829.58,2.25,191.00,243.00,0.54,54437792
B,ta,leaf_freq_K10,pread,128,1,1,0.00,100.00,688.70,1007.52,140.57,866.95,1696.22,1555.65,2.24,191.00,240.00,0.54,54440904
B,ta,leaf_freq_K10,async,128,1,1,0.00,100.00,682.28,211.20,132.04,79.16,893.48,761.44,2.26,191.00,240.00,0.54,54442892
B,ta,2e_K10,pread,128,1,1,0.00,100.00,500.40,1992.60,177.05,1815.54,2493.00,2315.94,2.20,190.00,239.00,0.54,54443696
B,ta,2e_K10,async,128,1,1,0.00,91.10,498.50,288.46,177.78,110.68,786.96,609.18,2.18,190.00,239.00,0.54,54444616
C,orig,2d,pread,128,1,1,0.00,100.00,558.54,532.98,175.76,357.22,1091.52,915.76,1.60,18.00,38.00,0.54,54444200
C,orig,2d,async,128,1,1,0.00,100.00,664.95,245.24,178.22,67.03,910.19,731.98,1.61,18.00,38.00,0.54,54446804
C,orig,leaf_rand_K10,pread,128,1,1,0.00,100.00,897.86,1063.91,193.46,870.45,1961.77,1768.31,1.59,18.00,36.00,0.54,54446792
C,orig,leaf_rand_K10,async,128,1,1,0.00,100.00,1022.22,269.81,194.34,75.46,1292.03,1097.68,1.60,18.00,36.00,0.54,54445612
C,orig,leaf_freq_K10,pread,128,1,1,0.00,100.00,500.77,1072.23,175.84,896.39,1573.00,1397.16,1.60,20.00,37.00,0.54,54446420
C,orig,leaf_freq_K10,async,128,1,1,0.00,100.00,571.47,251.96,178.48,73.49,823.43,644.96,1.60,20.00,37.00,0.54,54447464
C,orig,2e_K10,pread,128,1,1,0.00,100.00,174.72,1390.84,180.73,1210.11,1565.56,1384.83,1.60,20.00,39.00,0.54,54444212
C,orig,2e_K10,async,128,1,1,0.00,100.00,180.45,262.56,184.68,77.89,443.01,258.34,1.63,20.00,39.00,0.54,54445128
C,ta,2d,pread,128,1,1,0.00,100.00,532.50,883.69,92.46,791.23,1416.19,1323.73,1.62,18.00,38.00,0.54,54445540
C,ta,2d,async,128,1,1,0.00,47.90,562.62,265.35,148.45,116.90,827.97,679.52,1.62,18.00,38.00,0.54,54439592
C,ta,leaf_rand_K10,pread,128,1,1,0.00,100.00,970.55,1082.54,181.53,901.00,2053.09,1871.55,1.63,20.00,36.00,0.54,54440520
C,ta,leaf_rand_K10,async,128,1,1,0.00,100.00,962.32,254.12,177.05,77.06,1216.44,1039.38,1.60,20.00,36.00,0.66,54438792
C,ta,leaf_freq_K10,pread,128,1,1,0.00,100.00,592.25,997.63,133.21,864.42,1589.88,1456.67,1.61,21.00,39.00,0.66,54440568
