workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2d,async,8,128,567.07,568.01,556.30,3.84,100.0,258.86,173.31,85.50,826.27,652.75,0.0
A,orig,2d,pread,5,128,561.32,562.24,492.06,27.83,100.0,1881.47,172.11,1708.50,2403.69,2232.49,0.0
A,orig,2e_K10,async,8,128,566.25,567.65,564.79,0.95,100.0,271.85,174.48,97.88,837.65,663.80,0.0
A,orig,2e_K10,pread,5,128,565.46,569.64,562.57,2.52,100.0,2647.03,173.51,2475.23,3213.68,3042.11,0.0
A,orig,baseline,baseline,8,128,881.68,885.45,742.26,46.17,0.0,0.00,0.00,0.00,881.68,881.68,0.0
A,orig,leaf_freq_K10,async,8,128,876.12,960.18,865.93,41.94,100.0,251.39,174.13,77.16,1126.06,952.25,0.0
A,orig,leaf_freq_K10,pread,5,128,873.45,878.72,869.09,3.78,100.0,1096.87,174.30,922.58,1965.96,1791.67,0.0
A,orig,leaf_rand_K10,async,8,128,877.17,887.46,873.38,5.08,100.0,250.07,173.44,76.44,1128.85,955.59,0.0
A,orig,leaf_rand_K10,pread,5,128,875.95,880.96,874.14,2.97,100.0,1103.46,175.39,928.94,1980.04,1806.45,0.0
A,ta,2d,async,8,128,578.31,581.39,523.61,18.37,77.5,280.53,174.49,106.35,859.57,684.20,0.0
A,ta,2d,pread,5,128,567.01,567.88,563.06,2.06,100.0,962.26,174.27,787.59,1529.79,1354.98,0.0
A,ta,2e_K10,async,8,128,583.26,587.04,512.41,30.55,89.0,293.04,174.45,118.61,877.15,701.99,0.0
A,ta,2e_K10,pread,5,128,583.26,584.34,518.77,25.97,100.0,1992.30,172.59,1819.78,2576.22,2403.70,0.0
A,ta,baseline,baseline,8,128,800.24,823.84,787.56,11.79,0.0,0.00,0.00,0.00,800.24,800.24,0.0
A,ta,leaf_freq_K10,async,8,128,758.10,788.35,721.45,25.06,100.0,248.19,173.77,74.36,1006.23,831.37,0.0
A,ta,leaf_freq_K10,pread,5,128,783.43,792.01,756.65,12.40,100.0,1097.51,174.62,923.58,1876.81,1702.20,0.0
A,ta,leaf_rand_K10,async,8,128,762.72,794.60,758.66,14.59,100.0,248.96,174.22,74.83,1012.51,838.06,0.0
A,ta,leaf_rand_K10,pread,5,128,763.89,789.62,755.81,14.87,100.0,1074.33,173.96,901.28,1856.92,1683.06,0.0
B,orig,2d,async,8,128,609.03,657.17,537.75,45.28,100.0,257.90,173.40,84.45,866.77,693.37,0.0
B,orig,2d,pread,5,128,532.37,647.09,531.35,51.18,100.0,1871.01,172.78,1699.57,2403.38,2231.94,0.0
B,orig,2e_K10,async,8,128,570.71,640.90,530.43,35.79,100.0,273.45,173.84,99.36,845.15,670.32,0.0
B,orig,2e_K10,pread,5,128,570.55,655.07,531.10,46.53,100.0,2687.64,174.95,2511.97,3291.33,3116.38,0.0
B,orig,baseline,baseline,8,128,555.14,605.21,542.56,23.20,0.0,0.00,0.00,0.00,555.14,555.14,0.0
B,orig,leaf_freq_K10,async,8,128,539.61,566.52,497.84,25.75,100.0,249.39,174.45,74.78,789.27,614.15,0.0
B,orig,leaf_freq_K10,pread,5,128,530.86,556.33,496.38,24.70,100.0,1064.84,171.82,893.11,1595.70,1424.06,0.0
B,orig,leaf_rand_K10,async,8,128,533.55,596.66,496.39,35.23,100.0,248.76,172.73,75.76,782.19,609.78,0.0
B,orig,leaf_rand_K10,pread,5,128,537.43,561.70,497.38,22.29,100.0,1073.76,173.85,901.64,1616.39,1446.40,0.0
B,ta,2d,async,8,128,454.10,456.09,406.58,15.78,100.0,271.82,174.18,97.03,724.08,551.51,0.0
B,ta,2d,pread,5,128,487.92,490.46,406.69,32.51,100.0,788.94,174.05,613.41,1280.00,1104.47,0.0
B,ta,2e_K10,async,8,128,407.40,412.61,401.65,4.01,93.9,283.27,173.89,108.90,689.25,515.55,0.0
B,ta,2e_K10,pread,5,128,408.55,412.73,400.23,4.39,100.0,1839.52,173.72,1664.79,2252.87,2078.14,0.0
B,ta,baseline,baseline,8,128,623.48,646.33,562.61,24.51,0.0,0.00,0.00,0.00,623.48,623.48,0.0
B,ta,leaf_freq_K10,async,8,128,605.78,610.80,577.11,10.28,100.0,246.20,173.00,73.78,853.93,679.40,0.0
B,ta,leaf_freq_K10,pread,5,128,607.44,617.76,561.46,20.28,100.0,1070.86,174.08,896.79,1682.53,1506.88,0.0
