workload,db,strategy,arm,metric,n_seeds,mean_pct,median_pct,ci_lo,ci_hi,min_pct,max_pct,sign_consistency,verdict,per_seed
A,orig,2d,async,e2e_us,10,-7.74,-8.64,-12.92,-1.33,-18.5,16.72,9/10,robust,seed01=16.7;seed02=-1.1;seed03=-18.5;seed04=-16.7;seed05=-10.4;seed06=-16.6;seed07=-8.3;seed08=-6.3;seed09=-7.3;seed10=-9.0
A,orig,2d,async,e2e_warm_us,10,-26.77,-27.35,-30.95,-21.98,-36.38,-10.02,10/10,robust,seed01=-10.0;seed02=-18.8;seed03=-35.9;seed04=-31.0;seed05=-29.3;seed06=-36.4;seed07=-26.3;seed08=-26.0;seed09=-28.4;seed10=-25.7
A,orig,2d,async,first_query_us,10,-37.13,-37.32,-40.61,-33.59,-46.15,-27.64,10/10,robust,seed01=-27.6;seed02=-29.3;seed03=-45.3;seed04=-39.8;seed05=-38.7;seed06=-46.1;seed07=-36.0;seed08=-35.7;seed09=-38.7;seed10=-34.1
A,orig,2d,pread,e2e_us,10,181.88,168.63,162.09,210.58,149.45,298.57,10/10,robust,seed01=298.6;seed02=191.9;seed03=162.9;seed04=149.5;seed05=160.6;seed06=164.6;seed07=177.5;seed08=172.6;seed09=190.8;seed10=149.8
A,orig,2d,pread,e2e_warm_us,10,162.65,149.03,144.08,189.73,132.93,272.58,10/10,robust,seed01=272.6;seed02=174.1;seed03=144.5;seed04=133.8;seed05=141.6;seed06=144.8;seed07=159.3;seed08=153.2;seed09=169.8;seed10=132.9
A,orig,2d,pread,first_query_us,10,-41.3,-39.19,-47.15,-37.13,-64.07,-33.85,10/10,robust,seed01=-64.1;seed02=-34.4;seed03=-41.5;seed04=-39.8;seed05=-39.1;seed06=-46.4;seed07=-39.3;seed08=-36.3;seed09=-38.3;seed10=-33.9
A,orig,2e_K10,async,e2e_us,10,-18.6,-13.18,-33.83,-4.15,-55.41,18.27,8/10,robust,seed01=18.3;seed02=2.9;seed03=-15.1;seed04=-15.3;seed05=-50.9;seed06=-48.8;seed07=-11.2;seed08=-5.0;seed09=-5.4;seed10=-55.4
A,orig,2e_K10,async,e2e_warm_us,10,-37.81,-28.11,-52.45,-24.51,-72.35,-8.28,10/10,robust,seed01=-8.3;seed02=-18.7;seed03=-33.4;seed04=-29.6;seed05=-70.0;seed06=-68.5;seed07=-26.0;seed08=-24.7;seed09=-26.6;seed10=-72.4
A,orig,2e_K10,async,first_query_us,10,-49.68,-39.07,-63.42,-37.4,-82.05,-27.63,10/10,robust,seed01=-27.6;seed02=-31.3;seed03=-44.3;seed04=-39.5;seed05=-80.6;seed06=-79.6;seed07=-37.3;seed08=-35.8;seed09=-38.7;seed10=-82.0
A,orig,2e_K10,pread,e2e_us,10,273.25,260.86,234.34,323.2,186.05,463.41,10/10,robust,seed01=463.4;seed02=314.0;seed03=257.2;seed04=236.7;seed05=210.8;seed06=233.9;seed07=269.0;seed08=264.5;seed09=296.8;seed10=186.0
A,orig,2e_K10,pread,e2e_warm_us,10,253.94,241.88,216.36,302.11,169.32,437.04,10/10,robust,seed01=437.0;seed02=292.6;seed03=238.7;seed04=220.0;seed05=192.0;seed06=214.0;seed07=254.6;seed08=245.0;seed09=276.0;seed10=169.3
A,orig,2e_K10,pread,first_query_us,10,-53.59,-42.37,-66.2,-41.99,-82.14,-31.45,10/10,robust,seed01=-63.5;seed02=-31.5;seed03=-45.0;seed04=-39.7;seed05=-80.7;seed06=-79.7;seed07=-39.3;seed08=-35.9;seed09=-38.4;seed10=-82.1
A,orig,leaf_freq_K10,async,e2e_us,10,15.22,24.26,1.23,27.77,-24.39,40.14,7/10,robust,seed01=40.1;seed02=31.3;seed03=21.2;seed04=21.1;seed05=-16.6;seed06=-6.2;seed07=27.3;seed08=27.7;seed09=30.7;seed10=-24.4
A,orig,leaf_freq_K10,async,e2e_warm_us,10,-4.15,7.31,-17.68,7.97,-41.46,13.48,7/10,directional,seed01=13.3;seed02=13.5;seed03=2.5;seed04=6.6;seed05=-35.4;seed06=-25.9;seed07=8.0;seed08=8.0;seed09=9.4;seed10=-41.5
