workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
C,orig,baseline,baseline,128,1,1,0.00,0.00,893.21,0.00,0.00,0.00,893.21,893.21,1.63,20.00,28.00,0.99,52370452
C,orig,2d,pread,128,1,1,0.00,100.00,444.23,542.07,179.26,362.81,986.30,807.04,1.63,20.00,30.00,0.99,52354288
C,orig,2d,async,128,1,1,0.00,100.00,446.01,248.13,177.30,70.82,694.14,516.83,1.67,20.00,30.00,0.99,52331692
C,orig,leaf_rand_K10,pread,128,1,1,0.00,100.00,872.37,974.21,79.54,894.67,1846.58,1767.04,1.61,20.00,28.00,0.99,52332492
C,orig,leaf_rand_K10,async,128,1,1,0.00,100.00,861.45,256.42,179.71,76.71,1117.87,938.16,1.60,20.00,28.00,0.99,52346192
C,orig,leaf_freq_K10,pread,128,1,1,0.00,100.00,671.31,969.39,177.55,791.84,1640.70,1463.15,1.60,18.00,35.00,0.99,52347104
C,orig,leaf_freq_K10,async,128,1,1,0.00,100.00,1439.47,426.27,234.25,192.02,1865.74,1631.49,1.67,19.00,35.00,0.99,52347340
C,orig,2e_K10,pread,128,1,1,0.00,100.00,175.32,1318.33,175.47,1142.86,1493.65,1318.18,1.60,18.00,37.00,0.99,52338264
C,orig,2e_K10,async,128,1,1,0.00,100.00,183.04,256.20,177.31,78.89,439.24,261.93,1.62,19.00,37.00,0.99,52345724
C,orig,2f_top14,pread,128,1,1,0.00,100.00,184.18,1185.72,176.94,1008.77,1369.90,1192.95,1.58,18.00,35.00,0.99,52346056
C,orig,2f_top14,async,128,1,1,0.00,100.00,176.76,257.37,179.04,78.34,434.13,255.10,1.60,18.00,37.00,0.99,52345928
C,orig,2f_top28,pread,128,1,1,0.00,100.00,179.63,1254.37,175.72,1078.65,1434.00,1258.28,1.59,17.00,35.00,0.99,52348692
C,orig,2f_top28,async,128,1,1,0.00,100.00,176.56,276.89,180.71,96.18,453.45,272.74,1.61,18.00,36.00,0.99,52349528
C,orig,2f_slru,pread,128,1,1,0.00,100.00,93.28,3114.83,176.98,2937.85,3208.11,3031.13,1.57,0.00,37.00,0.99,52352376
C,orig,2f_slru,async,128,1,1,0.00,100.00,93.78,914.86,178.13,736.72,1008.64,830.50,1.56,0.00,37.00,0.99,52351228
C,orig,baseline,baseline,128,2,0,0.00,0.00,866.75,0.00,0.00,0.00,866.75,866.75,1.63,20.00,28.00,0.99,52354124
C,orig,2d,pread,128,2,0,0.00,100.00,440.61,534.97,174.34,360.63,975.58,801.24,1.62,20.00,30.00,0.99,52354108
C,orig,2d,async,128,2,0,0.00,100.00,489.18,240.97,171.12,69.85,730.15,559.03,1.60,20.00,30.00,0.99,52351132
C,orig,leaf_rand_K10,pread,128,2,0,0.00,100.00,839.83,979.03,174.05,804.98,1818.86,1644.81,1.61,20.00,28.00,0.99,52355248
C,orig,leaf_rand_K10,async,128,2,0,0.00,100.00,861.78,253.52,176.96,76.55,1115.30,938.33,1.60,20.00,28.00,0.99,52354824
C,orig,leaf_freq_K10,pread,128,2,0,0.00,100.00,666.58,919.03,171.62,747.40,1585.61,1413.98,1.60,18.00,35.00,0.99,52355180
C,orig,leaf_freq_K10,async,128,2,0,0.00,100.00,591.00,252.41,174.86,77.56,843.41,668.56,1.65,19.00,35.00,0.99,52356116
C,orig,2e_K10,pread,128,2,0,0.00,100.00,179.43,1349.45,172.84,1176.60,1528.88,1356.03,1.64,18.00,37.00,0.99,52358104
C,orig,2e_K10,async,128,2,0,0.00,100.00,177.29,250.07,171.62,78.45,427.36,255.74,1.60,19.00,37.00,1.07,52358708
C,orig,2f_top14,pread,128,2,0,0.00,100.00,179.95,1245.34,173.82,1071.52,1425.29,1251.47,1.63,18.00,35.00,1.07,52359184
C,orig,2f_top14,async,128,2,0,0.00,100.00,181.95,252.09,173.50,78.60,434.04,260.55,1.61,18.00,37.00,1.07,52360688
C,orig,2f_top28,pread,128,2,0,0.00,100.00,187.00,1246.33,173.89,1072.44,1433.33,1259.44,1.60,17.00,35.00,1.07,52363468
C,orig,2f_top28,async,128,2,0,0.00,100.00,181.30,279.65,178.26,101.39,460.95,282.69,1.59,18.00,36.00,1.07,52364208
C,orig,2f_slru,pread,128,2,0,0.00,100.00,91.75,3049.92,171.02,2878.90,3141.67,2970.65,1.54,0.00,37.00,1.07,52366596
C,orig,2f_slru,async,128,2,0,0.00,100.00,95.24,925.66,176.84,748.82,1020.90,844.06,1.57,0.00,37.00,1.07,52367944
C,orig,baseline,baseline,128,3,0,0.00,0.00,868.00,0.00,0.00,0.00,868.00,868.00,1.61,20.00,28.00,1.07,52370420
C,orig,2d,pread,128,3,0,0.00,100.00,441.95,535.72,174.39,361.33,977.67,803.28,1.64,20.00,30.00,1.07,52370716
C,orig,2d,async,128,3,0,0.00,100.00,450.58,243.30,173.34,69.96,693.88,520.54,1.61,20.00,30.00,1.07,52372708
C,orig,leaf_rand_K10,pread,128,3,0,0.00,100.00,861.71,1009.88,173.25,836.63,1871.59,1698.34,1.62,20.00,28.00,1.07,52372216
C,orig,leaf_rand_K10,async,128,3,0,0.00,100.00,844.86,257.72,179.90,77.83,1102.58,922.69,1.60,20.00,28.00,1.07,52373076
C,orig,leaf_freq_K10,pread,128,3,0,0.00,100.00,668.96,929.71,172.27,757.43,1598.67,1426.39,1.62,18.00,35.00,1.07,52369232
C,orig,leaf_freq_K10,async,128,3,0,0.00,100.00,678.83,248.85,173.91,74.94,927.68,753.77,1.61,19.00,35.00,1.07,52372172
C,orig,2e_K10,pread,128,3,0,0.00,100.00,179.72,1329.91,173.78,1156.13,1509.63,1335.85,1.62,18.00,37.00,1.07,52372764
C,orig,2e_K10,async,128,3,0,0.00,100.00,179.68,228.44,147.74,80.70,408.12,260.38,1.60,19.00,37.00,1.07,52375276
C,orig,2f_top14,pread,128,3,0,0.00,100.00,181.02,1184.46,145.62,1038.83,1365.48,1219.85,1.60,18.00,35.00,1.07,52373532
C,orig,2f_top14,async,128,3,0,0.00,100.00,858.62,346.20,185.99,160.21,1204.82,1018.83,1.64,18.00,37.00,1.07,52373588
C,orig,2f_top28,pread,128,3,0,0.00,100.00,192.07,1226.62,138.18,1088.45,1418.69,1280.52,1.63,17.00,35.00,1.07,52363988
C,orig,2f_top28,async,128,3,0,0.00,100.00,182.76,236.97,139.63,97.33,419.73,280.09,1.64,18.00,36.00,1.07,52344440
C,orig,2f_slru,pread,128,3,0,0.00,100.00,96.16,2855.61,138.02,2717.59,2951.77,2813.75,1.55,0.00,37.00,1.07,52352540
C,orig,2f_slru,async,128,3,0,0.00,100.00,94.64,875.52,139.41,736.11,970.16,830.75,1.56,0.00,37.00,1.07,52354044
C,orig,baseline,baseline,128,4,0,0.00,0.00,884.05,0.00,0.00,0.00,884.05,884.05,1.61,20.00,28.00,1.07,52356068
C,orig,2d,pread,128,4,0,0.00,100.00,441.79,499.77,140.02,359.75,941.56,801.54,1.60,20.00,30.00,1.07,52356852
C,orig,2d,async,128,4,0,0.00,100.00,470.81,207.21,139.29,67.92,678.02,538.73,1.60,20.00,30.00,1.07,52356944
C,orig,leaf_rand_K10,pread,128,4,0,0.00,100.00,858.86,974.98,139.35,835.63,1833.84,1694.49,1.62,20.00,28.00,1.07,52356884
C,orig,leaf_rand_K10,async,128,4,0,0.00,100.00,826.78,224.78,141.22,83.56,1051.56,910.34,1.60,20.00,28.00,1.07,52357644
C,orig,leaf_freq_K10,pread,128,4,0,0.00,100.00,670.85,876.52,139.04,737.48,1547.37,1408.33,1.60,18.00,35.00,1.07,52357664
C,orig,leaf_freq_K10,async,128,4,0,0.00,100.00,561.85,209.15,131.19,77.97,771.00,639.82,1.61,19.00,35.00,1.07,52353320
C,orig,2e_K10,pread,128,4,0,0.00,100.00,181.28,1259.94,142.44,1117.50,1441.22,1298.78,1.60,18.00,37.00,1.07,52355820
C,orig,2e_K10,async,128,4,0,0.00,100.00,186.16,222.74,141.97,80.77,408.90,266.93,1.61,19.00,37.00,1.07,52354292
C,orig,2f_top14,pread,128,4,0,0.00,100.00,192.79,1203.62,141.17,1062.46,1396.41,1255.25,1.63,18.00,35.00,1.07,52356360
C,orig,2f_top14,async,128,4,0,0.00,100.00,226.82,216.77,138.79,77.98,443.59,304.80,1.63,18.00,37.00,1.07,52356340
C,orig,2f_top28,pread,128,4,0,0.00,100.00,182.30,1199.69,142.80,1056.90,1381.99,1239.20,1.60,17.00,35.00,1.07,52356504
C,orig,2f_top28,async,128,4,0,0.00,100.00,183.31,235.42,139.97,95.45,418.73,278.76,1.61,18.00,36.00,1.07,52354328
C,orig,2f_slru,pread,128,4,0,0.00,100.00,257.42,4092.37,143.47,3948.90,4349.79,4206.32,1.57,0.00,37.00,1.07,52353816
C,orig,2f_slru,async,128,4,0,0.00,100.00,92.91,880.82,141.29,739.53,973.73,832.44,1.54,0.00,37.00,1.14,52346960
C,orig,baseline,baseline,128,5,0,0.00,0.00,715.68,0.00,0.00,0.00,715.68,715.68,1.58,20.00,28.00,1.14,52346388
C,orig,2d,pread,128,5,0,0.00,100.00,440.72,503.08,142.41,360.68,943.80,801.40,1.62,20.00,30.00,1.14,52347092
C,orig,2d,async,128,5,0,0.00,100.00,475.79,216.85,142.58,74.27,692.64,550.06,1.63,20.00,30.00,1.14,52347564
C,orig,leaf_rand_K10,pread,128,5,0,0.00,100.00,789.30,945.34,138.85,806.49,1734.64,1595.79,1.63,20.00,28.00,1.14,52350012
C,orig,leaf_rand_K10,async,128,5,0,0.00,100.00,830.37,215.76,140.31,75.45,1046.13,905.82,1.61,20.00,28.00,1.14,52350328
C,orig,leaf_freq_K10,pread,128,5,0,0.00,100.00,673.39,909.04,142.33,766.71,1582.43,1440.10,1.65,18.00,35.00,1.14,52350968
C,orig,leaf_freq_K10,async,128,5,0,0.00,100.00,681.64,212.45,138.83,73.62,894.09,755.26,1.66,19.00,35.00,1.14,52331240
C,orig,2e_K10,pread,128,5,0,0.00,100.00,183.44,1367.89,146.64,1221.25,1551.33,1404.69,1.63,18.00,37.00,1.14,52296732
C,orig,2e_K10,async,128,5,0,0.00,100.00,181.02,218.86,139.59,79.27,399.88,260.29,1.62,19.00,37.00,1.14,52301052
C,orig,2f_top14,pread,128,5,0,0.00,100.00,189.86,1328.79,195.39,1133.40,1518.65,1323.26,1.61,18.00,35.00,1.14,52300880
C,orig,2f_top14,async,128,5,0,0.00,100.00,179.65,220.69,142.19,78.50,400.34,258.15,1.60,18.00,37.00,1.14,52303100
C,orig,2f_top28,pread,128,5,0,0.00,100.00,182.44,1112.53,139.78,972.75,1294.97,1155.19,1.62,17.00,35.00,1.14,52300448
C,orig,2f_top28,async,128,5,0,0.00,100.00,184.58,237.27,140.22,97.04,421.85,281.62,1.63,18.00,36.00,1.14,52316612
C,orig,2f_slru,pread,128,5,0,0.00,100.00,96.62,2896.02,148.06,2747.96,2992.64,2844.58,1.56,0.00,37.00,1.14,52316452
C,orig,2f_slru,async,128,5,0,0.00,100.00,92.76,905.88,139.44,766.44,998.64,859.20,1.54,0.00,37.00,1.14,52322784
C,orig,baseline,baseline,128,6,0,0.00,0.00,766.07,0.00,0.00,0.00,766.07,766.07,1.65,20.00,28.00,1.14,52321176
C,orig,2d,pread,128,6,0,0.00,100.00,469.81,496.76,140.90,355.87,966.57,825.68,1.63,20.00,30.00,1.14,52322564
C,orig,2d,async,128,6,0,0.00,100.00,447.83,210.19,140.69,69.49,658.02,517.32,1.61,20.00,30.00,1.13,52321840
C,orig,leaf_rand_K10,pread,128,6,0,0.00,100.00,1892.45,980.01,141.33,838.69,2872.46,2731.14,1.64,20.00,28.00,1.13,52322308
C,orig,leaf_rand_K10,async,128,6,0,0.00,100.00,880.25,220.16,142.86,77.31,1100.41,957.56,1.63,20.00,28.00,1.13,52316408
C,orig,leaf_freq_K10,pread,128,6,0,0.00,100.00,563.60,3464.01,79.78,3384.23,4027.61,3947.83,1.62,18.00,35.00,1.13,52321568
C,orig,leaf_freq_K10,async,128,6,0,0.00,100.00,618.23,216.43,141.07,75.35,834.66,693.58,1.65,19.00,35.00,1.13,52321832
C,orig,2e_K10,pread,128,6,0,0.00,100.00,179.56,1307.66,142.84,1164.82,1487.22,1344.38,1.62,18.00,37.00,1.13,52321856
C,orig,2e_K10,async,128,6,0,0.00,100.00,185.18,222.95,143.47,79.48,408.13,264.66,1.60,19.00,37.00,1.13,52325592
C,orig,2f_top14,pread,128,6,0,0.00,100.00,181.31,1152.26,143.03,1009.23,1333.57,1190.54,1.60,18.00,35.00,1.13,52326800
C,orig,2f_top14,async,128,6,0,0.00,100.00,185.91,218.63,140.05,78.58,404.54,264.49,1.62,18.00,37.00,1.13,52330056
C,orig,2f_top28,pread,128,6,0,0.00,100.00,178.65,1195.01,141.03,1053.97,1373.66,1232.62,1.60,17.00,35.00,1.13,52329584
C,orig,2f_top28,async,128,6,0,0.00,100.00,180.59,239.50,140.17,99.33,420.09,279.92,1.60,18.00,36.00,1.13,52334476
C,orig,2f_slru,pread,128,6,0,0.00,100.00,97.86,2947.75,143.63,2804.12,3045.61,2901.98,1.54,0.00,37.00,1.13,52335652
C,orig,2f_slru,async,128,6,0,0.00,100.00,95.08,912.55,141.16,771.40,1007.63,866.48,1.57,0.00,37.00,1.13,52335104
C,orig,baseline,baseline,128,7,0,0.00,0.00,1612.04,0.00,0.00,0.00,1612.04,1612.04,1.61,20.00,28.00,1.13,52336296
C,orig,2d,pread,128,7,0,0.00,100.00,473.11,497.19,137.01,360.19,970.30,833.30,1.62,20.00,30.00,1.13,52337804
C,orig,2d,async,128,7,0,0.00,100.00,445.49,215.62,144.68,70.93,661.11,516.42,1.60,20.00,30.00,1.13,52338716
C,orig,leaf_rand_K10,pread,128,7,0,0.00,100.00,860.14,979.86,139.79,840.07,1840.00,1700.21,1.62,20.00,28.00,1.13,52337084
C,orig,leaf_rand_K10,async,128,7,0,0.00,100.00,1039.73,219.95,138.30,81.65,1259.68,1121.38,1.62,20.00,28.00,1.13,52329404
C,orig,leaf_freq_K10,pread,128,7,0,0.00,100.00,569.50,845.88,143.13,702.75,1415.38,1272.25,1.62,18.00,35.00,1.12,52329484
C,orig,leaf_freq_K10,async,128,7,0,0.00,100.00,687.79,214.35,139.72,74.63,902.14,762.42,1.62,19.00,35.00,1.12,52333772
C,orig,2e_K10,pread,128,7,0,0.00,100.00,180.14,1291.20,140.27,1150.92,1471.34,1331.06,1.60,18.00,37.00,1.12,52333620
C,orig,2e_K10,async,128,7,0,0.00,100.00,191.55,225.93,143.77,82.16,417.48,273.71,1.60,19.00,37.00,1.12,52337012
C,orig,2f_top14,pread,128,7,0,0.00,100.00,180.39,1237.10,144.19,1092.90,1417.49,1273.29,1.60,18.00,35.00,1.12,52337676
C,orig,2f_top14,async,128,7,0,0.00,100.00,184.91,257.50,173.31,84.20,442.41,269.11,1.61,18.00,37.00,1.12,52337188
C,orig,2f_top28,pread,128,7,0,0.00,100.00,181.83,1157.71,143.36,1014.35,1339.54,1196.18,1.62,17.00,35.00,1.12,52337336
C,orig,2f_top28,async,128,7,0,0.00,100.00,192.87,1285.90,748.22,537.68,1478.77,730.55,1.65,18.00,36.00,1.12,52334092
C,orig,2f_slru,pread,128,7,0,0.00,100.00,94.43,2932.68,148.53,2784.15,3027.11,2878.58,1.55,0.00,37.00,1.12,52337132
C,orig,2f_slru,async,128,7,0,0.00,100.00,100.35,875.67,139.04,736.62,976.02,836.97,1.55,0.00,37.00,1.12,52337720
C,orig,baseline,baseline,128,8,0,0.00,0.00,905.50,0.00,0.00,0.00,905.50,905.50,1.60,20.00,28.00,1.12,52340720
C,orig,2d,pread,128,8,0,0.00,100.00,440.28,496.79,139.69,357.10,937.07,797.38,1.61,20.00,30.00,1.12,52340336
C,orig,2d,async,128,8,0,0.00,100.00,444.04,212.72,143.01,69.71,656.76,513.75,1.60,20.00,30.00,1.12,52336336
C,orig,leaf_rand_K10,pread,128,8,0,0.00,100.00,832.27,980.16,142.00,838.16,1812.43,1670.43,1.62,20.00,28.00,1.12,52337716
C,orig,leaf_rand_K10,async,128,8,0,0.00,100.00,769.18,213.68,138.86,74.82,982.86,844.00,1.61,20.00,28.00,1.12,52339280
C,orig,leaf_freq_K10,pread,128,8,0,0.00,100.00,673.48,837.98,136.26,701.72,1511.46,1375.20,1.61,18.00,35.00,1.12,52339492
C,orig,leaf_freq_K10,async,128,8,0,0.00,100.00,682.59,217.12,140.72,76.39,899.71,758.98,1.62,19.00,35.00,1.12,52338104
C,orig,2e_K10,pread,128,8,0,0.00,100.00,180.45,1362.56,140.30,1222.26,1543.01,1402.71,1.60,18.00,37.00,1.12,52340796
C,orig,2e_K10,async,128,8,0,0.00,100.00,187.23,221.03,140.68,80.34,408.26,267.57,1.60,19.00,37.00,1.11,52341440
C,orig,2f_top14,pread,128,8,0,0.00,100.00,181.78,1191.27,141.52,1049.75,1373.05,1231.53,1.60,18.00,35.00,1.11,52344012
C,orig,2f_top14,async,128,8,0,0.00,100.00,185.67,222.05,140.78,81.26,407.72,266.93,1.60,18.00,37.00,1.11,52342168
C,orig,2f_top28,pread,128,8,0,0.00,100.00,187.97,1187.36,140.87,1046.49,1375.33,1234.46,1.60,17.00,35.00,1.11,52334880
C,orig,2f_top28,async,128,8,0,0.00,100.00,178.22,238.31,140.28,98.02,416.53,276.24,1.61,18.00,36.00,1.11,52335364
C,orig,2f_slru,pread,128,8,0,0.00,100.00,94.48,3733.07,140.21,3592.86,3827.55,3687.34,1.55,0.00,37.00,1.11,52336452
C,orig,2f_slru,async,128,8,0,0.00,100.00,94.78,877.96,143.54,734.42,972.74,829.20,1.56,0.00,37.00,1.11,52336048
C,orig,baseline,baseline,128,9,0,0.00,0.00,753.69,0.00,0.00,0.00,753.69,753.69,1.61,20.00,28.00,1.11,52335704
C,orig,2d,pread,128,9,0,0.00,100.00,445.16,481.96,137.95,344.02,927.12,789.18,1.60,20.00,30.00,1.11,52336616
C,orig,2d,async,128,9,0,0.00,100.00,471.06,209.08,139.80,69.28,680.14,540.34,1.59,20.00,30.00,1.11,52336700
C,orig,leaf_rand_K10,pread,128,9,0,0.00,100.00,829.08,972.44,138.22,834.22,1801.52,1663.30,1.61,20.00,28.00,1.11,52337580
C,orig,leaf_rand_K10,async,128,9,0,0.00,100.00,869.61,218.86,143.66,75.20,1088.47,944.81,1.60,20.00,28.00,1.11,52337608
C,orig,leaf_freq_K10,pread,128,9,0,0.00,100.00,670.04,962.09,140.84,821.24,1632.13,1491.28,1.65,18.00,35.00,1.11,52334064
C,orig,leaf_freq_K10,async,128,9,0,0.00,100.00,677.44,209.96,137.42,72.55,887.40,749.99,1.61,19.00,35.00,1.11,52335256
C,orig,2e_K10,pread,128,9,0,0.00,100.00,182.51,1251.64,144.16,1107.48,1434.15,1289.99,1.60,18.00,37.00,1.11,52336968
C,orig,2e_K10,async,128,9,0,0.00,100.00,182.14,220.78,140.09,80.69,402.92,262.83,1.62,19.00,37.00,1.11,52336444
C,orig,2f_top14,pread,128,9,0,0.00,100.00,188.90,1186.96,141.68,1045.28,1375.86,1234.18,1.63,18.00,35.00,1.11,52337180
C,orig,2f_top14,async,128,9,0,0.00,100.00,182.58,230.18,147.05,83.14,412.76,265.72,1.74,18.00,37.00,1.11,52338228
C,orig,2f_top28,pread,128,9,0,0.00,100.00,181.79,1224.47,142.64,1081.83,1406.26,1263.62,1.61,17.00,35.00,1.10,52339836
C,orig,2f_top28,async,128,9,0,0.00,100.00,177.21,236.15,140.68,95.48,413.36,272.69,1.61,18.00,36.00,1.10,52340044
C,orig,2f_slru,pread,128,9,0,0.00,100.00,92.81,2858.51,141.80,2716.72,2951.32,2809.53,1.54,0.00,37.00,1.10,52342588
C,orig,2f_slru,async,128,9,0,0.00,100.00,107.97,896.87,141.34,755.53,1004.84,863.50,1.57,0.00,37.00,1.10,52343040
C,orig,baseline,baseline,128,10,0,0.00,0.00,792.12,0.00,0.00,0.00,792.12,792.12,1.60,20.00,28.00,1.10,52342860
C,orig,2d,pread,128,10,0,0.00,100.00,376.49,512.97,149.42,363.55,889.46,740.04,1.60,20.00,30.00,1.10,52342956
