workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
C,orig,2d,async,10,128,637.40,669.28,533.09,44.90,100.0,209.71,140.75,68.91,850.00,707.05,0.0
C,orig,2d,pread,10,128,633.29,647.69,623.41,8.52,100.0,483.90,139.69,345.11,1117.30,978.09,0.0
C,orig,2e_K10,async,10,128,630.99,1160.49,507.69,286.53,100.0,221.03,140.46,80.42,851.66,712.38,0.0
C,orig,2e_K10,pread,10,128,635.38,6160.81,591.51,3007.13,100.0,1293.03,140.64,1153.84,1935.12,1795.83,0.0
C,orig,2f_slru,async,10,128,99.80,122.33,95.13,11.70,100.0,929.30,139.77,788.81,1030.32,889.46,0.0
C,orig,2f_slru,pread,10,128,94.77,110.04,93.23,6.30,100.0,2870.74,141.97,2729.07,2964.09,2822.41,0.0
C,orig,2f_top14,async,10,128,637.43,658.89,510.59,47.55,100.0,221.32,140.78,80.31,854.47,718.58,0.0
C,orig,2f_top14,pread,10,128,628.25,649.89,534.13,35.19,100.0,1167.91,140.62,1026.66,1795.20,1654.93,0.0
C,orig,2f_top28,async,10,128,627.54,1057.43,519.27,244.84,100.0,238.34,141.38,96.95,867.58,726.51,0.0
C,orig,2f_top28,pread,10,128,611.53,640.80,569.76,20.97,100.0,1170.05,141.06,1026.86,1785.26,1644.03,0.0
C,orig,baseline,baseline,10,128,1053.09,1593.35,948.93,292.48,0.0,0.00,0.00,0.00,1053.09,1053.09,0.0
C,orig,leaf_freq_K10,async,10,128,1120.36,1170.36,1026.10,57.98,100.0,217.18,141.22,75.31,1334.80,1194.99,0.0
C,orig,leaf_freq_K10,pread,10,128,1133.76,1196.75,1037.70,47.42,100.0,888.11,143.52,739.36,2013.81,1872.26,0.0
C,orig,leaf_rand_K10,async,10,128,1027.26,1044.36,926.51,36.48,100.0,218.81,141.23,76.59,1242.17,1103.50,0.0
C,orig,leaf_rand_K10,pread,10,128,1054.49,1616.67,893.71,295.03,100.0,993.66,141.36,853.60,2035.28,1894.47,0.0
