workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,500.28,0.00,0.00,0.00,500.28,500.28,2.20,180.00,270.00,0.94,54432228
A,ta,baseline,baseline,128,1,1,0.00,0.00,676.31,0.00,0.00,0.00,676.31,676.31,2.12,177.00,277.00,0.95,54432076
A,orig,leaf_rand_K500,pread,128,1,1,0.00,100.00,486.92,44374.03,141.82,44232.22,44860.95,44719.14,2.10,178.00,288.00,0.95,54432908
A,orig,leaf_rand_K500,async,128,1,1,0.00,100.00,485.80,1000.34,146.17,854.17,1486.14,1339.97,2.15,178.00,286.00,0.95,54432584
A,orig,leaf_freq_K500,pread,128,1,1,0.00,100.00,503.82,20889.11,146.59,20742.51,21392.93,21246.33,2.07,175.00,425.00,0.95,54433156
A,orig,leaf_freq_K500,async,128,1,1,0.00,100.00,547.18,963.38,140.24,823.14,1510.56,1370.32,2.08,181.00,403.00,0.95,54434252
A,orig,2e_K500,pread,128,1,1,0.00,100.00,180.49,20877.72,145.00,20732.71,21058.21,20913.20,2.06,168.00,427.00,0.95,54433568
A,orig,2e_K500,async,128,1,1,0.00,100.00,180.06,978.93,145.28,833.65,1158.99,1013.71,2.08,179.00,415.00,0.95,54434140
A,ta,leaf_rand_K500,pread,128,1,1,0.00,100.00,685.51,44551.37,149.24,44402.13,45236.88,45087.64,2.15,178.00,282.00,0.95,54424920
A,ta,leaf_rand_K500,async,128,1,1,0.00,100.00,688.90,1006.49,140.14,866.35,1695.39,1555.25,2.12,178.00,280.00,0.95,54427716
A,ta,leaf_freq_K500,pread,128,1,1,0.00,100.00,447.42,21344.83,145.36,21199.47,21792.25,21646.89,2.09,173.00,422.00,0.95,54428196
A,ta,leaf_freq_K500,async,128,1,1,0.00,100.00,388.94,978.56,149.53,829.03,1367.50,1217.97,2.09,179.00,399.00,0.95,54429416
A,ta,2e_K500,pread,128,1,1,0.00,100.00,178.25,16860.95,180.27,16680.68,17039.20,16858.93,2.06,170.00,412.00,0.95,54425484
A,ta,2e_K500,async,128,1,1,0.00,21.40,199.12,910.01,178.09,731.91,1109.13,931.03,2.09,178.00,397.00,0.95,54425796
A,orig,baseline,baseline,128,2,0,0.00,0.00,436.90,0.00,0.00,0.00,436.90,436.90,2.08,180.00,270.00,0.95,54428236
A,ta,baseline,baseline,128,2,0,0.00,0.00,694.20,0.00,0.00,0.00,694.20,694.20,2.11,177.00,276.00,0.95,54429708
A,orig,leaf_rand_K500,pread,128,2,0,0.00,100.00,484.10,44466.24,175.41,44290.83,44950.34,44774.93,2.13,178.00,289.00,0.95,54429616
A,orig,leaf_rand_K500,async,128,2,0,0.00,100.00,489.38,1026.66,175.29,851.37,1516.04,1340.75,2.10,178.00,285.00,0.95,54430808
A,orig,leaf_freq_K500,pread,128,2,0,0.00,100.00,469.35,21116.68,174.76,20941.92,21586.03,21411.27,2.09,175.00,420.00,0.95,54431900
A,orig,leaf_freq_K500,async,128,2,0,0.00,100.00,548.02,998.96,176.23,822.73,1546.98,1370.75,2.11,181.00,402.00,0.95,54431468
A,orig,2e_K500,pread,128,2,0,0.00,100.00,180.59,20735.32,175.48,20559.84,20915.91,20740.43,2.03,168.00,429.00,0.95,54432476
A,orig,2e_K500,async,128,2,0,0.00,100.00,179.58,1018.77,174.75,844.03,1198.35,1023.61,2.06,179.00,414.00,0.95,54433092
A,ta,leaf_rand_K500,pread,128,2,0,0.00,100.00,687.27,44646.72,173.60,44473.12,45333.99,45160.39,2.13,178.00,282.00,0.95,54433308
A,ta,leaf_rand_K500,async,128,2,0,0.00,100.00,687.37,1102.60,176.58,926.02,1789.97,1613.39,2.14,178.00,280.00,0.95,54433932
A,ta,leaf_freq_K500,pread,128,2,0,0.00,100.00,450.72,20915.65,174.83,20740.82,21366.37,21191.54,2.05,173.00,420.00,0.95,54434032
A,ta,leaf_freq_K500,async,128,2,0,0.00,100.00,356.07,989.07,175.37,813.70,1345.14,1169.77,2.12,179.00,399.00,0.95,54433724
A,ta,2e_K500,pread,128,2,0,0.00,100.00,180.21,24619.47,175.78,24443.69,24799.68,24623.90,2.04,170.00,415.00,0.95,54436008
A,ta,2e_K500,async,128,2,0,0.00,45.90,174.78,950.00,170.69,779.30,1124.78,954.08,2.10,178.00,394.00,0.95,54445484
A,orig,baseline,baseline,128,3,0,0.00,0.00,511.39,0.00,0.00,0.00,511.39,511.39,2.12,180.00,270.00,0.95,54445252
A,ta,baseline,baseline,128,3,0,0.00,0.00,704.85,0.00,0.00,0.00,704.85,704.85,2.11,177.00,277.00,0.95,54445768
A,orig,leaf_rand_K500,pread,128,3,0,0.00,100.00,488.79,44409.49,174.70,44234.79,44898.28,44723.58,2.11,178.00,289.00,0.95,54445624
A,orig,leaf_rand_K500,async,128,3,0,0.00,100.00,481.09,1017.13,173.95,843.18,1498.22,1324.27,2.09,178.00,286.00,0.95,54445020
A,orig,leaf_freq_K500,pread,128,3,0,0.00,100.00,776.95,21344.29,179.19,21165.11,22121.24,21942.06,2.07,175.00,420.00,0.95,54438488
A,orig,leaf_freq_K500,async,128,3,0,0.00,100.00,479.24,968.12,174.04,794.08,1447.36,1273.32,2.07,181.00,404.00,0.95,54441208
A,orig,2e_K500,pread,128,3,0,0.00,100.00,179.27,22560.53,174.42,22386.11,22739.80,22565.38,2.03,168.00,427.00,0.95,54445976
A,orig,2e_K500,async,128,3,0,0.00,100.00,183.66,1014.90,175.44,839.46,1198.56,1023.12,2.08,179.00,415.00,0.95,54449532
A,ta,leaf_rand_K500,pread,128,3,0,0.00,100.00,685.75,44628.89,198.49,44430.40,45314.64,45116.15,2.12,178.00,282.00,0.95,54451284
A,ta,leaf_rand_K500,async,128,3,0,0.00,100.00,681.59,1031.79,172.76,859.02,1713.38,1540.61,2.11,178.00,280.00,0.95,54450136
A,ta,leaf_freq_K500,pread,128,3,0,0.00,100.00,433.06,21408.60,217.03,21191.58,21841.66,21624.64,2.06,173.00,422.00,0.95,54451044
A,ta,leaf_freq_K500,async,128,3,0,0.00,100.00,384.59,1003.66,176.15,827.51,1388.25,1212.10,2.07,179.00,397.00,0.95,54450484
A,ta,2e_K500,pread,128,3,0,0.00,100.00,180.46,18419.20,174.35,18244.85,18599.66,18425.31,2.04,170.00,416.00,0.95,54451492
A,ta,2e_K500,async,128,3,0,0.00,28.20,184.29,891.97,176.34,715.62,1076.26,899.91,2.10,178.00,397.00,0.95,54451256
A,orig,baseline,baseline,128,4,0,0.00,0.00,505.05,0.00,0.00,0.00,505.05,505.05,2.09,180.00,270.00,0.95,54453816
