workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2e_K500,async,8,128,181.04,191.70,178.88,4.96,100.0,972.41,129.13,843.27,1152.10,1022.96,0.0
A,orig,2e_K500,pread,5,128,180.72,184.29,176.16,2.99,100.0,19067.15,128.93,18937.31,19243.31,19113.47,0.0
A,orig,baseline,baseline,8,128,806.63,830.66,801.97,11.06,0.0,0.00,0.00,0.00,806.63,806.63,0.0
A,orig,leaf_freq_K500,async,8,128,553.25,612.36,443.41,49.83,24.4,804.93,129.33,676.45,1384.44,1255.34,0.0
A,orig,leaf_freq_K500,pread,5,128,467.38,530.21,459.75,30.61,100.0,19462.44,128.32,19330.15,19929.82,19797.53,0.0
A,orig,leaf_rand_K500,async,8,128,819.38,920.66,802.95,45.40,100.0,989.10,129.68,858.03,1806.62,1676.95,0.0
A,orig,leaf_rand_K500,pread,5,128,865.05,922.53,822.92,41.20,100.0,44129.78,131.76,43995.89,45005.60,44873.84,0.0
A,ta,2e_K500,async,8,128,191.19,209.42,185.21,8.66,16.4,863.13,128.81,734.64,1058.84,930.69,0.0
A,ta,2e_K500,pread,5,128,180.34,181.67,178.87,1.10,100.0,16945.30,129.28,16816.02,17126.70,16997.42,0.0
A,ta,baseline,baseline,8,128,616.83,663.11,582.39,26.93,0.0,0.00,0.00,0.00,616.83,616.83,0.0
A,ta,leaf_freq_K500,async,8,128,421.69,809.25,354.93,182.62,94.8,926.69,129.94,798.21,1310.83,1182.35,0.0
A,ta,leaf_freq_K500,pread,5,128,448.10,537.34,385.94,56.95,100.0,19153.15,129.54,19024.75,19656.89,19524.88,0.0
A,ta,leaf_rand_K500,async,8,128,631.77,672.95,624.29,20.85,100.0,1022.85,128.67,894.17,1655.89,1526.30,0.0
A,ta,leaf_rand_K500,pread,5,128,626.79,677.76,625.83,24.43,100.0,44382.40,128.75,44253.71,45034.66,44906.13,0.0
