workload,db,strategy,arm,metric,n_seeds,mean_pct,median_pct,ci_lo,ci_hi,min_pct,max_pct,sign_consistency,verdict,per_seed
A,orig,2e_K500,async,e2e_us,10,98.73,71.07,50.44,168.68,13.03,388.78,10/10,robust,seed01=135.1;seed02=79.0;seed03=72.5;seed04=67.7;seed05=21.2;seed06=388.8;seed07=97.5;seed08=69.6;seed09=42.8;seed10=13.0
A,orig,2e_K500,async,e2e_warm_us,10,80.78,55.44,33.87,150.61,-0.82,372.27,9/10,robust,seed01=100.5;seed02=63.2;seed03=57.0;seed04=50.2;seed05=3.6;seed06=372.3;seed07=81.2;seed08=53.9;seed09=26.8;seed10=-0.8
A,orig,2e_K500,async,first_query_us,10,-16.56,-36.92,-62.35,57.83,-82.19,297.74,9/10,directional,seed01=-64.5;seed02=-31.5;seed03=-37.6;seed04=-35.6;seed05=-81.4;seed06=297.7;seed07=-16.9;seed08=-36.3;seed09=-77.6;seed10=-82.2
A,orig,2e_K500,pread,e2e_us,10,2464.34,2270.04,2118.44,2900.99,1828.8,4054.14,10/10,robust,seed01=4054.1;seed02=3175.9;seed03=2037.5;seed04=1910.5;seed05=2312.8;seed06=2150.7;seed07=2632.9;seed08=2254.4;seed09=2285.6;seed10=1828.8
A,orig,2e_K500,pread,e2e_warm_us,10,2446.39,2254.25,2102.27,2879.91,1815.18,4019.87,10/10,robust,seed01=4019.9;seed02=3160.0;seed03=2022.1;seed04=1892.9;seed05=2295.2;seed06=2133.2;seed07=2616.8;seed08=2238.9;seed09=2269.5;seed10=1815.2
A,orig,2e_K500,pread,first_query_us,10,-62.66,-70.99,-74.22,-50.44,-82.27,-35.73,10/10,robust,seed01=-64.4;seed02=-42.1;seed03=-42.6;seed04=-81.4;seed05=-81.3;seed06=-79.9;seed07=-35.7;seed08=-39.4;seed09=-77.6;seed10=-82.3
A,orig,leaf_freq_K500,async,e2e_us,10,132.35,99.4,78.11,209.54,32.41,448.31,10/10,robust,seed01=202.5;seed02=110.5;seed03=86.0;seed04=92.7;seed05=64.4;seed06=448.3;seed07=109.0;seed08=106.2;seed09=71.6;seed10=32.4
A,orig,leaf_freq_K500,async,e2e_warm_us,10,114.39,82.82,61.91,190.96,18.84,431.3,10/10,robust,seed01=167.7;seed02=94.7;seed03=70.6;seed04=75.2;seed05=46.8;seed06=431.3;seed07=92.6;seed08=90.4;seed09=55.6;seed10=18.8
A,orig,leaf_freq_K500,async,first_query_us,10,20.61,-7.29,-26.47,97.99,-60.07,354.13,7/10,directional,seed01=8.3;seed02=2.2;seed03=-13.8;seed04=-7.9;seed05=-37.3;seed06=354.1;seed07=-6.7;seed08=-1.3;seed09=-31.4;seed10=-60.1
A,orig,leaf_freq_K500,pread,e2e_us,10,2478.86,2255.96,2088.21,2946.09,1725.41,4158.27,10/10,robust,seed01=4158.3;seed02=3113.1;seed03=2001.7;seed04=1725.4;seed05=2291.3;seed06=2173.4;seed07=2965.8;seed08=2220.6;seed09=2370.8;seed10=1768.4
A,orig,leaf_freq_K500,pread,e2e_warm_us,10,2461.11,2240.73,2072.24,2924.56,1707.89,4123.8,10/10,robust,seed01=4123.8;seed02=3097.3;seed03=1986.1;seed04=1707.9;seed05=2277.0;seed06=2156.0;seed07=2949.4;seed08=2204.5;seed09=2354.4;seed10=1754.8
A,orig,leaf_freq_K500,pread,first_query_us,10,-29.51,-36.96,-46.7,-11.88,-80.56,14.81,8/10,robust,seed01=-2.2;seed02=1.8;seed03=-9.9;seed04=-80.6;seed05=-40.0;seed06=-47.4;seed07=14.8;seed08=-33.9;seed09=-42.1;seed10=-55.6
A,orig,leaf_rand_K500,async,e2e_us,10,116.82,106.39,103.13,137.24,96.36,198.76,10/10,robust,seed01=198.8;seed02=96.6;seed03=100.5;seed04=102.9;seed05=102.8;seed06=111.3;seed07=125.0;seed08=109.9;seed09=124.0;seed10=96.4
A,orig,leaf_rand_K500,async,e2e_warm_us,10,98.92,89.84,87.2,115.58,80.75,164.2,10/10,robust,seed01=164.2;seed02=80.8;seed03=85.4;seed04=85.4;seed05=85.7;seed06=94.0;seed07=108.5;seed08=94.5;seed09=107.9;seed10=82.9
A,orig,leaf_rand_K500,async,first_query_us,10,-3.29,-2.08,-7.45,0.72,-17.08,8.74,8/10,directional,seed01=-4.1;seed02=-17.1;seed03=-10.6;seed04=-2.2;seed05=-3.7;seed06=-2.0;seed07=8.7;seed08=-1.9;seed09=1.6;seed10=-1.7
A,orig,leaf_rand_K500,pread,e2e_us,10,5259.38,4978.2,4706.56,6113.6,4330.12,8757.43,10/10,robust,seed01=8757.4;seed02=4930.7;seed03=4964.3;seed04=4470.1;seed05=4474.6;seed06=5056.0;seed07=5138.9;seed08=4992.1;seed09=5479.5;seed10=4330.1
A,orig,leaf_rand_K500,pread,e2e_warm_us,10,5241.35,4962.56,4690.49,6092.26,4316.51,8723.39,10/10,robust,seed01=8723.4;seed02=4914.7;seed03=4948.5;seed04=4452.6;seed05=4456.9;seed06=5038.6;seed07=5122.5;seed08=4976.6;seed09=5463.1;seed10=4316.5
A,orig,leaf_rand_K500,pread,first_query_us,10,-3.08,-2.13,-9.16,3.09,-20.93,15.42,8/10,directional,seed01=-3.9;seed02=-20.9;seed03=-15.9;seed04=-1.9;seed05=-5.3;seed06=-2.2;seed07=15.4;seed08=-2.1;seed09=7.2;seed10=-1.3
A,ta,2e_K500,async,e2e_us,10,57.95,59.52,37.79,77.75,3.63,111.25,10/10,robust,seed01=55.7;seed02=93.0;seed03=111.2;seed04=33.6;seed05=52.3;seed06=3.6;seed07=63.3;seed08=82.9;seed09=71.7;seed10=12.1
A,ta,2e_K500,async,e2e_warm_us,10,38.81,38.07,20.13,57.49,-10.99,87.6,8/10,robust,seed01=30.8;seed02=74.0;seed03=87.6;seed04=18.5;seed05=29.1;seed06=-11.0;seed07=45.3;seed08=65.5;seed09=50.9;seed10=-2.6
A,ta,2e_K500,async,first_query_us,10,-50.76,-56.36,-66.03,-34.66,-79.85,-10.75,10/10,robust,seed01=-72.8;seed02=-23.2;seed03=-10.7;seed04=-43.7;seed05=-74.2;seed06=-79.9;seed07=-28.3;seed08=-27.2;seed09=-69.0;seed10=-78.5
A,ta,2e_K500,pread,e2e_us,10,2098.12,2200.72,1849.95,2337.98,1533.07,2676.59,10/10,robust,seed01=2549.7;seed02=2374.2;seed03=2270.2;seed04=1533.1;seed05=2392.1;seed06=1594.8;seed07=1677.3;seed08=2131.2;seed09=2676.6;seed10=1782.1
A,ta,2e_K500,pread,e2e_warm_us,10,2079.42,2180.69,1833.96,2316.79,1518.18,2655.63,10/10,robust,seed01=2524.8;seed02=2355.4;seed03=2246.6;seed04=1518.2;seed05=2368.0;seed06=1580.2;seed07=1663.2;seed08=2114.8;seed09=2655.6;seed10=1767.4
A,ta,2e_K500,pread,first_query_us,10,-61.81,-72.53,-73.05,-49.36,-83.13,-27.66,10/10,robust,seed01=-74.3;seed02=-27.7;seed03=-75.6;seed04=-49.9;seed05=-75.1;seed06=-83.1;seed07=-45.0;seed08=-35.5;seed09=-70.8;seed10=-81.2
