workload,layout,checkpoint,strategy,first_query_us
YD,orig,0,baseline,570.68
YD,orig,0,2e_K10_static,102.01
YD,orig,0,layers_92_static,264.92
YD,orig,1,baseline,556.19
YD,orig,1,2e_K10_static,463.37
YD,orig,1,layers_92_static,264.02
YD,orig,2,baseline,617.54
YD,orig,2,2e_K10_static,441.80
YD,orig,2,layers_92_static,300.28
YD,orig,3,baseline,664.44
YD,orig,3,2e_K10_static,138.37
YD,orig,3,layers_92_static,347.14
YD,orig,4,baseline,407.26
YD,orig,4,2e_K10_static,432.46
YD,orig,4,layers_92_static,308.59
YD,orig,5,baseline,572.53
YD,orig,5,2e_K10_static,460.45
YD,orig,5,layers_92_static,333.26
YD,orig,6,baseline,585.88
YD,orig,6,2e_K10_static,130.97
YD,orig,6,layers_92_static,273.20
YD,orig,7,baseline,625.25
YD,orig,7,2e_K10_static,337.14
YD,orig,7,layers_92_static,343.98
YD,orig,8,baseline,563.20
YD,orig,8,2e_K10_static,157.33
YD,orig,8,layers_92_static,270.50
YD,orig,9,baseline,635.41
YD,orig,9,2e_K10_static,459.29
YD,orig,9,layers_92_static,276.11
YD,orig,10,baseline,633.55
YD,orig,10,2e_K10_static,454.85
YD,orig,10,layers_92_static,275.25
YE,orig,0,baseline,585.11
YE,orig,0,2e_K10_static,279.42
YE,orig,0,layers_92_static,260.70
YE,orig,1,baseline,634.28
YE,orig,1,2e_K10_static,270.72
YE,orig,1,layers_92_static,269.86
YE,orig,2,baseline,618.76
YE,orig,2,2e_K10_static,317.84
YE,orig,2,layers_92_static,316.32
YE,orig,3,baseline,570.72
YE,orig,3,2e_K10_static,267.56
YE,orig,3,layers_92_static,270.52
YE,orig,4,baseline,577.50
YE,orig,4,2e_K10_static,307.74
YE,orig,4,layers_92_static,296.02
YE,orig,5,baseline,635.88
YE,orig,5,2e_K10_static,339.15
YE,orig,5,layers_92_static,333.35
YE,orig,6,baseline,629.94
YE,orig,6,2e_K10_static,284.88
YE,orig,6,layers_92_static,298.11
YE,orig,7,baseline,526.81
YE,orig,7,2e_K10_static,359.33
YE,orig,7,layers_92_static,355.60
YE,orig,8,baseline,606.25
YE,orig,8,2e_K10_static,315.19
YE,orig,8,layers_92_static,307.27
YE,orig,9,baseline,701.36
YE,orig,9,2e_K10_static,336.57
YE,orig,9,layers_92_static,338.67
YE,orig,10,baseline,651.47
YE,orig,10,2e_K10_static,333.18
YE,orig,10,layers_92_static,318.44
