workload,layout,checkpoint,strategy,first_query_us
YD,orig,0,baseline,530.60
YD,orig,0,2e_K10_static,438.93
YD,orig,0,layers_92_static,259.61
YD,orig,1,baseline,423.99
YD,orig,1,2e_K10_static,338.71
YD,orig,1,layers_92_static,173.43
YD,orig,2,baseline,513.95
YD,orig,2,2e_K10_static,425.85
YD,orig,2,layers_92_static,253.83
YD,orig,3,baseline,596.17
YD,orig,3,2e_K10_static,465.66
YD,orig,3,layers_92_static,291.56
YD,orig,4,baseline,561.89
YD,orig,4,2e_K10_static,434.52
YD,orig,4,layers_92_static,261.85
YD,orig,5,baseline,498.06
YD,orig,5,2e_K10_static,391.42
YD,orig,5,layers_92_static,231.98
YD,orig,6,baseline,544.58
YD,orig,6,2e_K10_static,425.70
YD,orig,6,layers_92_static,254.44
YD,orig,7,baseline,601.37
YD,orig,7,2e_K10_static,431.64
YD,orig,7,layers_92_static,312.82
YD,orig,8,baseline,621.22
YD,orig,8,2e_K10_static,91.48
YD,orig,8,layers_92_static,255.84
YD,orig,9,baseline,470.38
YD,orig,9,2e_K10_static,398.14
YD,orig,9,layers_92_static,218.87
YD,orig,10,baseline,585.26
YD,orig,10,2e_K10_static,427.84
YD,orig,10,layers_92_static,261.62
YE,orig,0,baseline,522.04
YE,orig,0,2e_K10_static,260.48
YE,orig,0,layers_92_static,255.80
YE,orig,1,baseline,528.55
YE,orig,1,2e_K10_static,93.38
YE,orig,1,layers_92_static,257.43
YE,orig,2,baseline,545.26
YE,orig,2,2e_K10_static,286.36
YE,orig,2,layers_92_static,285.57
YE,orig,3,baseline,567.90
YE,orig,3,2e_K10_static,95.64
YE,orig,3,layers_92_static,253.12
YE,orig,4,baseline,547.96
YE,orig,4,2e_K10_static,90.53
YE,orig,4,layers_92_static,256.70
YE,orig,5,baseline,339.27
YE,orig,5,2e_K10_static,252.74
YE,orig,5,layers_92_static,249.80
YE,orig,6,baseline,510.27
YE,orig,6,2e_K10_static,89.66
YE,orig,6,layers_92_static,257.84
YE,orig,7,baseline,554.73
YE,orig,7,2e_K10_static,258.90
YE,orig,7,layers_92_static,250.94
YE,orig,8,baseline,511.94
YE,orig,8,2e_K10_static,255.44
YE,orig,8,layers_92_static,260.29
YE,orig,9,baseline,634.65
YE,orig,9,2e_K10_static,303.36
YE,orig,9,layers_92_static,291.22
YE,orig,10,baseline,685.27
YE,orig,10,2e_K10_static,302.19
YE,orig,10,layers_92_static,301.60
