workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,2f_slru,pread,128,1,1,0.00,100.00,110.50,17986.09,91.85,17894.24,18096.59,18004.74,1.64,0.00,278.00,2.20,49464956
A,orig,2f_slru,async,128,1,1,0.00,100.00,105.72,7196.10,87.42,7108.68,7301.82,7214.40,1.63,0.00,278.00,2.20,49463276
B,orig,2f_slru,pread,128,1,1,0.00,100.00,112.62,18330.83,75.97,18254.86,18443.45,18367.48,1.75,0.00,278.00,2.20,49466688
B,orig,2f_slru,async,128,1,1,0.00,100.00,106.49,7131.82,72.17,7059.66,7238.31,7166.15,1.78,0.00,278.00,2.20,49464832
C,orig,2f_slru,pread,128,1,1,0.00,100.00,101.65,2918.24,115.73,2802.52,3019.89,2904.17,1.59,0.00,37.00,2.20,49467616
C,orig,2f_slru,async,128,1,1,0.00,100.00,102.07,1023.51,124.27,899.24,1125.58,1001.31,1.59,0.00,37.00,2.19,49469724
A,orig,2f_slru,async,128,2,0,0.00,100.00,102.06,7114.21,114.22,6999.99,7216.27,7102.05,1.67,0.00,278.00,2.19,49465760
B,orig,2f_slru,async,128,2,0,0.00,100.00,105.12,7059.01,113.86,6945.14,7164.13,7050.26,1.75,0.00,278.00,2.19,49468944
C,orig,2f_slru,async,128,2,0,0.00,100.00,97.47,932.08,116.39,815.69,1029.55,913.16,1.61,0.00,37.00,2.19,49480768
A,orig,2f_slru,async,128,3,0,0.00,100.00,100.63,7308.51,114.25,7194.26,7409.14,7294.89,1.66,0.00,278.00,2.19,49478108
B,orig,2f_slru,async,128,3,0,0.00,100.00,109.48,7154.94,119.34,7035.59,7264.42,7145.07,1.76,0.00,278.00,2.19,49479184
C,orig,2f_slru,async,128,3,0,0.00,100.00,104.42,942.67,114.55,828.13,1047.09,932.55,1.56,0.00,37.00,2.19,49482952
A,orig,2f_slru,async,128,4,0,0.00,100.00,103.75,7208.81,116.47,7092.34,7312.56,7196.09,1.64,0.00,278.00,2.19,49481356
B,orig,2f_slru,async,128,4,0,0.00,100.00,107.08,7095.08,114.69,6980.40,7202.16,7087.48,1.75,0.00,278.00,2.19,49481008
C,orig,2f_slru,async,128,4,0,0.00,100.00,101.37,884.83,116.39,768.44,986.20,869.81,1.58,0.00,37.00,2.19,49485176
A,orig,2f_slru,async,128,5,0,0.00,100.00,102.39,7208.34,119.58,7088.75,7310.73,7191.14,1.64,0.00,278.00,2.19,49484676
B,orig,2f_slru,async,128,5,0,0.00,100.00,105.34,7248.01,122.80,7125.21,7353.35,7230.55,1.76,0.00,278.00,2.19,49482668
C,orig,2f_slru,async,128,5,0,0.00,100.00,98.41,928.30,114.50,813.80,1026.71,912.21,1.59,0.00,37.00,2.19,49485720
A,orig,2f_slru,async,128,6,0,0.00,100.00,105.59,7186.02,116.78,7069.24,7291.61,7174.83,1.64,0.00,278.00,2.19,49482916
B,orig,2f_slru,async,128,6,0,0.00,100.00,118.87,7066.24,114.66,6951.59,7185.11,7070.46,1.79,0.00,278.00,2.19,49484144
C,orig,2f_slru,async,128,6,0,0.00,100.00,101.39,952.40,115.84,836.56,1053.79,937.95,1.56,0.00,37.00,2.19,49487408
A,orig,2f_slru,async,128,7,0,0.00,100.00,102.77,7253.51,114.02,7139.50,7356.28,7242.27,1.65,0.00,278.00,2.19,49487372
B,orig,2f_slru,async,128,7,0,0.00,100.00,103.59,7093.49,114.53,6978.96,7197.08,7082.55,1.74,0.00,278.00,2.17,49484836
C,orig,2f_slru,async,128,7,0,0.00,100.00,103.21,928.98,115.13,813.85,1032.19,917.06,1.58,0.00,37.00,2.17,49488556
A,orig,2f_slru,async,128,8,0,0.00,100.00,100.06,7257.90,114.47,7143.43,7357.96,7243.49,1.66,0.00,278.00,2.17,49485188
B,orig,2f_slru,async,128,8,0,0.00,100.00,102.88,7140.79,119.67,7021.12,7243.67,7124.00,1.75,0.00,278.00,2.17,49485868
C,orig,2f_slru,async,128,8,0,0.00,100.00,100.80,944.10,114.77,829.34,1044.90,930.14,1.59,0.00,37.00,2.17,49491328
A,orig,2f_slru,async,128,9,0,0.00,100.00,101.83,7208.52,116.32,7092.20,7310.35,7194.03,1.66,0.00,278.00,2.17,49486632
B,orig,2f_slru,async,128,9,0,0.00,100.00,99.47,7314.04,121.02,7193.02,7413.51,7292.49,1.76,0.00,278.00,2.17,49490024
C,orig,2f_slru,async,128,9,0,0.00,100.00,102.50,1020.41,115.09,905.32,1122.91,1007.82,1.59,0.00,37.00,2.17,49493812
A,orig,2f_slru,async,128,10,0,0.00,100.00,113.33,7370.76,113.06,7257.70,7484.09,7371.03,1.66,0.00,278.00,2.17,49490972
B,orig,2f_slru,async,128,10,0,0.00,100.00,106.24,7079.66,113.07,6966.59,7185.90,7072.83,1.76,0.00,278.00,2.17,49491964
C,orig,2f_slru,async,128,10,0,0.00,100.00,99.96,927.86,118.54,809.32,1027.82,909.28,1.58,0.00,37.00,2.17,49496280
A,orig,2f_slru,async,128,11,0,0.00,100.00,105.47,7465.93,115.59,7350.34,7571.40,7455.81,1.65,0.00,278.00,2.17,49493492
B,orig,2f_slru,async,128,11,0,0.00,100.00,108.64,7086.43,115.39,6971.04,7195.07,7079.68,1.75,0.00,278.00,2.17,49496424
C,orig,2f_slru,async,128,11,0,0.00,100.00,101.28,935.45,114.58,820.86,1036.73,922.14,1.58,0.00,37.00,2.17,49497552
