workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2e_K10,async,10,128,355.98,412.45,328.87,34.13,100.0,243.01,143.43,100.25,600.51,457.66,0.0
A,orig,2e_K10,pread,10,128,186.13,191.05,179.38,3.59,100.0,2608.64,144.13,2465.03,2791.51,2647.89,0.0
A,orig,2f_top14,async,10,128,391.26,435.62,366.16,23.73,100.0,224.92,143.07,82.34,618.08,473.28,0.0
A,orig,2f_top14,pread,10,128,388.26,408.58,331.26,23.64,100.0,1378.63,143.28,1235.35,1758.05,1614.11,0.0
A,orig,2f_top28,async,10,128,367.00,414.21,331.90,28.01,100.0,244.53,143.16,101.28,611.78,468.26,0.0
A,orig,2f_top28,pread,10,128,376.29,412.51,337.56,24.85,100.0,2540.32,142.31,2397.26,2935.76,2793.73,0.0
A,orig,baseline,baseline,10,128,520.78,530.46,513.77,5.94,0.0,0.00,0.00,0.00,520.78,520.78,0.0
A,orig,learned_markov_14,async,10,128,391.38,415.81,340.71,27.94,100.0,227.22,144.75,82.04,616.36,473.51,0.0
A,orig,learned_markov_14,pread,10,128,364.12,383.81,336.20,18.55,100.0,1343.33,144.25,1198.61,1719.39,1575.96,0.0
A,orig,learned_markov_28,async,10,128,364.16,409.23,342.69,20.55,100.0,242.67,141.51,99.41,605.88,462.51,0.0
A,orig,learned_markov_28,pread,10,128,380.74,420.50,364.79,23.38,100.0,2615.11,143.16,2471.17,3015.94,2872.64,0.0
B,orig,2e_K10,async,10,128,413.56,423.71,407.32,4.94,100.0,248.49,143.33,105.16,662.04,518.52,0.0
B,orig,2e_K10,pread,10,128,416.59,420.86,407.48,4.24,100.0,2777.55,143.67,2633.59,3191.14,3047.84,0.0
B,orig,2f_top14,async,10,128,415.04,424.69,400.51,7.01,100.0,225.43,142.82,82.41,636.16,496.64,0.0
B,orig,2f_top14,pread,10,128,423.91,479.90,418.40,24.63,100.0,1382.63,143.93,1236.60,1813.64,1670.36,0.0
B,orig,2f_top28,async,10,128,414.77,421.91,407.73,4.29,100.0,248.50,142.07,105.67,661.19,519.55,0.0
B,orig,2f_top28,pread,10,128,417.06,424.43,404.18,7.72,100.0,2573.72,144.37,2429.82,2987.99,2844.09,0.0
B,orig,baseline,baseline,10,128,746.62,752.73,735.00,5.48,0.0,0.00,0.00,0.00,746.62,746.62,0.0
B,orig,learned_markov_14,async,10,128,414.00,424.04,408.99,5.43,100.0,226.21,143.96,82.59,639.96,496.25,0.0
B,orig,learned_markov_14,pread,10,128,416.95,421.54,407.28,3.88,100.0,1393.35,142.27,1251.79,1810.49,1668.93,0.0
B,orig,learned_markov_28,async,10,128,414.00,423.46,408.93,4.63,100.0,248.01,142.71,105.41,661.86,520.36,0.0
B,orig,learned_markov_28,pread,10,128,413.44,421.86,404.95,4.85,100.0,2433.57,144.69,2287.93,2849.44,2705.28,0.0
C,orig,2e_K10,async,10,128,186.46,195.85,183.97,4.53,100.0,225.37,144.12,81.78,412.02,267.90,0.0
C,orig,2e_K10,pread,10,128,185.78,188.16,183.25,1.61,100.0,1351.19,143.41,1208.52,1536.92,1394.20,0.0
C,orig,2f_top14,async,10,128,185.18,189.63,181.92,2.40,100.0,227.29,144.13,82.40,412.96,268.43,0.0
C,orig,2f_top14,pread,10,128,185.01,188.44,182.88,1.91,100.0,1248.63,144.29,1105.36,1434.15,1291.29,0.0
C,orig,2f_top28,async,10,128,185.13,188.09,182.51,1.64,100.0,241.22,142.65,97.81,425.86,282.61,0.0
C,orig,2f_top28,pread,10,128,186.44,188.55,176.05,3.55,100.0,1246.83,143.69,1102.82,1432.95,1289.41,0.0
C,orig,baseline,baseline,10,128,1077.97,1085.05,1028.29,18.68,0.0,0.00,0.00,0.00,1077.97,1077.97,0.0
C,orig,learned_markov_14,async,10,128,185.64,187.89,182.94,1.45,100.0,224.88,144.40,81.65,411.68,267.38,0.0
C,orig,learned_markov_14,pread,10,128,185.30,187.42,181.99,1.67,100.0,1235.52,143.66,1092.02,1420.40,1276.56,0.0
C,orig,learned_markov_28,async,10,128,185.83,191.69,181.18,3.67,100.0,241.72,143.62,98.50,427.96,284.65,0.0
C,orig,learned_markov_28,pread,10,128,186.03,191.55,183.71,2.89,100.0,1197.35,142.76,1054.66,1385.06,1242.36,0.0
