workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,lp_sorted,pread,128,1,1,0.00,100.00,108.90,19804.06,150.66,19653.40,19912.96,19762.30,1.63,0.00,278.00,2.15,49452772
A,orig,lp_sorted,async,128,1,1,0.00,100.00,102.86,7380.50,149.97,7230.53,7483.36,7333.39,1.64,0.00,278.00,2.15,49452352
A,orig,lp_shuf,pread,128,1,1,0.00,100.00,119.23,281456.02,140.36,281315.65,281575.25,281434.88,1.62,0.00,278.00,2.15,49454796
A,orig,lp_shuf,async,128,1,1,0.00,100.00,101.21,7425.59,136.36,7289.23,7526.80,7390.44,1.64,0.00,278.00,2.15,49453056
B,orig,lp_sorted,pread,128,1,1,0.00,100.00,107.94,18273.94,134.13,18139.81,18381.88,18247.75,1.76,0.00,278.00,2.15,49457796
B,orig,lp_sorted,async,128,1,1,0.00,100.00,104.17,7387.20,141.33,7245.88,7491.37,7350.05,1.74,0.00,278.00,2.14,49454944
B,orig,lp_shuf,pread,128,1,1,0.00,100.00,115.23,274324.54,180.06,274144.48,274439.77,274259.71,1.73,0.00,278.00,2.14,49456416
B,orig,lp_shuf,async,128,1,1,0.00,100.00,103.02,7408.56,177.21,7231.35,7511.58,7334.37,1.74,0.00,278.00,2.14,49455708
C,orig,lp_sorted,pread,128,1,1,0.00,100.00,100.46,2928.71,145.75,2782.96,3029.17,2883.42,1.59,0.00,37.00,2.14,49457856
C,orig,lp_sorted,async,128,1,1,0.00,100.00,98.62,989.14,143.00,846.14,1087.76,944.76,1.58,0.00,37.00,2.14,49458504
C,orig,lp_shuf,pread,128,1,1,0.00,100.00,109.65,29187.61,186.39,29001.22,29297.26,29110.87,1.57,0.00,37.00,2.14,49456880
C,orig,lp_shuf,async,128,1,1,0.00,100.00,100.74,923.00,179.94,743.06,1023.74,843.80,1.58,0.00,37.00,2.14,49458332
A,orig,lp_sorted,pread,128,2,0,0.00,100.00,104.35,18094.89,130.41,17964.48,18199.24,18068.83,1.66,0.00,278.00,2.14,49457064
A,orig,lp_shuf,pread,128,2,0,0.00,100.00,120.79,280149.51,132.33,280017.18,280270.30,280137.97,1.65,0.00,278.00,2.14,49460816
B,orig,lp_sorted,pread,128,2,0,0.00,100.00,108.38,18106.68,129.75,17976.92,18215.06,18085.30,1.77,0.00,278.00,2.14,49443880
B,orig,lp_shuf,pread,128,2,0,0.00,100.00,116.85,272998.57,128.58,272869.99,273115.42,272986.84,1.72,0.00,278.00,2.14,49456832
C,orig,lp_sorted,pread,128,2,0,0.00,100.00,102.76,2863.38,180.07,2683.31,2966.14,2786.07,1.59,0.00,37.00,2.14,49457052
C,orig,lp_shuf,pread,128,2,0,0.00,100.00,106.11,29246.35,179.54,29066.82,29352.46,29172.93,1.57,0.00,37.00,2.14,49457260
A,orig,lp_sorted,pread,128,3,0,0.00,100.00,105.47,17994.49,129.76,17864.72,18099.96,17970.19,1.64,0.00,278.00,2.12,49459332
A,orig,lp_shuf,pread,128,3,0,0.00,100.00,113.85,279759.11,127.04,279632.07,279872.96,279745.92,1.62,0.00,278.00,2.12,49459756
B,orig,lp_sorted,pread,128,3,0,0.00,100.00,106.38,18524.06,131.87,18392.19,18630.44,18498.57,1.76,0.00,278.00,2.12,49463552
B,orig,lp_shuf,pread,128,3,0,0.00,100.00,116.11,274357.46,130.52,274226.94,274473.57,274343.05,1.72,0.00,278.00,2.12,49465508
C,orig,lp_sorted,pread,128,3,0,0.00,100.00,104.43,2876.89,178.50,2698.38,2981.32,2802.81,1.57,0.00,37.00,2.12,49466444
C,orig,lp_shuf,pread,128,3,0,0.00,100.00,104.00,29865.63,176.79,29688.84,29969.63,29792.84,1.59,0.00,37.00,2.12,49467620
A,orig,lp_sorted,pread,128,4,0,0.00,100.00,112.52,19012.42,130.61,18881.81,19124.94,18994.33,1.62,0.00,278.00,2.12,49468620
A,orig,lp_shuf,pread,128,4,0,0.00,100.00,106.83,279911.46,131.93,279779.53,280018.29,279886.36,1.64,0.00,278.00,2.12,49470860
B,orig,lp_sorted,pread,128,4,0,0.00,100.00,111.89,18331.19,130.87,18200.33,18443.08,18312.22,1.76,0.00,278.00,2.12,49471232
B,orig,lp_shuf,pread,128,4,0,0.00,100.00,116.32,275091.73,129.31,274962.42,275208.05,275078.74,1.72,0.00,278.00,2.12,49472624
C,orig,lp_sorted,pread,128,4,0,0.00,100.00,100.36,2965.77,181.18,2784.59,3066.13,2884.95,1.56,0.00,37.00,2.12,49474800
C,orig,lp_shuf,pread,128,4,0,0.00,100.00,108.85,29408.53,179.04,29229.49,29517.38,29338.34,1.57,0.00,37.00,2.12,49474516
A,orig,lp_sorted,pread,128,5,0,0.00,100.00,107.73,18871.16,131.11,18740.05,18978.89,18847.78,1.63,0.00,278.00,2.12,49478324
A,orig,lp_shuf,pread,128,5,0,0.00,100.00,115.41,280343.32,130.44,280212.89,280458.73,280328.30,1.62,0.00,278.00,2.11,49479620
B,orig,lp_sorted,pread,128,5,0,0.00,100.00,104.73,18069.29,129.00,17940.29,18174.02,18045.02,1.71,0.00,278.00,2.11,49475428
B,orig,lp_shuf,pread,128,5,0,0.00,100.00,117.89,277123.78,130.98,276992.81,277241.67,277110.70,1.73,0.00,278.00,2.11,49478936
C,orig,lp_sorted,pread,128,5,0,0.00,100.00,99.95,2948.22,182.65,2765.57,3048.17,2865.52,1.56,0.00,37.00,2.11,49479392
C,orig,lp_shuf,pread,128,5,0,0.00,100.00,104.39,29248.12,178.70,29069.42,29352.51,29173.81,1.58,0.00,37.00,2.11,49479108
A,orig,lp_sorted,pread,128,6,0,0.00,100.00,104.34,18074.75,132.41,17942.34,18179.09,18046.68,1.63,0.00,278.00,2.11,49481632
A,orig,lp_shuf,pread,128,6,0,0.00,100.00,108.08,280479.00,129.86,280349.14,280587.08,280457.22,1.61,0.00,278.00,2.11,49482520
B,orig,lp_sorted,pread,128,6,0,0.00,100.00,105.72,18799.39,128.84,18670.55,18905.11,18776.27,1.76,0.00,278.00,2.11,49494000
B,orig,lp_shuf,pread,128,6,0,0.00,100.00,112.47,274103.64,131.40,273972.24,274216.11,274084.71,1.74,0.00,278.00,2.11,49493424
C,orig,lp_sorted,pread,128,6,0,0.00,100.00,99.50,3004.47,178.63,2825.84,3103.97,2925.34,1.57,0.00,37.00,2.11,49495684
C,orig,lp_shuf,pread,128,6,0,0.00,100.00,112.55,29385.98,179.94,29206.04,29498.53,29318.59,1.57,0.00,37.00,2.11,49496148
A,orig,lp_sorted,pread,128,7,0,0.00,100.00,108.72,17874.69,132.91,17741.78,17983.41,17850.50,1.64,0.00,278.00,2.11,49496756
A,orig,lp_shuf,pread,128,7,0,0.00,100.00,114.56,280522.92,131.17,280391.76,280637.48,280506.32,1.63,0.00,278.00,2.10,49496904
B,orig,lp_sorted,pread,128,7,0,0.00,100.00,110.57,19100.20,130.44,18969.75,19210.77,19080.32,1.72,0.00,278.00,2.10,49496440
B,orig,lp_shuf,pread,128,7,0,0.00,100.00,114.44,275100.67,133.79,274966.88,275215.11,275081.32,1.74,0.00,278.00,2.10,49495636
C,orig,lp_sorted,pread,128,7,0,0.00,100.00,105.59,2886.80,180.42,2706.39,2992.39,2811.98,1.56,0.00,37.00,2.10,49496620
C,orig,lp_shuf,pread,128,7,0,0.00,100.00,107.39,29436.74,180.71,29256.03,29544.13,29363.42,1.56,0.00,37.00,2.10,49495432
A,orig,lp_sorted,pread,128,8,0,0.00,100.00,103.21,17908.95,131.30,17777.65,18012.16,17880.86,1.66,0.00,278.00,2.10,49495204
A,orig,lp_shuf,pread,128,8,0,0.00,100.00,116.18,281843.65,130.92,281712.73,281959.83,281828.91,1.61,0.00,278.00,2.10,49513044
B,orig,lp_sorted,pread,128,8,0,0.00,100.00,105.40,17605.13,128.99,17476.13,17710.53,17581.53,1.75,0.00,278.00,2.10,49471228
B,orig,lp_shuf,pread,128,8,0,0.00,100.00,114.78,275934.21,128.76,275805.45,276048.99,275920.23,1.73,0.00,278.00,2.10,49470684
C,orig,lp_sorted,pread,128,8,0,0.00,100.00,99.97,3008.08,171.23,2836.85,3108.05,2936.82,1.56,0.00,37.00,2.10,49469940
C,orig,lp_shuf,pread,128,8,0,0.00,100.00,97.09,29519.46,174.61,29344.85,29616.55,29441.94,1.58,0.00,37.00,2.10,49474748
A,orig,lp_sorted,pread,128,9,0,0.00,100.00,102.81,18606.47,131.19,18475.28,18709.28,18578.09,1.64,0.00,278.00,2.10,49475752
A,orig,lp_shuf,pread,128,9,0,0.00,100.00,112.64,280830.15,130.25,280699.90,280942.79,280812.54,1.65,0.00,278.00,2.10,49481660
B,orig,lp_sorted,pread,128,9,0,0.00,100.00,107.23,18283.23,131.93,18151.30,18390.46,18258.53,1.75,0.00,278.00,2.10,49482776
B,orig,lp_shuf,pread,128,9,0,0.00,100.00,116.46,275804.30,131.15,275673.16,275920.76,275789.62,1.74,0.00,278.00,2.10,49482996
C,orig,lp_sorted,pread,128,9,0,0.00,100.00,100.18,3049.08,178.89,2870.19,3149.26,2970.37,1.62,0.00,37.00,2.10,49483876
C,orig,lp_shuf,pread,128,9,0,0.00,100.00,105.84,29323.37,179.48,29143.89,29429.21,29249.73,1.61,0.00,37.00,2.10,49483680
A,orig,lp_sorted,pread,128,10,0,0.00,100.00,107.71,17805.61,130.75,17674.87,17913.32,17782.58,1.65,0.00,278.00,2.10,49483532
A,orig,lp_shuf,pread,128,10,0,0.00,100.00,113.26,279829.46,129.59,279699.87,279942.72,279813.13,1.63,0.00,278.00,2.10,49484108
B,orig,lp_sorted,pread,128,10,0,0.00,100.00,105.85,18569.23,130.44,18438.78,18675.08,18544.63,1.73,0.00,278.00,2.10,49483720
B,orig,lp_shuf,pread,128,10,0,0.00,100.00,121.83,274220.42,129.13,274091.28,274342.25,274213.11,1.76,0.00,278.00,2.10,49483180
C,orig,lp_sorted,pread,128,10,0,0.00,100.00,101.49,2898.74,179.36,2719.38,3000.23,2820.87,1.58,0.00,37.00,2.10,49483896
C,orig,lp_shuf,pread,128,10,0,0.00,100.00,100.60,29297.37,176.92,29120.45,29397.97,29221.05,1.61,0.00,37.00,2.10,49483856
A,orig,lp_sorted,pread,128,11,0,0.00,100.00,105.15,18850.24,128.67,18721.56,18955.39,18826.71,1.64,0.00,278.00,2.10,49484108
A,orig,lp_shuf,pread,128,11,0,0.00,100.00,101.64,281664.63,130.89,281533.74,281766.27,281635.38,1.65,0.00,278.00,2.10,49484096
B,orig,lp_sorted,pread,128,11,0,0.00,100.00,105.91,17951.54,127.74,17823.80,18057.45,17929.71,1.76,0.00,278.00,2.10,49474220
B,orig,lp_shuf,pread,128,11,0,0.00,100.00,113.35,276401.97,130.66,276271.30,276515.32,276384.65,1.73,0.00,278.00,2.09,49482816
C,orig,lp_sorted,pread,128,11,0,0.00,100.00,100.37,3418.84,183.28,3235.57,3519.21,3335.94,1.58,0.00,37.00,2.09,49483424
C,orig,lp_shuf,pread,128,11,0,0.00,100.00,106.27,29304.97,177.85,29127.12,29411.24,29233.39,1.58,0.00,37.00,2.09,49484996
A,orig,baseline,baseline,128,1,1,0.00,0.00,517.98,0.00,0.00,0.00,517.98,517.98,2.25,180.00,270.00,2.09,49470960
B,orig,baseline,baseline,128,1,1,0.00,0.00,745.51,0.00,0.00,0.00,745.51,745.51,2.28,181.00,273.00,2.09,49473156
C,orig,baseline,baseline,128,1,1,0.00,0.00,1087.52,0.00,0.00,0.00,1087.52,1087.52,1.67,24.00,25.00,2.09,49473224
A,orig,learned_markov_14,pread,128,1,1,0.00,100.00,364.51,1350.63,128.62,1222.01,1715.14,1586.52,2.21,178.00,283.00,2.09,49474980
A,orig,learned_markov_14,async,128,1,1,0.00,100.00,371.15,220.24,136.78,83.47,591.39,454.62,2.26,178.00,282.00,2.09,49475408
A,orig,learned_markov_28,pread,128,1,1,0.00,100.00,415.05,2595.13,69.04,2526.09,3010.18,2941.14,2.20,178.00,286.00,2.09,49476740
A,orig,learned_markov_28,async,128,1,1,0.00,100.00,407.24,272.36,171.72,100.64,679.60,507.88,2.18,178.00,286.00,2.09,49476644
A,orig,2f_top14,pread,128,1,1,0.00,100.00,397.80,1362.98,70.02,1292.96,1760.78,1690.76,2.28,182.00,281.00,2.09,49476884
A,orig,2f_top14,async,128,1,1,0.00,100.00,410.72,234.93,152.78,82.15,645.65,492.87,2.19,182.00,281.00,2.09,49477880
A,orig,2f_top28,pread,128,1,1,0.00,100.00,366.90,2454.68,69.59,2385.09,2821.58,2751.99,2.25,183.00,288.00,2.09,49478600
A,orig,2f_top28,async,128,1,1,0.00,100.00,368.92,283.82,181.39,102.43,652.74,471.35,2.26,183.00,288.00,2.08,49478816
A,orig,2e_K10,pread,128,1,1,0.00,100.00,186.13,2537.39,72.08,2465.30,2723.52,2651.43,2.26,181.00,287.00,2.08,49478412
A,orig,2e_K10,async,128,1,1,0.00,100.00,413.98,245.63,144.27,101.36,659.61,515.34,2.22,181.00,287.00,2.08,49470004
B,orig,learned_markov_14,pread,128,1,1,0.00,100.00,416.78,1317.24,69.69,1247.55,1734.02,1664.33,2.35,181.00,278.00,2.08,49478812
B,orig,learned_markov_14,async,128,1,1,0.00,100.00,415.17,272.68,189.98,82.71,687.85,497.88,2.32,181.00,278.00,2.08,49478828
B,orig,learned_markov_28,pread,128,1,1,0.00,100.00,411.46,2468.89,151.27,2317.61,2880.35,2729.07,2.37,180.00,281.00,2.08,49480144
B,orig,learned_markov_28,async,128,1,1,0.00,100.00,416.04,253.30,149.91,103.39,669.34,519.43,2.37,180.00,281.00,2.08,49480244
B,orig,2f_top14,pread,128,1,1,0.00,100.00,425.33,1294.66,71.04,1223.62,1719.99,1648.95,2.37,181.00,277.00,2.08,49480200
B,orig,2f_top14,async,128,1,1,0.00,100.00,415.95,224.97,144.36,80.61,640.92,496.56,2.32,181.00,277.00,2.08,49481048
B,orig,2f_top28,pread,128,1,1,0.00,100.00,423.70,2529.74,133.88,2395.86,2953.44,2819.56,2.35,181.00,280.00,2.08,49481900
B,orig,2f_top28,async,128,1,1,0.00,100.00,425.28,256.47,145.69,110.78,681.75,536.06,2.36,181.00,279.00,2.08,49482368
B,orig,2e_K10,pread,128,1,1,0.00,100.00,402.98,2634.05,68.44,2565.61,3037.03,2968.59,2.31,180.00,282.00,2.08,49483508
B,orig,2e_K10,async,128,1,1,0.00,100.00,416.05,289.99,183.10,106.88,706.04,522.93,2.34,181.00,280.00,2.08,49484156
C,orig,learned_markov_14,pread,128,1,1,0.00,100.00,184.97,1165.29,69.06,1096.23,1350.26,1281.20,1.65,21.00,28.00,2.08,49487060
C,orig,learned_markov_14,async,128,1,1,0.00,100.00,188.59,255.08,175.24,79.84,443.67,268.43,1.67,22.00,27.00,2.07,49487528
C,orig,learned_markov_28,pread,128,1,1,0.00,100.00,188.70,1180.92,103.06,1077.86,1369.62,1266.56,1.63,20.00,29.00,2.07,49487292
C,orig,learned_markov_28,async,128,1,1,0.00,100.00,185.90,247.61,150.45,97.15,433.51,283.05,1.68,21.00,28.00,2.07,49488324
C,orig,2f_top14,pread,128,1,1,0.00,100.00,188.75,1116.62,69.42,1047.20,1305.37,1235.95,1.66,21.00,28.00,2.07,49491764
C,orig,2f_top14,async,128,1,1,0.00,100.00,184.52,233.17,151.85,81.31,417.69,265.83,1.66,22.00,27.00,2.07,49492280
C,orig,2f_top28,pread,128,1,1,0.00,100.00,187.59,1137.78,99.79,1037.99,1325.37,1225.58,1.66,20.00,29.00,2.07,49492568
C,orig,2f_top28,async,128,1,1,0.00,100.00,183.93,238.32,142.84,95.48,422.25,279.41,1.70,21.00,28.00,2.07,49486908
C,orig,2e_K10,pread,128,1,1,0.00,100.00,189.17,1247.83,68.00,1179.83,1437.00,1369.00,1.65,23.00,33.00,2.07,49497548
C,orig,2e_K10,async,128,1,1,0.00,100.00,188.76,239.24,155.39,83.85,428.00,272.61,1.65,23.00,33.00,2.07,49498212
A,orig,baseline,baseline,128,2,0,0.00,0.00,514.05,0.00,0.00,0.00,514.05,514.05,2.23,180.00,270.00,2.07,49493524
B,orig,baseline,baseline,128,2,0,0.00,0.00,743.72,0.00,0.00,0.00,743.72,743.72,2.32,181.00,273.00,2.07,49494232
C,orig,baseline,baseline,128,2,0,0.00,0.00,1075.56,0.00,0.00,0.00,1075.56,1075.56,1.65,24.00,25.00,2.07,49495088
