workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,lp_shuf,pread,10,128,108.27,120.16,101.36,6.23,100.0,273736.72,139.53,273596.43,273843.95,273703.66,0.0
A,orig,lp_sorted,pread,10,128,101.02,109.15,91.20,6.03,100.0,18116.72,139.84,17974.38,18211.46,18069.12,0.0
B,orig,lp_shuf,pread,10,128,110.85,116.71,103.05,4.10,100.0,268291.77,139.08,268152.27,268405.07,268265.57,0.0
B,orig,lp_sorted,pread,10,128,99.23,107.64,96.46,3.75,100.0,18697.95,140.12,18556.33,18797.08,18655.46,0.0
C,orig,lp_shuf,pread,10,128,100.71,108.09,93.59,4.62,100.0,29442.36,140.09,29301.04,29544.31,29402.99,0.0
C,orig,lp_sorted,pread,10,128,97.00,100.06,90.81,2.69,100.0,2953.55,139.55,2817.09,3049.55,2913.09,0.0
A,orig,2e_K10,async,10,128,376.43,822.30,358.54,235.64,100.0,239.15,141.47,97.47,616.95,474.64,0.0
A,orig,2e_K10,pread,10,128,180.41,187.55,178.40,3.37,100.0,2623.29,142.21,2480.52,2805.72,2662.94,0.0
A,orig,2f_top14,async,10,128,379.85,419.94,327.42,28.90,100.0,221.90,141.66,80.98,600.65,458.79,0.0
A,orig,2f_top14,pread,10,128,371.27,399.98,328.46,23.00,100.0,1362.22,141.03,1220.21,1741.87,1602.10,0.0
A,orig,2f_top28,async,10,128,362.48,407.24,353.51,22.26,100.0,239.29,140.93,97.44,605.64,465.40,0.0
A,orig,2f_top28,pread,10,128,359.16,410.46,331.09,23.21,100.0,2548.91,142.00,2407.46,2924.75,2782.76,0.0
A,orig,baseline,baseline,10,128,506.89,571.57,498.60,31.06,0.0,0.00,0.00,0.00,506.89,506.89,0.0
A,orig,learned_markov_14,async,10,128,356.11,387.10,327.91,21.81,100.0,220.28,141.31,79.98,574.86,434.78,0.0
A,orig,learned_markov_14,pread,10,128,359.50,409.60,317.52,35.59,100.0,1358.97,140.89,1218.31,1730.85,1589.82,0.0
A,orig,learned_markov_28,async,10,128,362.90,409.13,332.20,25.12,100.0,238.38,140.86,97.33,604.26,463.50,0.0
A,orig,learned_markov_28,pread,10,128,359.87,386.04,352.59,13.23,100.0,2654.51,141.03,2512.97,3018.96,2876.68,0.0
B,orig,2e_K10,async,10,128,407.75,522.93,397.43,61.46,100.0,243.86,140.92,102.94,653.55,511.29,0.0
B,orig,2e_K10,pread,10,128,408.58,417.16,400.23,5.14,100.0,2790.57,141.89,2647.00,3202.40,3058.82,0.0
B,orig,2f_top14,async,10,128,409.36,422.80,401.70,7.14,100.0,224.09,142.22,80.75,632.99,488.98,0.0
B,orig,2f_top14,pread,10,128,411.45,647.85,403.34,126.79,100.0,1360.74,142.05,1218.88,1786.16,1644.46,0.0
B,orig,2f_top28,async,10,128,407.44,423.64,397.63,8.57,100.0,242.46,141.16,101.25,648.78,507.69,0.0
B,orig,2f_top28,pread,10,128,409.62,416.97,400.70,5.36,100.0,2560.90,141.94,2420.06,2968.01,2826.61,0.0
B,orig,baseline,baseline,10,128,745.12,753.71,723.55,9.48,0.0,0.00,0.00,0.00,745.12,745.12,0.0
B,orig,learned_markov_14,async,10,128,409.25,417.32,404.61,4.50,100.0,221.75,141.11,79.84,631.15,489.62,0.0
