workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
C_hit,orig,baseline,baseline,128,1,1,0.00,0.00,1053.12,0.00,0.00,0.00,1053.12,1053.12,1.67,39.00,60.00,1.12,52190660
C_hit,orig,2d,pread,128,1,1,0.00,100.00,597.48,584.79,146.62,438.17,1182.27,1035.65,1.83,39.00,61.00,1.12,52202612
C_hit,orig,2d,async,128,1,1,0.00,100.00,636.33,217.51,146.41,71.09,853.84,707.42,1.82,39.00,61.00,1.12,52203992
C_hit,orig,layers_92,pread,128,1,1,0.00,100.00,671.13,7952.09,137.45,7814.65,8623.22,8485.78,1.72,39.00,61.00,1.11,52203760
C_hit,orig,layers_92,async,128,1,1,0.00,100.00,644.95,332.08,138.82,193.26,977.03,838.21,1.69,39.00,61.00,1.11,52205028
C_hit,orig,2e_K10,pread,128,1,1,0.00,100.00,784.48,1442.91,182.05,1260.86,2227.39,2045.34,1.75,37.00,66.00,1.11,52204716
C_hit,orig,2e_K10,async,128,1,1,0.00,100.00,190.50,263.91,183.30,80.60,454.41,271.10,1.67,37.00,65.00,1.11,52204552
C_hit,orig,2e_K500,pread,128,1,1,0.00,100.00,185.49,3921.57,185.07,3736.50,4107.06,3921.99,1.56,1.00,64.00,1.11,52207536
C_hit,orig,2e_K500,async,128,1,1,0.00,40.80,192.00,899.67,179.78,719.89,1091.67,911.89,1.72,38.00,106.00,1.11,52207668
C_hit,orig,2f_top14,pread,128,1,1,0.00,100.00,712.10,1056.45,193.03,863.42,1768.55,1575.52,1.69,38.00,62.00,1.11,52209068
C_hit,orig,2f_top14,async,128,1,1,0.00,100.00,644.70,264.08,184.78,79.30,908.78,724.00,1.69,39.00,62.00,1.11,52208664
C_hit,orig,2f_top28,pread,128,1,1,0.00,100.00,505.14,1053.02,174.93,878.09,1558.16,1383.23,1.69,36.00,62.00,1.11,52203896
C_hit,orig,2f_top28,async,128,1,1,0.00,100.00,614.78,288.23,189.60,98.64,903.01,713.42,1.73,38.00,62.00,1.11,52214980
C_hit,orig,learned_markov_14,pread,128,1,1,0.00,100.00,614.16,1091.81,195.83,895.98,1705.97,1510.14,1.70,38.00,62.00,1.11,52215184
C_hit,orig,learned_markov_14,async,128,1,1,0.00,100.00,676.67,275.83,194.92,80.91,952.50,757.58,1.72,39.00,62.00,1.11,52217120
C_hit,orig,learned_markov_28,pread,128,1,1,0.00,100.00,506.97,1071.39,186.93,884.46,1578.36,1391.43,1.68,36.00,62.00,1.11,52217380
C_hit,orig,learned_markov_28,async,128,1,1,0.00,100.00,636.51,280.19,180.10,100.09,916.70,736.60,1.68,38.00,62.00,1.11,52217012
C_hit,orig,2f_slru,pread,128,1,1,0.00,100.00,99.05,4528.85,143.74,4385.11,4627.90,4484.16,1.58,0.00,62.00,1.11,52218032
C_hit,orig,2f_slru,async,128,1,1,0.00,100.00,99.27,1612.50,138.77,1473.73,1711.77,1573.00,1.59,0.00,62.00,1.11,52220044
C_hit,orig,baseline,baseline,128,2,0,0.00,0.00,1079.06,0.00,0.00,0.00,1079.06,1079.06,1.72,39.00,60.00,1.11,52216116
C_hit,orig,2d,pread,128,2,0,0.00,100.00,601.52,572.08,139.94,432.13,1173.60,1033.65,1.72,39.00,61.00,1.11,52214660
C_hit,orig,2d,async,128,2,0,0.00,100.00,643.15,206.86,136.76,70.10,850.01,713.25,1.71,39.00,61.00,1.10,52216616
C_hit,orig,layers_92,pread,128,2,0,0.00,100.00,638.70,7860.05,137.56,7722.49,8498.75,8361.19,1.68,39.00,61.00,1.10,52220848
C_hit,orig,layers_92,async,128,2,0,0.00,100.00,643.27,341.96,140.06,201.90,985.23,845.17,1.69,39.00,61.00,1.10,52221036
C_hit,orig,2e_K10,pread,128,2,0,0.00,100.00,185.67,1469.54,147.71,1321.83,1655.21,1507.50,1.69,37.00,66.00,1.10,52221380
C_hit,orig,2e_K10,async,128,2,0,0.00,100.00,181.05,221.00,139.17,81.82,402.05,262.87,1.70,37.00,65.00,1.10,52225972
C_hit,orig,2e_K500,pread,128,2,0,0.00,100.00,182.42,3886.02,138.06,3747.96,4068.44,3930.38,1.56,1.00,64.00,1.10,52225556
C_hit,orig,2e_K500,async,128,2,0,0.00,31.30,181.73,790.15,137.48,652.68,971.88,834.41,1.67,38.00,101.00,1.10,52225712
C_hit,orig,2f_top14,pread,128,2,0,0.00,100.00,613.40,1037.24,138.22,899.02,1650.64,1512.42,1.71,38.00,62.00,1.10,52229084
C_hit,orig,2f_top14,async,128,2,0,0.00,100.00,610.13,221.68,141.17,80.51,831.81,690.64,1.73,39.00,62.00,1.10,52230996
C_hit,orig,2f_top28,pread,128,2,0,0.00,100.00,630.08,1066.81,137.43,929.38,1696.89,1559.46,1.68,36.00,62.00,1.10,52231024
C_hit,orig,2f_top28,async,128,2,0,0.00,100.00,602.66,233.39,137.73,95.66,836.05,698.32,1.69,38.00,62.00,1.10,52231076
C_hit,orig,learned_markov_14,pread,128,2,0,0.00,100.00,672.08,1033.77,137.88,895.89,1705.85,1567.97,1.69,38.00,62.00,1.10,52228784
C_hit,orig,learned_markov_14,async,128,2,0,0.00,100.00,505.87,215.37,137.62,77.75,721.24,583.62,1.69,39.00,62.00,1.10,52245244
C_hit,orig,learned_markov_28,pread,128,2,0,0.00,100.00,641.08,1021.77,138.99,882.78,1662.85,1523.86,1.67,36.00,62.00,1.10,52245196
C_hit,orig,learned_markov_28,async,128,2,0,0.00,100.00,634.62,235.12,139.06,96.06,869.74,730.68,1.71,38.00,62.00,1.10,52245668
C_hit,orig,2f_slru,pread,128,2,0,0.00,100.00,103.94,4207.45,139.25,4068.20,4311.39,4172.14,1.57,0.00,62.00,1.10,52246128
C_hit,orig,2f_slru,async,128,2,0,0.00,100.00,98.69,1599.03,136.93,1462.10,1697.72,1560.79,1.58,0.00,62.00,1.10,52244680
C_hit,orig,baseline,baseline,128,3,0,0.00,0.00,1007.35,0.00,0.00,0.00,1007.35,1007.35,1.70,39.00,60.00,1.09,52242532
C_hit,orig,2d,pread,128,3,0,0.00,100.00,665.67,574.71,138.91,435.80,1240.38,1101.47,1.69,39.00,61.00,1.09,52244096
C_hit,orig,2d,async,128,3,0,0.00,100.00,600.15,209.21,138.99,70.22,809.36,670.37,1.68,39.00,61.00,1.09,52243788
C_hit,orig,layers_92,pread,128,3,0,0.00,100.00,631.35,7763.45,136.93,7626.52,8394.80,8257.87,1.75,39.00,61.00,1.09,52242476
C_hit,orig,layers_92,async,128,3,0,0.00,100.00,665.61,333.76,138.38,195.38,999.37,860.99,1.68,39.00,61.00,1.09,52243080
C_hit,orig,2e_K10,pread,128,3,0,0.00,100.00,183.82,1488.88,139.95,1348.92,1672.70,1532.74,1.68,37.00,66.00,1.09,52243960
C_hit,orig,2e_K10,async,128,3,0,0.00,100.00,184.22,222.90,141.09,81.81,407.12,266.03,1.67,37.00,65.00,1.09,52244136
C_hit,orig,2e_K500,pread,128,3,0,0.00,100.00,188.84,3878.31,146.96,3731.35,4067.15,3920.19,1.59,1.00,64.00,1.09,52242996
C_hit,orig,2e_K500,async,128,3,0,0.00,33.90,185.51,899.03,137.86,761.17,1084.54,946.68,1.65,38.00,104.00,1.09,52244436
C_hit,orig,2f_top14,pread,128,3,0,0.00,100.00,608.16,1053.44,138.58,914.86,1661.60,1523.02,1.71,38.00,62.00,1.09,52241852
C_hit,orig,2f_top14,async,128,3,0,0.00,100.00,654.21,219.38,139.07,80.31,873.59,734.52,1.69,39.00,62.00,1.09,52242792
C_hit,orig,2f_top28,pread,128,3,0,0.00,100.00,645.99,1016.93,136.75,880.18,1662.92,1526.17,1.71,36.00,62.00,1.09,52243048
C_hit,orig,2f_top28,async,128,3,0,0.00,71.40,633.57,233.94,138.38,95.56,867.51,729.13,1.66,38.00,62.00,1.09,52241596
C_hit,orig,learned_markov_14,pread,128,3,0,0.00,100.00,640.91,1040.64,139.30,901.34,1681.55,1542.25,1.68,38.00,62.00,1.09,52241504
C_hit,orig,learned_markov_14,async,128,3,0,0.00,100.00,508.85,222.27,138.36,83.91,731.12,592.76,1.70,39.00,62.00,1.09,52241832
C_hit,orig,learned_markov_28,pread,128,3,0,0.00,100.00,581.43,1073.19,137.43,935.76,1654.62,1517.19,1.66,36.00,62.00,1.09,52241420
C_hit,orig,learned_markov_28,async,128,3,0,0.00,100.00,636.59,233.43,139.23,94.20,870.02,730.79,1.72,38.00,62.00,1.09,52242520
C_hit,orig,2f_slru,pread,128,3,0,0.00,100.00,103.80,4462.09,139.50,4322.58,4565.89,4426.38,1.57,0.00,62.00,1.09,52236876
C_hit,orig,2f_slru,async,128,3,0,0.00,100.00,97.36,1589.01,139.53,1449.47,1686.37,1546.83,1.58,0.00,62.00,1.08,52238044
C_hit,orig,baseline,baseline,128,4,0,0.00,0.00,1080.79,0.00,0.00,0.00,1080.79,1080.79,1.69,39.00,60.00,1.08,52241492
C_hit,orig,2d,pread,128,4,0,0.00,100.00,666.17,572.60,138.66,433.94,1238.77,1100.11,1.68,39.00,61.00,1.08,52240008
C_hit,orig,2d,async,128,4,0,0.00,100.00,650.47,198.49,126.38,72.11,848.96,722.58,1.71,39.00,61.00,1.08,52240356
C_hit,orig,layers_92,pread,128,4,0,0.00,100.00,1316.60,9818.63,139.96,9678.67,11135.23,10995.27,1.73,39.00,61.00,1.08,52240608
C_hit,orig,layers_92,async,128,4,0,0.00,100.00,503.00,345.13,142.27,202.86,848.13,705.86,1.70,39.00,61.00,1.08,52241588
C_hit,orig,2e_K10,pread,128,4,0,0.00,100.00,199.63,1459.44,140.41,1319.03,1659.07,1518.66,1.70,37.00,66.00,1.08,52241836
C_hit,orig,2e_K10,async,128,4,0,0.00,100.00,184.77,224.19,139.28,84.91,408.96,269.68,1.68,37.00,65.00,1.08,52242768
C_hit,orig,2e_K500,pread,128,4,0,0.00,100.00,179.90,3881.13,138.93,3742.20,4061.03,3922.10,1.56,1.00,64.00,1.08,52242632
C_hit,orig,2e_K500,async,128,4,0,0.00,41.60,183.34,883.60,137.66,745.94,1066.94,929.28,1.65,38.00,103.00,1.08,52242152
C_hit,orig,2f_top14,pread,128,4,0,0.00,100.00,571.90,1032.50,135.91,896.60,1604.40,1468.50,1.69,38.00,62.00,1.08,52243288
