workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
C_hit,orig,2d,async,10,128,636.76,647.18,598.55,19.60,100.0,208.80,138.31,70.50,847.05,707.47,0.0
C_hit,orig,2d,pread,10,128,619.83,668.66,601.52,27.20,100.0,576.29,139.70,436.81,1205.19,1061.81,0.0
C_hit,orig,2e_K10,async,10,128,181.90,186.67,175.94,3.31,100.0,222.11,139.69,81.75,404.49,263.93,0.0
C_hit,orig,2e_K10,pread,10,128,184.01,196.24,177.79,6.01,100.0,1412.97,139.60,1274.14,1595.24,1456.45,0.0
C_hit,orig,2e_K500,async,10,128,183.81,189.30,181.48,2.78,35.5,855.91,137.62,717.23,1045.01,906.32,0.0
C_hit,orig,2e_K500,pread,10,128,183.98,188.60,179.90,3.09,100.0,3890.49,138.50,3751.49,4073.78,3935.74,0.0
C_hit,orig,2f_slru,async,10,128,97.63,99.57,95.71,1.30,100.0,1594.02,138.60,1454.55,1692.05,1552.89,0.0
C_hit,orig,2f_slru,pread,10,128,98.73,103.88,93.22,3.99,100.0,4448.43,139.24,4307.92,4546.94,4406.43,0.0
C_hit,orig,2f_top14,async,10,128,606.94,666.82,504.57,50.09,100.0,218.71,138.76,79.94,827.43,687.62,0.0
C_hit,orig,2f_top14,pread,10,128,608.55,614.93,504.73,36.83,100.0,1025.10,138.15,889.63,1625.08,1488.11,0.0
C_hit,orig,2f_top28,async,9,128,632.87,656.99,566.07,28.30,100.0,233.39,137.95,95.56,865.55,728.74,0.0
C_hit,orig,2f_top28,pread,10,128,621.04,645.07,509.54,42.32,100.0,1064.88,137.05,928.49,1669.30,1532.95,0.0
C_hit,orig,baseline,baseline,10,128,1056.41,1080.01,1000.04,31.15,0.0,0.00,0.00,0.00,1056.41,1056.41,0.0
C_hit,orig,layers_92,async,10,128,653.39,669.86,503.00,47.27,100.0,335.35,138.22,197.56,990.12,851.85,0.0
C_hit,orig,layers_92,pread,10,128,666.62,4283.79,631.35,1804.63,100.0,7835.07,137.95,7696.49,8487.21,8349.64,0.0
C_hit,orig,learned_markov_14,async,10,128,587.72,646.35,505.87,55.98,100.0,218.77,138.50,79.11,806.32,667.20,0.0
C_hit,orig,learned_markov_14,pread,10,128,612.77,658.05,506.65,48.72,100.0,1034.01,139.02,895.53,1639.24,1501.16,0.0
C_hit,orig,learned_markov_28,async,10,128,635.61,667.54,605.76,21.17,100.0,234.58,139.06,95.54,872.43,730.73,0.0
C_hit,orig,learned_markov_28,pread,10,128,618.37,645.98,505.22,46.58,100.0,1030.99,139.23,891.77,1658.73,1520.53,0.0
