workload,db,strategy,arm,metric,n_seeds,mean_pct,median_pct,ci_lo,ci_hi,min_pct,max_pct,sign_consistency,verdict,per_seed
C_hit,orig,2d,async,e2e_us,10,-10.2,-16.47,-18.5,0.59,-24.05,30.0,8/10,directional,seed01=-14.8;seed02=-16.4;seed03=-17.5;seed04=30.0;seed05=10.9;seed06=-19.8;seed07=-16.5;seed08=-24.1;seed09=-15.7;seed10=-18.0
C_hit,orig,2d,async,e2e_warm_us,10,-28.54,-33.13,-34.93,-19.55,-38.58,7.64,9/10,robust,seed01=-32.4;seed02=-37.0;seed03=-35.9;seed04=7.6;seed05=-19.0;seed06=-33.0;seed07=-29.9;seed08=-38.6;seed09=-33.2;seed10=-34.1
C_hit,orig,2d,async,first_query_us,10,-36.62,-40.04,-42.14,-28.68,-46.05,-4.2,10/10,robust,seed01=-39.7;seed02=-44.4;seed03=-43.4;seed04=-4.2;seed05=-31.1;seed06=-39.7;seed07=-36.7;seed08=-46.0;seed09=-40.3;seed10=-40.7
C_hit,orig,2d,pread,e2e_us,10,32.1,20.5,17.36,52.02,13.76,92.07,10/10,robust,seed01=22.0;seed02=22.1;seed03=21.1;seed04=92.1;seed05=83.6;seed06=14.1;seed07=15.7;seed08=13.8;seed09=19.9;seed10=16.6
C_hit,orig,2d,pread,e2e_warm_us,10,13.64,2.17,1.24,30.51,-0.93,69.8,9/10,robust,seed01=3.7;seed02=1.6;seed03=2.8;seed04=69.8;seed05=53.9;seed06=0.5;seed07=1.8;seed08=-0.9;seed09=2.5;seed10=0.6
C_hit,orig,2d,pread,first_query_us,10,-36.27,-40.96,-42.76,-27.71,-45.84,-4.24,10/10,robust,seed01=-41.4;seed02=-44.5;seed03=-43.8;seed04=-4.2;seed05=-20.3;seed06=-41.3;seed07=-40.4;seed08=-45.8;seed09=-40.6;seed10=-40.3
C_hit,orig,2e_K10,async,e2e_us,10,-50.77,-54.56,-57.15,-42.94,-61.71,-24.64,10/10,robust,seed01=-54.8;seed02=-51.2;seed03=-53.0;seed04=-32.7;seed05=-24.6;seed06=-61.7;seed07=-60.6;seed08=-54.3;seed09=-55.8;seed10=-58.9
C_hit,orig,2e_K10,async,e2e_warm_us,10,-69.57,-72.47,-73.58,-64.2,-75.09,-54.58,10/10,robust,seed01=-72.5;seed02=-71.9;seed03=-71.4;seed04=-55.0;seed05=-54.6;seed06=-75.0;seed07=-74.4;seed08=-72.4;seed09=-73.3;seed10=-75.1
C_hit,orig,2e_K10,async,first_query_us,10,-78.98,-80.96,-81.76,-75.26,-82.8,-68.5,10/10,robust,seed01=-81.0;seed02=-80.7;seed03=-80.4;seed04=-69.0;seed05=-68.5;seed06=-82.8;seed07=-82.2;seed08=-80.9;seed09=-81.5;seed10=-82.8
C_hit,orig,2e_K10,pread,e2e_us,10,86.88,66.43,61.03,120.11,51.01,191.65,10/10,robust,seed01=66.7;seed02=75.6;seed03=75.7;seed04=171.7;seed05=191.6;seed06=51.0;seed07=54.0;seed08=66.2;seed09=63.0;seed10=53.2
