workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
C_hit,orig,2e_K10,async,10,128,638.25,666.55,574.86,26.23,100.0,256.41,174.81,81.72,895.76,719.96,0.0
C_hit,orig,2e_K10,pread,10,128,615.62,658.92,572.84,25.92,100.0,1168.39,173.88,993.81,1797.20,1622.84,0.0
C_hit,orig,2e_K40,async,10,128,601.93,644.10,543.42,36.63,100.0,289.15,173.73,115.37,884.56,714.76,0.0
C_hit,orig,2e_K40,pread,10,128,541.55,640.08,507.85,53.58,100.0,1384.76,175.81,1211.18,1930.46,1754.95,0.0
C_hit,orig,2e_K500,async,10,128,184.60,194.60,181.81,4.31,47.9,874.72,174.18,699.84,1059.12,884.95,0.0
C_hit,orig,2e_K500,pread,10,128,185.54,193.47,180.30,4.22,100.0,3307.61,173.96,3132.79,3490.97,3316.15,0.0
C_hit,orig,2e_K92,async,10,128,622.57,640.67,522.63,45.92,100.0,348.30,174.13,173.80,968.09,795.22,0.0
C_hit,orig,2e_K92,pread,10,128,543.85,603.72,511.99,30.31,100.0,1445.58,175.10,1272.13,1984.69,1809.65,0.0
C_hit,orig,2f_slru,async,10,128,100.95,339.85,97.11,129.10,100.0,1618.22,174.81,1443.16,1718.13,1545.45,0.0
C_hit,orig,2f_slru,pread,10,128,97.35,231.14,94.45,71.40,100.0,4633.90,174.38,4459.51,4729.45,4555.07,0.0
C_hit,orig,baseline,baseline,10,128,1068.60,1114.92,1031.68,26.63,0.0,0.00,0.00,0.00,1068.60,1068.60,0.0
