workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
C_hit,orig,baseline,baseline,128,1,1,0.00,0.00,1011.00,0.00,0.00,0.00,1011.00,1011.00,1.65,37.00,57.00,1.10,52264072
C_hit,orig,2e_K10,pread,128,1,1,0.00,100.00,603.54,1156.92,144.34,1012.58,1760.46,1616.12,1.66,36.00,62.00,1.10,52279980
C_hit,orig,2e_K10,async,128,1,1,0.00,100.00,600.41,216.46,137.62,78.84,816.87,679.25,1.67,37.00,63.00,1.10,52280332
C_hit,orig,2e_K40,pread,128,1,1,0.00,100.00,545.02,1347.34,172.94,1174.40,1892.36,1719.42,1.65,34.00,60.00,1.10,52279692
C_hit,orig,2e_K40,async,128,1,1,0.00,62.20,543.58,886.87,772.61,114.25,1430.45,657.83,1.65,35.00,62.00,1.10,52304084
C_hit,orig,2e_K92,pread,128,1,1,0.00,100.00,600.81,1413.40,145.54,1267.85,2014.21,1868.66,1.65,31.00,58.00,1.10,52304272
C_hit,orig,2e_K92,async,128,1,1,0.00,100.00,559.67,314.05,142.93,171.12,873.72,730.79,1.66,33.00,61.00,1.10,52305472
C_hit,orig,2e_K500,pread,128,1,1,0.00,100.00,613.52,3255.98,147.10,3108.88,3869.50,3722.40,1.57,9.00,60.00,1.10,52306720
C_hit,orig,2e_K500,async,128,1,1,0.00,45.50,608.76,793.66,148.65,645.01,1402.42,1253.77,1.58,9.00,63.00,1.09,52306328
C_hit,orig,2f_slru,pread,128,1,1,0.00,100.00,152.49,7502.66,186.32,7316.34,7655.15,7468.83,1.53,0.00,62.00,1.09,52306944
C_hit,orig,2f_slru,async,128,1,1,0.00,100.00,91.78,1547.51,174.49,1373.02,1639.29,1464.80,1.56,0.00,62.00,1.09,52307940
C_hit,orig,baseline,baseline,128,2,0,0.00,0.00,1003.53,0.00,0.00,0.00,1003.53,1003.53,1.67,37.00,57.00,1.09,52310076
C_hit,orig,2e_K10,pread,128,2,0,0.00,100.00,605.46,1143.99,140.02,1003.97,1749.45,1609.43,1.67,36.00,62.00,1.09,52313060
C_hit,orig,2e_K10,async,128,2,0,0.00,100.00,601.60,224.76,143.45,81.31,826.36,682.91,1.68,37.00,63.00,1.09,52313900
C_hit,orig,2e_K40,pread,128,2,0,0.00,100.00,540.75,1313.39,140.19,1173.19,1854.14,1713.94,1.67,34.00,60.00,1.09,52314764
C_hit,orig,2e_K40,async,128,2,0,0.00,100.00,561.24,248.47,138.62,109.85,809.71,671.09,1.66,35.00,62.00,1.09,52315620
C_hit,orig,2e_K92,pread,128,2,0,0.00,100.00,603.88,1393.42,139.89,1253.53,1997.30,1857.41,1.67,31.00,58.00,1.09,52315088
C_hit,orig,2e_K92,async,128,2,0,0.00,100.00,599.71,311.10,139.94,171.16,910.81,770.87,1.65,33.00,61.00,1.09,52315308
C_hit,orig,2e_K500,pread,128,2,0,0.00,100.00,600.25,3269.00,145.37,3123.63,3869.25,3723.88,1.58,9.00,60.00,1.09,52319744
C_hit,orig,2e_K500,async,128,2,0,0.00,45.50,598.95,797.78,142.63,655.15,1396.73,1254.10,1.61,9.00,63.00,1.09,52319248
C_hit,orig,2f_slru,pread,128,2,0,0.00,100.00,165.56,4382.53,309.60,4072.92,4548.09,4238.48,1.53,0.00,62.00,1.09,52320808
C_hit,orig,2f_slru,async,128,2,0,0.00,100.00,97.97,1579.93,173.46,1406.47,1677.90,1504.44,1.56,0.00,62.00,1.09,52322088
C_hit,orig,baseline,baseline,128,3,0,0.00,0.00,1009.36,0.00,0.00,0.00,1009.36,1009.36,1.65,37.00,57.00,1.09,52323240
C_hit,orig,2e_K10,pread,128,3,0,0.00,100.00,595.72,1104.51,128.82,975.68,1700.23,1571.40,1.68,36.00,62.00,1.09,52324840
C_hit,orig,2e_K10,async,128,3,0,0.00,100.00,535.77,218.78,139.20,79.58,754.55,615.35,1.67,37.00,63.00,1.09,52324988
C_hit,orig,2e_K40,pread,128,3,0,0.00,100.00,545.91,1273.13,139.30,1133.83,1819.04,1679.74,1.69,34.00,60.00,1.09,52314700
C_hit,orig,2e_K40,async,128,3,0,0.00,100.00,547.09,250.83,139.38,111.45,797.92,658.54,1.66,35.00,62.00,1.08,52318924
C_hit,orig,2e_K92,pread,128,3,0,0.00,100.00,548.20,1342.52,139.57,1202.95,1890.72,1751.15,1.65,31.00,58.00,1.08,52318440
C_hit,orig,2e_K92,async,128,3,0,0.00,100.00,556.94,311.06,137.96,173.11,868.00,730.05,1.69,33.00,61.00,1.08,52300876
C_hit,orig,2e_K500,pread,128,3,0,0.00,100.00,619.25,3151.46,140.97,3010.50,3770.71,3629.75,1.61,9.00,60.00,1.08,52303832
C_hit,orig,2e_K500,async,128,3,0,0.00,52.90,603.55,867.48,140.40,727.08,1471.03,1330.63,1.62,9.00,63.00,1.08,52303556
C_hit,orig,2f_slru,pread,128,3,0,0.00,100.00,97.11,4272.24,175.07,4097.17,4369.35,4194.28,1.57,0.00,62.00,1.08,52304852
C_hit,orig,2f_slru,async,128,3,0,0.00,100.00,101.75,1562.73,175.51,1387.22,1664.48,1488.97,1.57,0.00,62.00,1.08,52302408
C_hit,orig,baseline,baseline,128,4,0,0.00,0.00,1025.92,0.00,0.00,0.00,1025.92,1025.92,1.68,37.00,57.00,1.08,52302420
C_hit,orig,2e_K10,pread,128,4,0,0.00,100.00,601.40,1129.41,141.72,987.70,1730.81,1589.10,1.67,36.00,62.00,1.08,52302704
C_hit,orig,2e_K10,async,128,4,0,0.00,100.00,599.38,219.55,140.47,79.08,818.93,678.46,1.68,37.00,63.00,1.08,52304376
C_hit,orig,2e_K40,pread,128,4,0,0.00,100.00,606.48,1316.34,139.76,1176.58,1922.82,1783.06,1.70,34.00,60.00,1.08,52307960
C_hit,orig,2e_K40,async,128,4,0,0.00,100.00,545.00,254.68,141.76,112.92,799.68,657.92,1.69,35.00,62.00,1.08,52308576
C_hit,orig,2e_K92,pread,128,4,0,0.00,100.00,600.32,1341.61,140.85,1200.76,1941.93,1801.08,1.69,31.00,58.00,1.08,52310184
C_hit,orig,2e_K92,async,128,4,0,0.00,100.00,603.08,316.07,143.52,172.56,919.15,775.64,1.67,33.00,61.00,1.08,52314148
C_hit,orig,2e_K500,pread,128,4,0,0.00,100.00,617.25,3167.68,139.69,3027.99,3784.93,3645.24,1.75,9.00,60.00,1.08,52310556
C_hit,orig,2e_K500,async,128,4,0,0.00,51.30,630.68,863.37,142.86,720.51,1494.05,1351.19,1.60,9.00,63.00,1.08,52309580
C_hit,orig,2f_slru,pread,128,4,0,0.00,100.00,164.21,4296.65,175.46,4121.19,4460.86,4285.40,1.58,0.00,62.00,1.08,52310832
C_hit,orig,2f_slru,async,128,4,0,0.00,100.00,98.97,1571.84,173.65,1398.20,1670.81,1497.17,1.60,0.00,62.00,1.08,52314244
