workload,db,strategy,arm,metric,n_seeds,mean_pct,median_pct,ci_lo,ci_hi,min_pct,max_pct,sign_consistency,verdict,per_seed
C_hit,orig,2e_K10,async,e2e_us,10,-8.84,-18.32,-19.09,4.52,-23.6,38.17,8/10,directional,seed01=-19.4;seed02=-14.9;seed03=-23.6;seed04=38.2;seed05=21.4;seed06=-16.2;seed07=-18.3;seed08=-18.3;seed09=-18.6;seed10=-18.7
C_hit,orig,2e_K10,async,e2e_warm_us,10,-27.24,-32.7,-34.6,-17.7,-38.74,8.46,9/10,robust,seed01=-33.7;seed02=-33.8;seed03=-38.7;seed04=8.5;seed05=-8.5;seed06=-32.6;seed07=-32.1;seed08=-36.5;seed09=-32.8;seed10=-32.1
C_hit,orig,2e_K10,async,first_query_us,10,-36.62,-40.55,-42.94,-28.35,-47.49,-5.2,10/10,robust,seed01=-42.1;seed02=-42.8;seed03=-47.5;seed04=-5.2;seed05=-22.5;seed06=-40.3;seed07=-40.2;seed08=-45.1;seed09=-40.8;seed10=-39.7
C_hit,orig,2e_K10,pread,e2e_us,10,90.75,74.38,71.76,116.13,66.72,194.02,10/10,robust,seed01=74.6;seed02=80.3;seed03=74.2;seed04=194.0;seed05=131.6;seed06=68.2;seed07=70.8;seed08=75.1;seed09=71.9;seed10=66.7
C_hit,orig,2e_K10,pread,e2e_warm_us,10,72.36,58.44,56.56,94.43,51.87,163.64,10/10,robust,seed01=60.2;seed02=61.5;seed03=59.1;seed04=163.6;seed05=101.9;seed06=51.9;seed07=57.1;seed08=56.9;seed09=57.8;seed10=53.6
C_hit,orig,2e_K10,pread,first_query_us,10,-41.48,-41.42,-49.95,-31.47,-68.72,-5.0,10/10,robust,seed01=-39.1;seed02=-44.3;seed03=-48.0;seed04=-5.0;seed05=-68.7;seed06=-42.4;seed07=-40.4;seed08=-46.9;seed09=-40.4;seed10=-39.6
C_hit,orig,2e_K40,async,e2e_us,10,-12.68,-17.99,-20.3,-0.21,-25.84,39.97,9/10,robust,seed01=-16.9;seed02=-11.1;seed03=-19.4;seed04=40.0;seed05=-18.8;seed06=-17.2;seed07=-21.7;seed08=-15.5;seed09=-20.3;seed10=-25.8
C_hit,orig,2e_K40,async,e2e_warm_us,10,-31.07,-34.07,-38.17,-20.74,-48.83,10.16,9/10,robust,seed01=-31.5;seed02=-30.3;seed03=-34.2;seed04=10.2;seed05=-48.8;seed06=-33.1;seed07=-35.7;seed08=-34.0;seed09=-34.1;seed10=-39.1
C_hit,orig,2e_K40,async,first_query_us,10,-44.36,-46.12,-52.16,-34.88,-68.57,-9.04,10/10,robust,seed01=-43.4;seed02=-42.8;seed03=-46.4;seed04=-9.0;seed05=-68.6;seed06=-43.7;seed07=-47.0;seed08=-46.4;seed09=-45.8;seed10=-50.5
C_hit,orig,2e_K40,pread,e2e_us,10,109.68,92.17,87.81,137.93,77.72,213.82,10/10,robust,seed01=89.1;seed02=106.4;seed03=93.2;seed04=213.8;seed05=163.0;seed06=80.7;seed07=91.1;seed08=98.2;seed09=83.6;seed10=77.7
C_hit,orig,2e_K40,pread,e2e_warm_us,10,91.22,77.65,72.64,115.52,64.23,183.87,10/10,robust,seed01=74.7;seed02=87.2;seed03=78.2;seed04=183.9;seed05=133.0;seed06=64.2;seed07=77.1;seed08=80.0;seed09=69.4;seed10=64.5
