seed,workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
1,C_hit,orig,baseline,baseline,128,1,1,0.00,0.00,990.31,0.00,0.00,0.00,990.31,990.31,1.66,36.00,64.00,0.10,57458488
1,C_hit,orig,2d,pread,128,1,1,0.00,100.00,563.10,620.91,186.12,434.79,1184.01,997.89,1.67,35.00,65.00,0.10,57447736
1,C_hit,orig,2d,async,128,1,1,0.00,100.00,560.85,251.36,183.16,68.20,812.21,629.05,1.65,35.00,65.00,0.10,57448260
1,C_hit,orig,2e_K10,pread,128,1,1,0.00,100.00,593.01,1153.95,182.86,971.08,1746.96,1564.09,1.65,34.00,67.00,0.10,57448624
1,C_hit,orig,2e_K10,async,128,1,1,0.00,100.00,594.94,269.16,184.25,84.91,864.10,679.85,1.66,35.00,66.00,0.10,57449204
1,C_hit,orig,2e_K500,pread,128,1,1,0.00,100.00,174.91,3319.07,227.90,3091.18,3493.98,3266.09,1.58,8.00,65.00,0.10,57449620
1,C_hit,orig,2e_K500,async,128,1,1,0.00,44.40,175.36,853.12,225.62,627.50,1028.48,802.86,1.59,9.00,65.00,0.10,57449136
1,C_hit,orig,2f_slru,pread,128,1,1,0.00,100.00,86.97,4786.43,176.68,4609.75,4873.40,4696.72,1.53,0.00,62.00,0.10,57450956
1,C_hit,orig,2f_slru,async,128,1,1,0.00,100.00,90.02,1500.65,178.56,1322.09,1590.67,1412.11,1.54,0.00,62.00,0.10,57451156
1,C_hit,orig,2f_top14,pread,128,1,1,0.00,100.00,594.73,1038.11,173.07,865.03,1632.84,1459.76,1.66,34.00,67.00,0.10,57471604
1,C_hit,orig,2f_top14,async,128,1,1,0.00,100.00,528.84,251.62,173.79,77.84,780.46,606.68,1.65,35.00,66.00,0.10,57472212
1,C_hit,orig,2f_top28,pread,128,1,1,0.00,100.00,501.54,1063.76,174.89,888.87,1565.30,1390.41,1.71,33.00,67.00,0.10,57470760
1,C_hit,orig,2f_top28,async,128,1,1,0.00,100.00,619.17,276.65,182.98,93.67,895.82,712.84,1.67,35.00,66.00,0.10,57471368
1,C_hit,orig,layers_92,pread,128,1,1,0.00,100.00,556.25,7940.35,175.10,7765.25,8496.60,8321.50,1.68,35.00,65.00,0.10,57472116
1,C_hit,orig,layers_92,async,128,1,1,0.00,100.00,521.88,377.27,175.32,201.95,899.15,723.83,1.66,35.00,65.00,0.10,57472300
1,C_hit,orig,baseline,baseline,128,2,0,0.00,0.00,962.01,0.00,0.00,0.00,962.01,962.01,1.70,36.00,64.00,0.10,57473384
1,C_hit,orig,2d,pread,128,2,0,0.00,100.00,553.14,596.17,167.84,428.32,1149.31,981.46,1.67,35.00,65.00,0.17,57474580
1,C_hit,orig,2d,async,128,2,0,0.00,100.00,551.91,237.00,169.98,67.02,788.91,618.93,1.68,35.00,65.00,0.17,57474236
1,C_hit,orig,2e_K10,pread,128,2,0,0.00,100.00,494.67,1209.26,168.27,1040.99,1703.93,1535.66,1.65,34.00,67.00,0.17,57475032
1,C_hit,orig,2e_K10,async,128,2,0,0.00,100.00,585.36,247.17,168.90,78.28,832.53,663.64,1.65,35.00,66.00,0.17,57474828
1,C_hit,orig,2e_K500,pread,128,2,0,0.00,100.00,176.27,3364.91,168.88,3196.03,3541.18,3372.30,1.55,8.00,65.00,0.17,57474844
1,C_hit,orig,2e_K500,async,128,2,0,0.00,45.00,172.83,808.24,167.84,640.39,981.07,813.22,1.57,9.00,65.00,0.17,57474004
1,C_hit,orig,2f_slru,pread,128,2,0,0.00,100.00,97.43,4560.99,171.35,4389.64,4658.42,4487.07,1.55,0.00,62.00,0.17,57477476
1,C_hit,orig,2f_slru,async,128,2,0,0.00,100.00,92.93,1493.07,170.28,1322.79,1586.00,1415.72,1.55,0.00,62.00,0.17,57478128
1,C_hit,orig,2f_top14,pread,128,2,0,0.00,100.00,528.43,1040.51,166.83,873.68,1568.94,1402.11,1.64,34.00,67.00,0.17,57477248
1,C_hit,orig,2f_top14,async,128,2,0,0.00,100.00,590.18,246.79,170.61,76.18,836.97,666.36,1.66,35.00,66.00,0.17,57479532
1,C_hit,orig,2f_top28,pread,128,2,0,0.00,100.00,501.22,1048.33,166.52,881.81,1549.55,1383.03,1.65,33.00,67.00,0.17,57479908
1,C_hit,orig,2f_top28,async,128,2,0,0.00,100.00,556.51,268.36,168.32,100.05,824.87,656.56,1.68,35.00,66.00,0.17,57479692
1,C_hit,orig,layers_92,pread,128,2,0,0.00,100.00,553.90,7854.61,167.75,7686.86,8408.51,8240.76,1.68,35.00,65.00,0.17,57480924
1,C_hit,orig,layers_92,async,128,2,0,0.00,100.00,555.11,369.63,169.07,200.57,924.74,755.68,1.67,35.00,65.00,0.17,57471572
1,C_hit,orig,baseline,baseline,128,3,0,0.00,0.00,1017.49,0.00,0.00,0.00,1017.49,1017.49,1.68,36.00,64.00,0.17,57470592
1,C_hit,orig,2d,pread,128,3,0,0.00,100.00,561.37,600.38,171.56,428.81,1161.75,990.18,1.66,35.00,65.00,0.17,57470808
1,C_hit,orig,2d,async,128,3,0,0.00,100.00,586.58,238.71,169.93,68.78,825.29,655.36,1.65,35.00,65.00,0.17,57471172
1,C_hit,orig,2e_K10,pread,128,3,0,0.00,100.00,589.98,1152.74,168.72,984.02,1742.72,1574.00,1.66,34.00,67.00,0.17,57472988
1,C_hit,orig,2e_K10,async,128,3,0,0.00,100.00,559.46,251.13,170.30,80.83,810.59,640.29,1.68,35.00,66.00,0.17,57473532
1,C_hit,orig,2e_K500,pread,128,3,0,0.00,100.00,170.27,3293.81,168.49,3125.32,3464.08,3295.59,1.58,8.00,65.00,0.23,57473016
1,C_hit,orig,2e_K500,async,128,3,0,0.00,51.90,173.16,836.92,169.93,666.99,1010.08,840.15,1.58,9.00,65.00,0.23,57474684
1,C_hit,orig,2f_slru,pread,128,3,0,0.00,100.00,83.68,4685.99,168.37,4517.63,4769.67,4601.31,1.53,0.00,62.00,0.23,57475748
1,C_hit,orig,2f_slru,async,128,3,0,0.00,100.00,85.43,1500.03,169.05,1330.98,1585.46,1416.41,1.55,0.00,62.00,0.23,57476352
1,C_hit,orig,2f_top14,pread,128,3,0,0.00,100.00,560.30,1046.55,167.79,878.75,1606.85,1439.05,1.64,34.00,67.00,0.23,57473736
1,C_hit,orig,2f_top14,async,128,3,0,0.00,100.00,529.40,242.34,166.80,75.53,771.74,604.93,1.64,35.00,66.00,0.23,57474460
1,C_hit,orig,2f_top28,pread,128,3,0,0.00,100.00,597.42,1044.51,168.68,875.84,1641.93,1473.26,1.65,33.00,67.00,0.23,57474680
1,C_hit,orig,2f_top28,async,128,3,0,0.00,100.00,522.63,262.01,168.36,93.66,784.64,616.29,1.65,35.00,66.00,0.23,57474568
1,C_hit,orig,layers_92,pread,128,3,0,0.00,100.00,579.71,7765.87,173.10,7592.76,8345.58,8172.47,1.71,35.00,65.00,0.23,57476736
1,C_hit,orig,layers_92,async,128,3,0,0.00,100.00,563.70,361.61,170.44,191.17,925.31,754.87,1.65,35.00,65.00,0.23,57478836
1,C_hit,orig,baseline,baseline,128,4,0,0.00,0.00,969.56,0.00,0.00,0.00,969.56,969.56,1.64,36.00,64.00,0.23,57478204
