workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
C_hit,orig,2d,async,10,128,394.99,456.52,384.50,29.53,100.0,206.44,138.72,68.47,601.03,462.84,0.0
C_hit,orig,2d,pread,10,128,448.93,454.78,384.40,30.97,100.0,569.98,138.57,431.40,1015.95,878.51,0.0
C_hit,orig,2e_K10,async,10,128,436.92,443.28,433.76,3.30,100.0,219.95,138.27,81.37,656.62,518.64,0.0
C_hit,orig,2e_K10,pread,10,128,170.53,172.83,167.19,1.93,100.0,1114.68,138.63,975.65,1285.69,1147.11,0.0
C_hit,orig,2e_K500,async,10,128,171.80,176.03,168.93,2.34,46.1,860.31,137.01,721.78,1031.02,892.50,0.0
C_hit,orig,2e_K500,pread,10,128,171.19,174.52,167.99,2.05,100.0,3372.26,138.29,3233.34,3544.38,3405.46,0.0
C_hit,orig,2f_slru,async,10,128,84.69,89.19,82.67,2.43,100.0,1490.28,138.98,1350.69,1575.70,1434.85,0.0
C_hit,orig,2f_slru,pread,10,128,84.76,88.89,82.87,2.00,100.0,4680.58,138.26,4540.56,4767.26,4627.24,0.0
C_hit,orig,2f_top14,async,10,128,404.81,411.63,401.31,3.74,100.0,216.17,138.75,77.42,621.21,482.11,0.0
C_hit,orig,2f_top14,pread,10,128,170.20,177.64,167.88,3.46,100.0,1018.97,137.71,879.55,1190.05,1052.16,0.0
C_hit,orig,2f_top28,async,10,128,169.50,174.41,167.91,2.28,100.0,234.65,139.11,95.52,404.32,265.52,0.0
C_hit,orig,2f_top28,pread,10,128,169.22,174.78,164.08,3.13,100.0,1027.60,138.67,889.38,1196.91,1058.69,0.0
C_hit,orig,baseline,baseline,10,128,561.25,569.32,552.87,5.21,0.0,0.00,0.00,0.00,561.25,561.25,0.0
C_hit,orig,layers_92,async,10,128,398.26,454.69,387.90,30.29,100.0,341.94,138.59,203.63,742.00,601.90,0.0
C_hit,orig,layers_92,pread,10,128,424.26,459.55,382.66,33.37,100.0,7944.72,138.78,7804.32,8346.87,8206.73,0.0
