seed,workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
1,C_hit,orig,2d,async,10,128,587.61,625.86,521.56,31.11,100.0,237.86,169.95,68.08,825.02,656.00,0.0
1,C_hit,orig,2d,pread,10,128,560.66,596.37,519.52,26.36,100.0,599.79,169.90,428.83,1159.60,989.34,0.0
1,C_hit,orig,2e_K10,async,10,128,561.51,591.58,530.36,20.41,100.0,250.05,169.96,80.05,811.76,641.75,0.0
1,C_hit,orig,2e_K10,pread,10,128,592.17,629.85,494.67,37.46,100.0,1145.96,170.20,975.15,1740.53,1570.49,0.0
1,C_hit,orig,2e_K500,async,10,128,177.45,183.07,172.21,3.85,45.2,819.09,169.41,650.64,996.03,825.45,0.0
1,C_hit,orig,2e_K500,pread,10,128,176.65,181.99,169.73,4.09,100.0,3288.24,170.56,3117.10,3464.32,3294.11,0.0
1,C_hit,orig,2f_slru,async,10,128,91.35,100.25,85.43,4.97,100.0,1505.68,169.12,1336.41,1598.31,1428.56,0.0
1,C_hit,orig,2f_slru,pread,10,128,89.94,94.86,83.23,4.22,100.0,4587.46,170.56,4416.87,4680.60,4510.01,0.0
1,C_hit,orig,2f_top14,async,10,128,565.29,611.81,524.12,30.54,100.0,246.81,169.58,78.00,813.36,643.78,0.0
1,C_hit,orig,2f_top14,pread,10,128,589.88,598.90,496.10,35.34,100.0,1055.95,169.18,886.53,1639.88,1470.70,0.0
1,C_hit,orig,2f_top28,async,10,128,559.00,598.22,522.63,25.58,100.0,263.81,169.56,94.91,825.40,654.85,0.0
1,C_hit,orig,2f_top28,pread,10,128,534.80,597.80,501.22,39.92,100.0,1060.17,169.50,889.82,1616.89,1447.61,0.0
1,C_hit,orig,baseline,baseline,10,128,967.83,1010.47,879.19,34.31,0.0,0.00,0.00,0.00,967.83,967.83,0.0
1,C_hit,orig,layers_92,async,10,128,563.12,628.38,555.11,30.20,100.0,366.66,169.41,197.30,926.82,757.05,0.0
1,C_hit,orig,layers_92,pread,10,128,564.37,623.89,552.65,25.60,100.0,7856.20,170.72,7687.25,8413.65,8244.69,0.0
1,C_hit,orig,lp_shuf,pread,10,128,91.50,95.53,82.31,4.76,100.0,53583.24,81.80,53500.60,53674.43,53591.79,0.0
1,C_hit,orig,lp_sorted,pread,10,128,88.74,96.81,84.12,4.42,100.0,4450.02,82.67,4366.98,4546.77,4463.72,0.0
1,C_hit,orig,learned_markov_14,async,10,128,529.73,587.23,495.14,29.22,100.0,160.56,81.66,78.53,689.11,609.53,0.0
1,C_hit,orig,learned_markov_14,pread,10,128,592.08,596.74,556.98,13.85,100.0,946.32,81.94,864.10,1541.21,1459.49,0.0
1,C_hit,orig,learned_markov_28,async,10,128,556.37,596.61,522.48,26.55,100.0,177.25,82.06,95.63,733.62,652.09,0.0
1,C_hit,orig,learned_markov_28,pread,10,128,529.82,563.51,497.50,25.26,100.0,962.02,81.80,880.16,1484.99,1404.03,0.0
2,C_hit,orig,2d,async,10,128,490.85,527.68,448.46,30.99,100.0,238.38,169.31,68.84,725.27,556.39,0.0
2,C_hit,orig,2d,pread,10,128,536.71,545.46,447.68,33.94,100.0,598.96,169.37,430.30,1135.10,967.81,0.0
2,C_hit,orig,2e_K10,async,10,128,497.29,545.96,477.14,26.50,100.0,250.73,168.36,81.62,749.77,580.04,0.0
2,C_hit,orig,2e_K10,pread,10,128,573.20,577.30,480.48,32.21,100.0,1153.20,169.18,983.94,1714.04,1543.66,0.0
2,C_hit,orig,2e_K500,async,10,128,171.16,175.79,169.45,2.28,45.7,839.40,169.25,670.55,1009.84,842.54,0.0
2,C_hit,orig,2e_K500,pread,10,128,170.44,175.44,168.05,2.61,100.0,3257.46,168.78,3089.05,3429.24,3260.82,0.0
2,C_hit,orig,2f_slru,async,10,128,86.44,88.46,83.41,1.58,100.0,1522.16,169.19,1351.70,1608.74,1438.28,0.0
2,C_hit,orig,2f_slru,pread,10,128,83.84,86.00,81.18,1.56,100.0,4684.59,168.93,4515.34,4767.90,4598.65,0.0
2,C_hit,orig,2f_top14,async,10,128,500.41,543.63,454.89,29.14,100.0,248.66,168.52,79.47,749.31,580.49,0.0
2,C_hit,orig,2f_top14,pread,10,128,481.05,497.00,478.64,7.92,100.0,1048.43,168.03,879.31,1530.99,1361.87,0.0
