workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,936.45,0.00,0.00,0.00,936.45,936.45,2.13,182.00,264.00,1.13,54301040
B,orig,baseline,baseline,128,1,1,0.00,0.00,937.43,0.00,0.00,0.00,937.43,937.43,2.24,195.00,262.00,1.13,54311160
C,orig,baseline,baseline,128,1,1,0.00,0.00,892.29,0.00,0.00,0.00,892.29,892.29,1.61,18.00,35.00,1.12,54312932
A,orig,2e_K10,pread,128,1,1,0.00,100.00,176.70,2620.02,174.37,2445.66,2796.72,2622.36,2.11,181.00,287.00,1.12,54313764
A,orig,2e_K10,async,128,1,1,0.00,100.00,182.68,278.33,180.25,98.08,461.01,280.76,2.15,181.00,287.00,1.12,54314064
A,orig,2f_top14,pread,128,1,1,0.00,100.00,566.50,1304.74,149.40,1155.34,1871.24,1721.84,2.15,183.00,277.00,1.12,54314488
A,orig,2f_top14,async,128,1,1,0.00,100.00,573.07,227.89,145.60,82.28,800.96,655.35,2.19,183.00,277.00,1.12,54316248
A,orig,2f_top28,pread,128,1,1,0.00,100.00,183.78,2584.92,195.19,2389.73,2768.70,2573.51,2.13,182.00,289.00,1.12,54316984
A,orig,2f_top28,async,128,1,1,0.00,100.00,181.46,293.03,196.80,96.23,474.49,277.69,2.17,182.00,288.00,1.12,54316432
A,orig,2f_top100,pread,128,1,1,0.00,100.00,181.45,8950.79,146.31,8804.49,9132.24,8985.94,2.16,185.00,318.00,1.12,54315648
A,orig,2f_top100,async,128,1,1,0.00,100.00,184.64,334.48,137.90,196.58,519.12,381.22,2.14,185.00,320.00,1.12,54317280
A,orig,2f_top500,pread,128,1,1,0.00,100.00,185.58,22061.66,179.81,21881.86,22247.24,22067.44,2.16,170.00,443.00,1.12,54317280
A,orig,2f_top500,async,128,1,1,0.00,100.00,191.40,1018.79,178.60,840.20,1210.19,1031.60,2.12,189.00,388.00,1.12,54317196
A,orig,2f_slru,pread,128,1,1,0.00,100.00,95.19,17742.38,175.74,17566.63,17837.57,17661.82,1.56,0.00,278.00,1.12,54320716
A,orig,2f_slru,async,128,1,1,0.00,100.00,98.47,7269.98,180.49,7089.49,7368.45,7187.96,1.58,0.00,278.00,1.12,54317988
B,orig,2e_K10,pread,128,1,1,0.00,100.00,500.12,2738.69,180.56,2558.13,3238.81,3058.25,2.23,195.00,273.00,1.12,54320908
B,orig,2e_K10,async,128,1,1,0.00,100.00,572.28,1339.03,784.45,554.57,1911.31,1126.85,2.29,197.00,269.00,1.12,54322064
B,orig,2f_top14,pread,128,1,1,0.00,100.00,571.03,1424.46,179.70,1244.76,1995.49,1815.79,2.22,197.00,268.00,1.12,54322952
B,orig,2f_top14,async,128,1,1,0.00,100.00,540.15,261.86,179.98,81.88,802.01,622.03,2.24,197.00,268.00,1.11,54323032
B,orig,2f_top28,pread,128,1,1,0.00,100.00,545.48,2465.79,137.41,2328.39,3011.27,2873.87,2.33,197.00,268.00,1.11,54331248
B,orig,2f_top28,async,128,1,1,0.00,100.00,501.91,230.93,129.78,101.15,732.84,603.06,2.19,197.00,268.00,1.11,54332272
B,orig,2f_top100,pread,128,1,1,0.00,100.00,498.28,8422.11,181.49,8240.62,8920.39,8738.90,2.18,194.00,293.00,1.11,54331632
B,orig,2f_top100,async,128,1,1,0.00,100.00,574.99,373.33,178.24,195.10,948.32,770.09,2.25,196.00,288.00,1.11,54333372
B,orig,2f_top500,pread,128,1,1,0.00,100.00,569.53,24396.69,174.87,24221.82,24966.22,24791.35,1.99,122.00,352.00,1.11,54333968
B,orig,2f_top500,async,128,1,1,0.00,100.00,567.39,1020.45,178.09,842.35,1587.84,1409.74,2.19,190.00,343.00,1.11,54335068
B,orig,2f_slru,pread,128,1,1,0.00,100.00,99.34,18692.11,183.32,18508.79,18791.45,18608.13,1.61,0.00,278.00,1.11,54335568
B,orig,2f_slru,async,128,1,1,0.00,100.00,96.46,7237.04,185.28,7051.76,7333.50,7148.22,1.64,0.00,278.00,1.11,54334220
C,orig,2e_K10,pread,128,1,1,0.00,100.00,184.75,1343.01,138.69,1204.32,1527.76,1389.07,1.60,21.00,48.00,1.11,54336992
C,orig,2e_K10,async,128,1,1,0.00,100.00,181.97,209.12,129.61,79.51,391.09,261.48,1.60,21.00,48.00,1.11,54337256
C,orig,2f_top14,pread,128,1,1,0.00,100.00,190.17,1246.05,134.83,1111.22,1436.22,1301.39,1.59,16.00,41.00,1.11,54338388
C,orig,2f_top14,async,128,1,1,0.00,100.00,581.63,207.00,128.78,78.22,788.63,659.85,1.61,17.00,40.00,1.11,54338100
C,orig,2f_top28,pread,128,1,1,0.00,100.00,178.81,1277.31,171.07,1106.24,1456.12,1285.05,1.59,15.00,40.00,1.11,54338136
C,orig,2f_top28,async,128,1,1,0.00,100.00,180.92,270.12,174.47,95.65,451.04,276.57,1.60,17.00,40.00,1.11,54339720
C,orig,2f_top100,pread,128,1,1,0.00,100.00,177.84,1347.02,173.15,1173.88,1524.86,1351.72,1.58,10.00,39.00,1.11,54340564
