workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2e_K10,async,8,128,181.03,183.76,177.75,1.83,100.0,271.31,173.63,98.19,453.18,278.69,0.0
A,orig,2e_K10,pread,5,128,182.50,183.63,180.15,1.24,100.0,2709.06,174.68,2536.28,2891.56,2718.78,0.0
A,orig,2f_slru,async,8,128,97.59,100.66,95.51,1.81,100.0,7225.21,173.43,7051.20,7322.60,7148.69,0.0
A,orig,2f_slru,pread,5,128,98.05,100.49,97.82,1.16,100.0,18465.53,174.07,18291.26,18563.39,18389.12,0.0
A,orig,2f_top100,async,8,128,185.07,191.49,181.98,3.52,100.0,375.89,174.49,201.44,558.68,384.44,0.0
A,orig,2f_top100,pread,5,128,181.33,191.92,178.79,5.22,100.0,9036.16,173.33,8863.96,9229.84,9057.64,0.0
A,orig,2f_top14,async,8,128,480.02,486.23,423.40,19.43,100.0,253.76,173.12,80.81,735.40,561.51,0.0
A,orig,2f_top14,pread,5,128,482.22,483.47,479.88,1.27,100.0,1423.34,173.61,1248.63,1904.01,1730.86,0.0
A,orig,2f_top28,async,8,128,182.31,187.76,177.63,3.70,100.0,275.02,173.94,100.39,457.66,283.63,0.0
A,orig,2f_top28,pread,5,128,180.94,183.76,179.65,1.67,100.0,2624.44,173.55,2450.90,2804.92,2631.38,0.0
A,orig,2f_top500,async,8,128,3577.72,4153.66,218.82,1203.83,12.0,855.76,173.16,682.71,4436.71,4262.23,0.0
A,orig,2f_top500,pread,5,128,181.43,192.67,180.46,5.27,100.0,19949.26,172.42,19774.79,20130.69,19956.22,0.0
A,orig,baseline,baseline,8,128,896.56,910.69,824.88,32.38,0.0,0.00,0.00,0.00,896.56,896.56,0.0
B,orig,2e_K10,async,8,128,581.51,584.56,480.72,33.51,100.0,272.92,174.40,97.73,853.61,679.36,0.0
B,orig,2e_K10,pread,5,128,555.90,579.56,548.43,13.93,100.0,2703.36,174.22,2529.14,3254.09,3079.98,0.0
B,orig,2f_slru,async,8,128,97.44,100.70,96.41,1.59,100.0,7182.65,172.92,7006.49,7279.77,7103.61,0.0
B,orig,2f_slru,pread,5,128,98.19,366.20,94.53,133.69,100.0,18124.47,173.98,17950.50,18556.47,18382.50,0.0
B,orig,2f_top100,async,8,128,568.77,1078.22,484.68,252.93,100.0,372.86,174.38,199.08,941.63,767.14,0.0
B,orig,2f_top100,pread,5,128,550.99,586.06,478.24,41.58,100.0,8851.32,173.69,8675.78,9435.33,9259.79,0.0
B,orig,2f_top14,async,8,128,555.42,578.88,511.55,21.25,100.0,253.18,173.23,80.01,811.79,637.19,0.0
B,orig,2f_top14,pread,5,128,518.77,571.35,517.79,26.16,100.0,1417.06,172.23,1243.56,1935.04,1761.54,0.0
B,orig,2f_top28,async,8,128,547.43,585.23,482.53,43.28,100.0,270.49,172.75,98.85,819.40,646.64,0.0
B,orig,2f_top28,pread,5,128,581.16,591.84,553.30,16.37,100.0,2646.61,173.77,2473.69,3227.77,3054.85,0.0
B,orig,2f_top500,async,8,128,491.81,495.33,488.86,2.42,100.0,997.85,173.88,823.48,1488.70,1314.34,0.0
B,orig,2f_top500,pread,5,128,183.05,185.23,180.57,1.63,100.0,17731.85,172.62,17559.54,17914.90,17742.59,0.0
B,orig,baseline,baseline,8,128,1010.46,1046.51,909.02,51.46,0.0,0.00,0.00,0.00,1010.46,1010.46,0.0
C,orig,2e_K10,async,8,128,180.87,184.42,175.20,2.99,100.0,250.56,171.41,79.03,432.64,261.20,0.0
C,orig,2e_K10,pread,5,128,179.11,189.46,178.66,5.05,100.0,1377.12,171.86,1202.18,1557.26,1382.30,0.0
C,orig,2f_slru,async,8,128,96.02,100.98,93.89,2.60,100.0,895.14,174.17,720.98,992.70,818.16,0.0
C,orig,2f_slru,pread,5,128,93.00,97.32,92.27,2.22,100.0,2897.20,172.91,2723.54,2989.47,2815.81,0.0
C,orig,2f_top100,async,8,128,553.46,675.59,507.55,62.72,100.0,346.83,172.09,174.61,898.14,727.08,0.0
C,orig,2f_top100,pread,5,128,624.65,650.59,523.57,49.47,100.0,1341.68,171.86,1169.82,1935.43,1762.56,0.0
C,orig,2f_top14,async,8,128,542.88,1293.89,513.28,358.92,100.0,251.42,172.28,79.28,795.47,622.65,0.0
C,orig,2f_top14,pread,5,128,661.30,1213.64,594.54,284.02,100.0,1216.85,173.37,1043.18,1877.12,1704.48,0.0
C,orig,2f_top28,async,8,128,578.60,650.14,512.84,54.75,100.0,270.06,173.30,96.98,846.67,673.82,0.0
C,orig,2f_top28,pread,5,128,634.67,659.51,601.09,21.25,100.0,1230.71,172.09,1057.12,1864.51,1692.42,0.0
C,orig,2f_top500,async,8,128,94.98,99.41,93.34,2.14,100.0,896.70,173.74,724.84,991.29,819.42,0.0
C,orig,2f_top500,pread,5,128,96.72,100.99,93.81,2.71,100.0,2835.37,174.52,2662.11,2933.30,2760.04,0.0
C,orig,baseline,baseline,8,128,1066.07,1075.80,1003.76,24.30,0.0,0.00,0.00,0.00,1066.07,1066.07,0.0
