workload,db,strategy,arm,metric,n_seeds,mean_pct,median_pct,ci_lo,ci_hi,min_pct,max_pct,sign_consistency,verdict,per_seed
A,orig,2e_K10,async,e2e_us,10,-18.28,-9.52,-34.68,-2.29,-57.19,28.33,9/10,robust,seed01=28.3;seed02=-6.3;seed03=-9.4;seed04=-15.4;seed05=-57.2;seed06=-49.5;seed07=-7.2;seed08=-5.5;seed09=-9.7;seed10=-51.1
A,orig,2e_K10,async,e2e_warm_us,10,-38.17,-28.26,-52.85,-25.14,-70.96,-7.62,10/10,robust,seed01=-7.6;seed02=-22.9;seed03=-29.6;seed04=-31.9;seed05=-70.8;seed06=-68.9;seed07=-26.6;seed08=-25.4;seed09=-26.9;seed10=-71.0
A,orig,2e_K10,async,first_query_us,10,-49.99,-40.05,-63.55,-37.79,-81.17,-27.79,10/10,robust,seed01=-27.8;seed02=-34.5;seed03=-41.2;seed04=-41.7;seed05=-81.0;seed06=-79.8;seed07=-37.6;seed08=-36.2;seed09=-38.9;seed10=-81.2
A,orig,2e_K10,pread,e2e_us,10,269.52,267.98,230.35,321.73,192.77,472.5,10/10,robust,seed01=472.5;seed02=290.1;seed03=276.7;seed04=220.4;seed05=192.8;seed06=222.5;seed07=277.1;seed08=259.2;seed09=278.9;seed10=204.9
A,orig,2e_K10,pread,e2e_warm_us,10,249.65,247.78,212.32,298.48,179.04,437.44,10/10,robust,seed01=437.4;seed02=273.0;seed03=256.3;seed04=203.7;seed05=179.0;seed06=203.2;seed07=257.7;seed08=239.3;seed09=262.0;seed10=184.8
A,orig,2e_K10,pread,first_query_us,10,-53.24,-41.28,-65.89,-41.66,-81.05,-34.76,10/10,robust,seed01=-63.7;seed02=-34.8;seed03=-40.8;seed04=-41.8;seed05=-81.1;seed06=-79.6;seed07=-35.0;seed08=-36.2;seed09=-38.6;seed10=-80.9
A,orig,2f_slru,async,e2e_us,10,782.13,732.61,691.97,922.56,619.85,1369.98,10/10,robust,seed01=1370.0;seed02=763.1;seed03=764.1;seed04=619.8;seed05=661.3;seed06=716.7;seed07=740.3;seed08=724.9;seed09=790.0;seed10=671.0
A,orig,2f_slru,async,e2e_warm_us,10,762.34,713.06,674.16,899.39,603.12,1335.25,10/10,robust,seed01=1335.2;seed02=746.0;seed03=743.9;seed04=603.1;seed05=647.8;seed06=697.3;seed07=721.0;seed08=705.1;seed09=772.9;seed10=650.9
A,orig,2f_slru,async,first_query_us,10,-88.25,-88.89,-89.44,-86.4,-90.32,-80.49,10/10,robust,seed01=-80.5;seed02=-88.4;seed03=-88.7;seed04=-90.3;seed05=-89.9;seed06=-89.1;seed07=-88.8;seed08=-89.0;seed09=-88.2;seed10=-89.7
A,orig,2f_slru,pread,e2e_us,10,2214.18,2085.24,1966.66,2574.26,1726.1,3649.68,10/10,robust,seed01=3649.7;seed02=2064.5;seed03=2089.9;seed04=1726.1;seed05=2157.0;seed06=1970.5;seed07=2431.0;seed08=2080.6;seed09=2145.0;seed10=1827.6
A,orig,2f_slru,pread,e2e_warm_us,10,2192.32,2058.56,1945.61,2548.42,1709.13,3614.12,10/10,robust,seed01=3614.1;seed02=2047.7;seed03=2069.5;seed04=1709.1;seed05=2143.2;seed06=1951.1;seed07=2411.5;seed08=2041.5;seed09=2127.8;seed10=1807.7
A,orig,2f_slru,pread,first_query_us,10,-88.37,-89.02,-89.55,-86.5,-90.32,-80.58,10/10,robust,seed01=-80.6;seed02=-88.7;seed03=-89.0;seed04=-90.3;seed05=-89.9;seed06=-89.1;seed07=-88.9;seed08=-89.2;seed09=-88.0;seed10=-90.0
A,orig,2f_top100,async,e2e_us,10,-11.94,-1.23,-26.94,2.97,-46.59,24.44,5/10,tie,seed01=24.4;seed02=3.2;seed03=6.9;seed04=-5.6;seed05=-46.6;seed06=-37.7;seed07=7.1;seed08=5.4;seed09=-36.1;seed10=-40.3
A,orig,2f_top100,async,e2e_warm_us,10,-31.76,-18.38,-45.16,-18.54,-60.26,-10.59,10/10,robust,seed01=-10.6;seed02=-13.8;seed03=-13.3;seed04=-22.2;seed05=-60.2;seed06=-57.1;seed07=-12.2;seed08=-14.6;seed09=-53.3;seed10=-60.3
A,orig,2f_top100,async,first_query_us,10,-55.77,-45.75,-68.08,-43.62,-80.8,-36.01,10/10,robust,seed01=-49.9;seed02=-38.6;seed03=-36.3;seed04=-41.6;seed05=-80.5;seed06=-79.4;seed07=-37.1;seed08=-36.0;seed09=-77.5;seed10=-80.8
A,orig,2f_top100,pread,e2e_us,10,1015.69,987.21,906.58,1178.66,834.91,1686.67,10/10,robust,seed01=1686.7;seed02=1024.2;seed03=1011.7;seed04=834.9;seed05=848.1;seed06=929.5;seed07=984.1;seed08=993.6;seed09=990.3;seed10=853.9
A,orig,2f_top100,pread,e2e_warm_us,10,995.88,968.75,888.7,1155.58,818.32,1652.06,10/10,robust,seed01=1652.1;seed02=1007.2;seed03=991.6;seed04=818.3;seed05=834.4;seed06=910.3;seed07=964.7;seed08=973.5;seed09=972.8;seed10=834.0
A,orig,2f_top100,pread,first_query_us,10,-55.35,-46.18,-68.09,-42.78,-81.0,-34.61,10/10,robust,seed01=-50.6;seed02=-34.6;seed03=-35.8;seed04=-41.8;seed05=-81.0;seed06=-79.8;seed07=-35.5;seed08=-35.8;seed09=-77.8;seed10=-80.8
A,orig,2f_top14,async,e2e_us,10,-12.71,-11.77,-24.53,-1.01,-52.61,26.95,9/10,robust,seed01=27.0;seed02=-9.2;seed03=-11.7;seed04=-16.8;seed05=-18.3;seed06=-18.0;seed07=-8.6;seed08=-6.9;seed09=-11.9;seed10=-52.6
A,orig,2f_top14,async,e2e_warm_us,10,-32.57,-30.44,-43.37,-24.14,-72.58,-8.1,10/10,robust,seed01=-8.1;seed02=-26.2;seed03=-31.9;seed04=-33.6;seed05=-31.9;seed06=-37.4;seed07=-28.0;seed08=-27.0;seed09=-29.0;seed10=-72.6
A,orig,2f_top14,async,first_query_us,10,-42.17,-39.51,-52.21,-35.03,-80.87,-23.89,10/10,robust,seed01=-23.9;seed02=-35.7;seed03=-41.1;seed04=-41.6;seed05=-40.2;seed06=-46.5;seed07=-37.0;seed08=-36.1;seed09=-38.8;seed10=-80.9
A,orig,2f_top14,pread,e2e_us,10,129.58,127.59,104.1,164.88,68.97,268.12,10/10,robust,seed01=268.1;seed02=133.9;seed03=129.5;seed04=95.2;seed05=101.7;seed06=112.4;seed07=130.9;seed08=127.2;seed09=128.0;seed10=69.0
A,orig,2f_top14,pread,e2e_warm_us,10,109.72,108.22,85.9,141.58,49.18,233.38,10/10,robust,seed01=233.4;seed02=116.9;seed03=109.1;seed04=78.5;seed05=87.7;seed06=93.1;seed07=111.3;seed08=107.3;seed09=110.8;seed10=49.2
A,orig,2f_top14,pread,first_query_us,10,-41.2,-40.17,-51.65,-33.49,-80.98,-22.04,10/10,robust,seed01=-22.0;seed02=-31.5;seed03=-40.7;seed04=-41.9;seed05=-39.7;seed06=-46.2;seed07=-31.6;seed08=-36.0;seed09=-41.4;seed10=-81.0
A,orig,2f_top28,async,e2e_us,10,-17.6,-8.22,-33.98,-1.87,-57.3,26.94,9/10,robust,seed01=26.9;seed02=-4.3;seed03=-5.9;seed04=-15.0;seed05=-57.3;seed06=-49.0;seed07=-6.3;seed08=-4.1;seed09=-10.2;seed10=-50.9
A,orig,2f_top28,async,e2e_warm_us,10,-37.42,-26.54,-52.18,-24.19,-70.79,-7.84,10/10,robust,seed01=-7.8;seed02=-21.3;seed03=-25.8;seed04=-31.8;seed05=-70.8;seed06=-68.4;seed07=-25.9;seed08=-24.5;seed09=-27.2;seed10=-70.7
A,orig,2f_top28,async,first_query_us,10,-49.27,-38.16,-63.06,-36.76,-81.05,-27.36,10/10,robust,seed01=-27.4;seed02=-32.8;seed03=-37.0;seed04=-41.5;seed05=-81.1;seed06=-79.7;seed07=-37.2;seed08=-36.0;seed09=-39.2;seed10=-81.0
A,orig,2f_top28,pread,e2e_us,10,262.67,260.36,218.84,322.49,177.69,498.04,10/10,robust,seed01=498.0;seed02=279.3;seed03=263.7;seed04=207.7;seed05=177.7;seed06=212.9;seed07=271.0;seed08=257.0;seed09=267.4;seed10=192.0
A,orig,2f_top28,pread,e2e_warm_us,10,242.8,240.08,201.08,298.95,164.08,462.89,10/10,robust,seed01=462.9;seed02=262.3;seed03=243.4;seed04=191.2;seed05=164.1;seed06=193.5;seed07=251.6;seed08=236.7;seed09=250.2;seed10=172.2
A,orig,2f_top28,pread,first_query_us,10,-49.9,-40.04,-63.51,-37.61,-81.21,-27.42,10/10,robust,seed01=-27.4;seed02=-33.1;seed03=-40.9;seed04=-42.0;seed05=-81.1;seed06=-79.8;seed07=-38.3;seed08=-36.0;seed09=-39.1;seed10=-81.2
A,orig,2f_top500,async,e2e_us,10,100.83,77.08,52.62,171.69,21.07,394.86,10/10,robust,seed01=136.3;seed02=87.2;seed03=80.6;seed04=56.4;seed05=21.1;seed06=394.9;seed07=93.4;seed08=73.6;seed09=40.7;seed10=24.1
A,orig,2f_top500,async,e2e_warm_us,10,80.98,56.77,34.29,151.36,4.31,375.4,10/10,robust,seed01=101.6;seed02=70.1;seed03=60.2;seed04=39.8;seed05=7.3;seed06=375.4;seed07=74.2;seed08=53.3;seed09=23.5;seed10=4.3
A,orig,2f_top500,async,first_query_us,10,-16.39,-37.77,-61.78,57.86,-80.77,299.05,9/10,directional,seed01=-63.5;seed02=-30.2;seed03=-34.7;seed04=-37.6;seed05=-80.6;seed06=299.0;seed07=-22.4;seed08=-37.9;seed09=-75.2;seed10=-80.8
A,orig,2f_top500,pread,e2e_us,10,2560.58,2241.75,2158.55,3030.5,1754.2,4149.51,10/10,robust,seed01=4149.5;seed02=3343.0;seed03=2119.2;seed04=1754.2;seed05=2198.8;seed06=2145.3;seed07=2534.5;seed08=2284.7;seed09=3112.8;seed10=1963.7
A,orig,2f_top500,pread,e2e_warm_us,10,2540.73,2224.97,2139.37,3008.63,1737.52,4114.63,10/10,robust,seed01=4114.6;seed02=3326.0;seed03=2099.0;seed04=1737.5;seed05=2185.2;seed06=2125.9;seed07=2515.0;seed08=2264.8;seed09=3095.7;seed10=1943.6
A,orig,2f_top500,pread,first_query_us,10,-61.32,-70.74,-73.81,-48.24,-81.96,-31.84,10/10,robust,seed01=-63.7;seed02=-38.4;seed03=-39.4;seed04=-82.0;seed05=-81.1;seed06=-79.8;seed07=-31.8;seed08=-38.2;seed09=-77.8;seed10=-81.0
B,orig,2e_K10,async,e2e_us,10,-5.29,-12.54,-14.3,9.64,-19.74,58.07,9/10,directional,seed01=-13.4;seed02=-3.0;seed03=-11.7;seed04=-14.9;seed05=-19.7;seed06=-15.5;seed07=-8.9;seed08=58.1;seed09=-9.2;seed10=-14.7
B,orig,2e_K10,async,e2e_warm_us,10,-23.78,-30.13,-31.38,-11.89,-34.05,25.85,9/10,robust,seed01=-30.9;seed02=-18.4;seed03=-29.4;seed04=-33.1;seed05=-33.6;seed06=-32.8;seed07=-25.9;seed08=25.9;seed09=-25.6;seed10=-34.1
B,orig,2e_K10,async,first_query_us,10,-35.11,-40.89,-41.99,-24.68,-44.37,7.88,9/10,robust,seed01=-44.4;seed02=-28.9;seed03=-39.3;seed04=-43.7;seed05=-44.2;seed06=-42.5;seed07=-35.6;seed08=7.9;seed09=-36.6;seed10=-43.9
B,orig,2e_K10,pread,e2e_us,10,283.32,252.71,246.16,337.67,222.04,508.45,10/10,robust,seed01=330.7;seed02=262.6;seed03=257.6;seed04=247.0;seed05=247.8;seed06=222.0;seed07=240.8;seed08=508.4;seed09=269.1;seed10=247.1
B,orig,2e_K10,pread,e2e_warm_us,10,264.8,236.78,229.15,316.19,204.81,475.78,10/10,robust,seed01=313.3;seed02=247.1;seed03=239.6;seed04=228.8;seed05=233.9;seed06=204.8;seed07=223.8;seed08=475.8;seed09=253.1;seed10=227.8
B,orig,2e_K10,pread,first_query_us,10,-34.31,-40.7,-42.1,-22.18,-44.99,16.71,9/10,robust,seed01=-44.3;seed02=-29.1;seed03=-39.5;seed04=-43.3;seed05=-42.0;seed06=-45.0;seed07=-36.4;seed08=16.7;seed09=-36.2;seed10=-44.1
B,orig,2f_slru,async,e2e_us,10,749.02,683.82,661.9,869.69,620.44,1230.29,10/10,robust,seed01=897.7;seed02=682.8;seed03=659.0;seed04=687.8;seed05=684.8;seed06=620.4;seed07=638.3;seed08=1230.3;seed09=734.9;seed10=654.2
B,orig,2f_slru,async,e2e_warm_us,10,730.02,666.84,644.34,847.86,603.0,1198.13,10/10,robust,seed01=879.8;seed02=667.3;seed03=641.1;seed04=669.7;seed05=666.4;seed06=603.0;seed07=621.1;seed08=1198.1;seed09=718.7;seed10=634.9
B,orig,2f_slru,async,first_query_us,10,-88.7,-89.56,-89.86,-87.12,-90.36,-82.4,10/10,robust,seed01=-86.8;seed02=-89.5;seed03=-89.9;seed04=-89.6;seed05=-89.6;seed06=-90.4;seed07=-90.3;seed08=-82.4;seed09=-88.6;seed10=-90.0
B,orig,2f_slru,pread,e2e_us,10,2085.58,1871.25,1843.93,2395.44,1736.43,3249.83,10/10,robust,seed01=2420.5;seed02=1933.4;seed03=1827.4;seed04=1870.6;seed05=1871.9;seed06=1736.4;seed07=1743.5;seed08=3249.8;seed09=2396.0;seed10=1806.3
B,orig,2f_slru,pread,e2e_warm_us,10,2066.56,1852.88,1826.3,2373.63,1719.21,3217.34,10/10,robust,seed01=2403.0;seed02=1917.8;seed03=1809.4;seed04=1852.2;seed05=1853.6;seed06=1719.2;seed07=1726.5;seed08=3217.3;seed09=2379.7;seed10=1786.9
B,orig,2f_slru,pread,first_query_us,10,-88.81,-89.62,-89.94,-87.23,-90.31,-82.51,10/10,robust,seed01=-87.1;seed02=-89.4;seed03=-90.1;seed04=-89.4;seed05=-89.8;seed06=-90.3;seed07=-90.3;seed08=-82.5;seed09=-88.8;seed10=-90.3
B,orig,2f_top100,async,e2e_us,10,0.06,-2.78,-14.54,17.29,-44.57,64.6,6/10,tie,seed01=0.1;seed02=4.4;seed03=-2.1;seed04=-3.5;seed05=-8.1;seed06=-6.8;seed07=-44.6;seed08=64.6;seed09=1.1;seed10=-4.7
B,orig,2f_top100,async,e2e_warm_us,10,-18.42,-20.86,-31.73,-4.43,-61.7,32.67,9/10,robust,seed01=-17.2;seed02=-11.0;seed03=-19.9;seed04=-21.8;seed05=-21.9;seed06=-24.1;seed07=-61.7;seed08=32.7;seed09=-15.2;seed10=-24.1
B,orig,2f_top100,async,first_query_us,10,-41.4,-43.26,-53.18,-30.48,-81.65,-3.71,10/10,robust,seed01=-44.1;seed02=-31.3;seed03=-40.3;seed04=-43.5;seed05=-43.0;seed06=-43.7;seed07=-81.6;seed08=-3.7;seed09=-37.9;seed10=-44.7
B,orig,2f_top100,pread,e2e_us,10,988.67,896.45,879.55,1141.38,833.76,1605.34,10/10,robust,seed01=1150.4;seed02=958.9;seed03=860.5;seed04=903.1;seed05=889.8;seed06=833.8;seed07=850.0;seed08=1605.3;seed09=968.3;seed10=866.7
B,orig,2f_top100,pread,e2e_warm_us,10,969.88,880.52,862.28,1120.21,816.39,1572.92,10/10,robust,seed01=1133.2;seed02=940.3;seed03=842.7;seed04=885.0;seed05=876.0;seed06=816.4;seed07=832.9;seed08=1572.9;seed09=952.0;seed10=847.4
