workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,509.76,0.00,0.00,0.00,509.76,509.76,2.15,180.00,270.00,0.74,55570928
C,orig,baseline,baseline,128,1,1,0.00,0.00,1065.38,0.00,0.00,0.00,1065.38,1065.38,1.61,24.00,25.00,0.74,55565180
A,orig,layers_5,pread,128,1,1,0.00,100.00,176.03,584.38,143.08,441.30,760.41,617.33,2.18,180.00,271.00,0.74,55565972
A,orig,layers_5,async,128,1,1,0.00,100.00,361.26,212.92,142.65,70.27,574.18,431.53,2.17,180.00,271.00,0.76,55564408
A,orig,2d,pread,128,1,1,0.00,100.00,177.74,1872.47,145.44,1727.03,2050.21,1904.77,2.13,177.00,286.00,0.76,55564960
A,orig,2d,async,128,1,1,0.00,100.00,380.48,237.86,152.42,85.44,618.34,465.92,2.15,178.00,283.00,0.76,55565052
A,orig,2e_K10,pread,128,1,1,0.00,100.00,177.76,2659.06,145.94,2513.11,2836.82,2690.87,2.12,181.00,287.00,0.76,55562864
A,orig,2e_K10,async,128,1,1,0.00,100.00,332.30,192.42,90.45,101.97,524.72,434.27,2.18,181.00,287.00,0.76,55554560
C,orig,layers_5,pread,128,1,1,0.00,100.00,1039.45,590.96,144.27,446.69,1630.41,1486.14,1.63,24.00,25.00,0.76,55550368
C,orig,layers_5,async,128,1,1,0.00,100.00,1032.48,216.46,145.89,70.56,1248.94,1103.04,1.61,24.00,25.00,0.76,55552128
C,orig,2d,pread,128,1,1,0.00,100.00,624.41,499.45,143.76,355.69,1123.86,980.10,1.62,24.00,25.00,0.76,55553012
C,orig,2d,async,128,1,1,0.00,100.00,656.04,214.87,146.71,68.17,870.91,724.21,1.61,24.00,25.00,0.76,55553492
C,orig,2e_K10,pread,128,1,1,0.00,100.00,171.47,1355.16,142.58,1212.58,1526.63,1384.05,1.61,23.00,33.00,0.76,55554356
C,orig,2e_K10,async,128,1,1,0.00,100.00,175.65,219.58,139.68,79.90,395.23,255.55,1.61,23.00,33.00,0.76,55553620
A,orig,baseline,baseline,128,2,0,0.00,0.00,488.75,0.00,0.00,0.00,488.75,488.75,2.16,180.00,270.00,0.76,55549372
C,orig,baseline,baseline,128,2,0,0.00,0.00,1061.69,0.00,0.00,0.00,1061.69,1061.69,1.59,24.00,25.00,0.76,55557044
A,orig,layers_5,pread,128,2,0,0.00,100.00,168.94,569.27,136.63,432.64,738.21,601.58,2.13,180.00,271.00,0.76,55551060
A,orig,layers_5,async,128,2,0,0.00,100.00,354.55,208.23,138.70,69.53,562.78,424.08,2.19,180.00,271.00,0.76,55552108
A,orig,2d,pread,128,2,0,0.00,100.00,176.48,1867.04,139.73,1727.31,2043.52,1903.79,2.09,177.00,286.00,0.76,55552604
A,orig,2d,async,128,2,0,0.00,100.00,362.89,229.89,143.01,86.88,592.78,449.77,2.15,178.00,283.00,0.76,55553432
A,orig,2e_K10,pread,128,2,0,0.00,100.00,179.08,2646.74,138.16,2508.58,2825.82,2687.66,2.16,181.00,287.00,0.86,55552792
A,orig,2e_K10,async,128,2,0,0.00,100.00,363.32,223.50,131.92,91.58,586.82,454.90,2.14,181.00,287.00,0.86,55559568
C,orig,layers_5,pread,128,2,0,0.00,100.00,1035.94,532.67,85.96,446.71,1568.61,1482.65,1.63,24.00,25.00,0.86,55567344
C,orig,layers_5,async,128,2,0,0.00,100.00,1032.53,208.23,137.86,70.37,1240.76,1102.90,1.63,24.00,25.00,0.86,55565000
C,orig,2d,pread,128,2,0,0.00,100.00,645.05,491.85,136.65,355.21,1136.90,1000.26,1.63,24.00,25.00,0.86,55567500
C,orig,2d,async,128,2,0,0.00,100.00,651.79,206.70,139.39,67.31,858.49,719.10,1.64,24.00,25.00,0.86,55566744
